0,5*15+15,133,(43-34)*15+15,266,(86-67)*15+15,0,16*15+15,133,(59-34)*15+15,133,(64-34)*15+15,0,31*15+15,133,(62-34)*15+15,133,(60-34)*15+15,133,(44-34)*15+15,0,27*15+15,0,11*15+15,0,0*15+15,133,(37-34)*15+15,266,(67-67)*15+15,133,(50-34)*15+15,266,(85-67)*15+15,0,26*15+15,0,3*15+15,133,(52-34)*15+15,266,(95-67)*15+15,0,32*15+15,0,14*15+15,266,(77-67)*15+15,0,30*15+15,266,(75-67)*15+15,266,(90-67)*15+15,133,(48-34)*15+15,133,(34-34)*15+15,133,(53-34)*15+15,133,(36-34)*15+15,133,(35-34)*15+15,0,33*15+15,0,25*15+15,0,19*15+15,266,(87-67)*15+15,133,(38-34)*15+15,133,(58-34)*15+15,133,(41-34)*15+15,0,18*15+15,266,(91-67)*15+15,0,13*15+15,266,(93-67)*15+15,133,(51-34)*15+15,266,(81-67)*15+15,0,4*15+15,266,(88-67)*15+15,133,(56-34)*15+15,133,(57-34)*15+15,266,(79-67)*15+15,133,(66-34)*15+15,133,(55-34)*15+15,0,17*15+15,266,(72-67)*15+15,133,(40-34)*15+15,0,10*15+15,0,2*15+15,0,9*15+15,133,(54-34)*15+15,266,(94-67)*15+15,0,20*15+15,133,(42-34)*15+15,266,(76-67)*15+15,266,(97-67)*15+15,0,24*15+15,266,(89-67)*15+15,266,(83-67)*15+15,133,(61-34)*15+15,266,(84-67)*15+15,0,1*15+15,266,(68-67)*15+15,266,(69-67)*15+15,266,(74-67)*15+15,266,(98-67)*15+15,133,(47-34)*15+15,133,(46-34)*15+15,266,(70-67)*15+15,0,23*15+15,133,(63-34)*15+15,266,(80-67)*15+15,266,(78-67)*15+15,266,(96-67)*15+15,133,(39-34)*15+15,0,12*15+15,266,(71-67)*15+15,133,(49-34)*15+15,0,22*15+15,266,(82-67)*15+15,266,(73-67)*15+15,0,21*15+15,0,7*15+15,0,8*15+15,0,28*15+15,133,(65-34)*15+15,266,(99-67)*15+15,133,(45-34)*15+15,0,29*15+15,0,15*15+15,266,(92-67)*15+15,0,6*15+15,1465817699
0,90,133,150,266,300,0,255,133,390,133,465,0,480,133,435,133,405,133,165,0,420,0,180,417,36,133,60,266,15,133,255,937,521,0,405,0,60,133,285,635,305,0,495,0,225,266,165,0,465,266,135,266,360,880,41,133,15,133,300,133,45,133,30,0,510,0,390,0,300,415,49,133,75,133,375,133,120,0,285,611,330,0,210,603,344,133,270,641,341,550,367,585,377,133,345,133,360,266,195,451,532,133,330,0,270,266,90,133,105,600,217,0,45,483,249,133,315,540,441,0,315,133,135,266,150,266,465,0,375,266,345,885,485,133,420,928,503,920,301,266,30,266,45,266,120,266,480,133,210,133,195,266,60,0,360,133,450,645,392,543,449,531,463,133,90,0,195,266,75,133,240,0,345,856,473,266,105,0,330,0,120,0,135,0,435,517,488,531,476,133,180,0,450,0,240,471,360,0,105,1465817868
0,90,133,150,881,57,0,255,133,390,133,465,0,480,133,435,133,405,133,165,0,420,0,180,417,36,133,60,266,15,133,255,937,521,0,405,0,60,133,285,635,305,0,495,0,225,266,165,0,465,266,135,891,142,880,41,133,15,133,300,133,45,133,30,0,510,0,390,0,300,415,49,133,75,133,375,133,120,0,285,611,330,0,210,603,344,133,270,641,341,550,367,585,377,133,345,133,360,878,71,451,532,133,330,0,270,266,90,133,105,600,217,0,45,483,249,133,315,540,441,0,315,133,135,266,150,266,465,0,375,266,345,885,485,133,420,928,503,920,301,266,30,266,45,266,120,266,480,133,210,133,195,266,60,0,360,133,450,645,392,543,449,531,463,133,90,0,195,266,75,133,240,0,345,856,473,266,105,0,330,0,120,0,135,0,435,517,488,531,476,133,180,0,450,0,240,767,378,0,105,1465817883
0,90,133,150,881,57,0,255,133,390,133,465,0,480,133,435,133,405,133,165,0,420,0,180,417,36,133,60,266,15,133,255,937,521,0,405,0,60,133,285,635,305,0,495,0,225,266,165,0,465,266,135,876,79,880,41,133,15,133,300,133,45,133,30,0,510,0,390,0,300,415,49,133,75,133,375,133,120,0,285,611,330,0,210,603,344,133,270,641,341,550,367,585,377,133,345,133,360,878,71,451,532,133,330,0,270,266,90,133,105,600,217,0,45,483,249,133,315,540,441,0,315,133,135,266,150,825,104,0,375,266,345,885,485,133,420,928,503,920,301,266,30,797,174,266,120,818,111,133,210,133,195,491,456,0,360,133,450,645,392,543,449,531,463,133,90,0,195,592,410,133,240,0,345,856,473,266,105,0,330,0,120,0,135,0,435,517,488,531,476,133,180,0,450,0,240,767,378,0,105,1465817898
0,90,133,150,881,57,0,255,133,390,133,465,0,480,133,435,133,405,133,165,0,420,0,180,417,36,133,60,266,15,133,255,937,521,0,405,0,60,133,285,635,305,0,495,0,225,266,165,0,465,266,135,876,79,880,41,133,15,133,300,133,45,133,30,0,510,0,390,0,300,415,49,133,75,133,375,133,120,0,285,611,330,0,210,603,344,133,270,641,341,550,367,585,377,133,345,133,360,878,71,451,532,133,330,0,270,784,299,133,105,600,217,0,45,483,249,133,315,540,441,0,315,133,135,266,150,825,104,0,375,266,345,885,485,133,420,928,503,920,301,266,30,797,174,678,12,818,111,133,210,133,195,491,456,0,360,133,450,645,392,543,449,531,463,133,90,0,195,625,353,133,240,0,345,856,473,853,463,0,330,0,120,0,135,0,435,517,488,531,476,133,180,0,450,0,240,767,378,0,105,1465817913
0,90,133,150,881,57,0,255,133,390,133,465,0,480,133,435,133,405,133,165,0,420,0,180,417,36,133,60,878,89,133,255,937,521,0,405,0,60,133,285,635,305,0,495,0,225,649,417,0,465,266,135,876,79,880,41,133,15,133,300,133,45,133,30,0,510,0,390,0,300,415,49,133,75,133,375,133,120,0,285,611,330,0,210,603,344,133,270,641,341,550,367,585,377,133,345,133,360,878,71,451,532,133,330,0,270,784,299,133,105,600,217,0,45,483,249,133,315,540,441,0,315,133,135,847,454,825,104,0,375,266,345,885,485,133,420,928,503,920,301,266,30,797,174,678,12,818,111,133,210,133,195,491,456,0,360,133,450,645,392,543,449,531,463,133,90,0,195,625,353,133,240,0,345,856,473,853,463,0,330,0,120,0,135,0,435,517,488,531,476,133,180,0,450,0,240,767,378,0,105,1465817928
0,90,133,150,881,57,0,255,133,390,133,465,0,480,133,435,133,405,133,165,0,420,0,180,417,36,133,60,878,89,133,255,937,521,0,405,0,60,448,544,635,305,0,495,0,225,649,417,0,465,266,135,876,79,880,41,133,15,133,300,133,45,133,30,0,510,0,390,0,300,415,49,133,75,133,375,133,120,0,285,611,330,0,210,603,344,782,310,641,341,550,367,585,377,133,345,133,360,878,71,451,532,133,330,0,270,784,299,133,105,600,217,0,45,483,249,133,315,540,441,0,315,133,135,847,454,825,104,0,375,266,345,885,485,133,420,928,503,920,301,266,30,797,174,678,12,818,111,133,210,133,195,491,456,0,360,577,480,645,392,543,449,531,463,133,90,0,195,625,353,550,476,0,345,856,473,853,463,0,330,0,120,0,135,0,435,517,488,531,476,133,180,0,450,0,240,767,378,0,105,1465817943
0,90,133,150,881,57,0,255,133,390,133,465,0,480,133,435,133,405,133,165,0,420,0,180,417,36,133,60,878,89,479,177,937,521,0,405,0,60,448,544,635,305,0,495,0,225,649,417,0,465,285,136,876,79,880,41,133,15,795,123,133,45,133,30,0,510,0,390,0,300,415,49,133,75,133,375,133,120,0,285,611,330,0,210,603,344,782,310,641,341,550,367,585,377,133,345,133,360,878,71,451,532,133,330,0,270,784,299,133,105,600,217,0,45,483,249,133,315,540,441,0,315,133,135,847,454,825,104,0,375,266,345,885,485,763,397,928,503,920,301,266,30,797,174,678,12,818,111,133,210,647,71,491,456,0,360,581,477,645,392,543,449,531,463,133,90,0,195,625,353,550,476,0,345,856,473,853,463,0,330,0,120,0,135,0,435,517,488,531,476,133,180,0,450,0,240,767,378,0,105,1465817958
0,90,133,150,881,57,0,255,133,390,133,465,0,480,133,435,133,405,133,165,0,420,0,180,417,36,133,60,878,89,479,177,937,521,0,405,0,60,448,544,635,305,0,495,0,225,649,417,0,465,848,447,876,79,880,41,133,15,795,123,133,45,133,30,0,510,0,390,0,300,415,49,133,75,133,375,133,120,0,285,611,330,0,210,603,344,782,310,641,341,550,367,585,377,650,381,133,360,878,71,451,532,133,330,0,270,784,299,133,105,600,217,0,45,483,249,601,451,540,441,0,315,133,135,847,454,825,104,0,375,266,345,885,485,763,397,928,503,920,301,266,30,797,174,678,12,818,111,133,210,647,71,491,456,0,360,581,477,645,392,543,449,531,463,133,90,0,195,625,353,550,476,0,345,856,473,853,463,0,330,0,120,0,135,0,435,517,488,531,476,568,309,0,450,0,240,767,378,0,105,1465817973
0,90,133,150,881,57,0,255,133,390,133,465,0,480,133,435,133,405,468,153,0,420,0,180,417,36,133,60,878,89,479,177,937,521,0,405,0,60,448,544,779,192,0,495,0,225,649,417,0,465,848,447,876,79,880,41,133,15,795,123,133,45,133,30,0,510,0,390,0,300,415,49,133,75,133,375,133,120,0,285,611,330,0,210,603,344,782,310,641,341,550,367,585,377,654,378,133,360,878,71,451,532,617,320,0,270,784,299,133,105,600,217,0,45,483,249,601,451,540,441,0,315,133,135,847,454,825,104,0,375,266,345,885,485,763,397,928,503,920,301,266,30,797,174,678,12,818,111,733,250,647,71,491,456,0,360,581,477,645,392,543,449,531,463,133,90,0,195,625,353,550,476,0,345,856,473,853,463,0,330,0,120,0,135,0,435,517,488,531,476,568,309,0,450,0,240,767,378,0,105,1465817988
0,90,409,30,881,57,0,255,133,390,133,465,0,480,133,435,133,405,468,153,0,420,0,180,417,36,133,60,878,89,479,177,937,521,0,405,0,60,448,544,779,192,0,495,0,225,649,417,0,465,848,447,876,79,880,41,133,15,795,123,133,45,133,30,0,510,0,390,0,300,415,49,133,75,133,375,133,120,0,285,611,330,0,210,603,344,782,310,641,341,550,367,585,377,654,378,133,360,878,71,451,532,617,320,0,270,784,299,133,105,600,217,0,45,483,249,601,451,540,441,0,315,133,135,847,454,825,104,0,375,266,345,885,485,763,397,928,503,920,301,266,30,797,174,678,12,818,111,733,250,647,71,491,456,0,360,581,477,645,392,543,449,531,463,133,90,0,195,625,353,550,476,0,345,856,473,853,463,0,330,0,120,0,135,0,435,517,488,531,476,568,309,0,450,0,240,767,378,0,105,1465818003
0,90,409,30,881,57,0,255,133,390,133,465,0,480,133,435,133,405,468,153,0,420,0,180,417,36,133,60,878,89,479,177,937,521,0,405,0,60,448,544,779,192,0,495,0,225,649,417,0,465,848,447,876,79,880,41,133,15,795,123,133,45,133,30,0,510,0,390,0,300,415,49,133,75,133,375,133,120,0,285,611,330,0,210,603,344,782,310,641,341,550,367,585,377,654,378,133,360,878,71,451,532,617,320,0,270,784,299,133,105,600,217,0,45,483,249,601,451,540,441,0,315,133,135,847,454,825,104,0,375,266,345,885,485,763,397,928,503,920,301,266,30,797,174,678,12,818,111,733,250,647,71,491,456,0,360,581,477,645,392,543,449,531,463,133,90,0,195,625,353,550,476,0,345,856,473,853,463,0,330,0,120,0,135,0,435,517,488,531,476,568,309,0,450,0,240,767,378,0,105,1465818018
0,90,409,30,881,57,0,255,133,390,133,465,0,480,133,435,133,405,468,153,0,420,0,180,417,36,133,60,878,89,479,177,937,521,0,405,0,60,448,544,779,192,0,495,0,225,649,417,0,465,848,447,876,79,880,41,133,15,795,123,133,45,133,30,0,510,0,390,0,300,415,49,133,75,133,375,133,120,0,285,611,330,0,210,603,344,782,310,641,341,550,367,585,377,654,378,133,360,878,71,451,532,617,320,0,270,784,299,133,105,600,217,0,45,483,249,601,451,540,441,0,315,133,135,847,454,825,104,0,375,266,345,885,485,763,397,928,503,920,301,266,30,797,174,678,12,818,111,733,250,647,71,491,456,0,360,581,477,645,392,543,449,531,463,133,90,0,195,625,353,550,476,0,345,856,473,853,463,0,330,0,120,0,135,0,435,517,488,531,476,568,309,0,450,0,240,767,378,0,105,1465818033
0,90,409,30,881,57,0,255,133,390,133,465,0,480,133,435,133,405,468,153,0,420,0,180,417,36,133,60,878,89,479,177,937,521,0,405,0,60,448,544,779,192,0,495,0,225,649,417,0,465,848,447,876,79,880,41,133,15,795,123,133,45,133,30,0,510,0,390,0,300,415,49,133,75,133,375,133,120,0,285,611,330,0,210,603,344,782,310,641,341,550,367,585,377,654,378,133,360,878,71,451,532,617,320,0,270,784,299,133,105,600,217,0,45,483,249,601,451,540,441,0,315,133,135,847,454,825,104,0,375,266,345,885,485,763,397,928,503,920,301,266,30,797,174,678,12,818,111,733,250,647,71,491,456,0,360,581,477,645,392,543,449,531,463,133,90,0,195,625,353,550,476,0,345,856,473,853,463,0,330,0,120,0,135,0,435,517,488,531,476,568,309,0,450,0,240,767,378,0,105,1465818048
0,90,409,30,881,57,0,255,133,390,133,465,0,480,133,435,133,405,468,153,0,420,0,180,417,36,133,60,878,89,479,177,937,521,0,405,0,60,448,544,779,192,0,495,0,225,649,417,0,465,848,447,876,79,880,41,133,15,795,123,133,45,133,30,0,510,0,390,0,300,415,49,133,75,133,375,133,120,0,285,611,330,0,210,603,344,782,310,641,341,550,367,585,377,654,378,133,360,878,71,451,532,617,320,0,270,784,299,133,105,600,217,0,45,483,249,601,451,540,441,0,315,133,135,847,454,825,104,0,375,266,345,885,485,763,397,928,503,920,301,266,30,797,174,678,12,818,111,733,250,647,71,491,456,0,360,581,477,645,392,543,449,531,463,133,90,0,195,625,353,550,476,0,345,856,473,853,463,0,330,0,120,0,135,0,435,517,488,531,476,568,309,0,450,0,240,767,378,0,105,1465818063
0,90,409,30,881,57,0,255,133,390,133,465,0,480,133,435,133,405,468,153,0,420,0,180,417,36,133,60,878,89,479,177,937,521,0,405,0,60,448,544,779,192,0,495,0,225,649,417,0,465,848,447,876,79,880,41,133,15,795,123,133,45,133,30,0,510,0,390,0,300,415,49,133,75,133,375,133,120,0,285,611,330,0,210,603,344,782,310,641,341,550,367,585,377,654,378,133,360,878,71,451,532,617,320,0,270,784,299,133,105,600,217,0,45,483,249,601,451,540,441,0,315,133,135,847,454,825,104,0,375,266,345,885,485,763,397,928,503,920,301,266,30,797,174,678,12,818,111,733,250,647,71,491,456,0,360,581,477,645,392,543,449,531,463,133,90,0,195,625,353,550,476,0,345,856,473,853,463,0,330,0,120,0,135,0,435,517,488,531,476,568,309,0,450,0,240,767,378,0,105,1465818078
0,90,409,30,881,57,0,255,133,390,133,465,0,480,133,435,133,405,468,153,0,420,0,180,417,36,133,60,878,89,479,177,937,521,0,405,0,60,448,544,779,192,0,495,0,225,649,417,0,465,848,447,876,79,880,41,133,15,795,123,133,45,133,30,0,510,0,390,0,300,415,49,133,75,133,375,133,120,0,285,611,330,0,210,603,344,782,310,641,341,550,367,585,377,654,378,133,360,878,71,451,532,617,320,0,270,784,299,133,105,600,217,0,45,483,249,601,451,540,441,0,315,133,135,847,454,825,104,0,375,266,345,885,485,763,397,928,503,920,301,266,30,797,174,678,12,818,111,733,250,647,71,491,456,0,360,581,477,645,392,543,449,531,463,133,90,0,195,625,353,550,476,0,345,856,473,853,463,0,330,0,120,0,135,0,435,517,488,531,476,568,309,0,450,0,240,767,378,0,105,1465818093
0,90,409,30,881,57,0,255,133,390,133,465,0,480,133,435,133,405,468,153,0,420,0,180,417,36,133,60,878,89,479,177,937,521,0,405,0,60,448,544,779,192,0,495,0,225,649,417,0,465,848,447,876,79,880,41,133,15,795,123,133,45,133,30,0,510,0,390,0,300,415,49,133,75,133,375,133,120,0,285,611,330,0,210,603,344,782,310,641,341,550,367,585,377,654,378,133,360,878,71,451,532,617,320,0,270,784,299,133,105,600,217,0,45,483,249,601,451,540,441,0,315,133,135,847,454,825,104,0,375,266,345,885,485,763,397,928,503,920,301,266,30,797,174,678,12,818,111,733,250,647,71,491,456,0,360,581,477,645,392,543,449,531,463,133,90,0,195,625,353,550,476,0,345,856,473,853,463,0,330,0,120,0,135,0,435,517,488,531,476,568,309,0,450,0,240,767,378,0,105,1465818108
0,90,409,30,881,57,0,255,133,390,133,465,0,480,133,435,133,405,468,153,0,420,0,180,417,36,133,60,878,89,479,177,937,521,0,405,0,60,448,544,779,192,0,495,0,225,649,417,0,465,848,447,876,79,880,41,133,15,795,123,133,45,133,30,0,510,0,390,0,300,415,49,133,75,133,375,133,120,0,285,611,330,0,210,603,344,782,310,641,341,550,367,585,377,654,378,133,360,878,71,451,532,617,320,0,270,784,299,133,105,600,217,0,45,483,249,601,451,540,441,0,315,133,135,847,454,825,104,0,375,266,345,885,485,763,397,928,503,920,301,266,30,797,174,678,12,818,111,733,250,647,71,491,456,0,360,581,477,645,392,543,449,531,463,133,90,0,195,625,353,550,476,0,345,856,473,853,463,0,330,0,120,0,135,0,435,517,488,531,476,568,309,0,450,0,240,767,378,0,105,1465818123
0,90,409,30,881,57,0,255,133,390,133,465,0,480,133,435,133,405,468,153,0,420,0,180,417,36,133,60,878,89,479,177,937,521,0,405,0,60,448,544,779,192,0,495,0,225,649,417,0,465,848,447,876,79,880,41,133,15,795,123,133,45,133,30,0,510,0,390,0,300,415,49,133,75,133,375,133,120,0,285,611,330,0,210,603,344,782,310,641,341,550,367,585,377,654,378,133,360,878,71,451,532,617,320,0,270,784,299,133,105,600,217,0,45,483,249,601,451,540,441,0,315,133,135,847,454,825,104,0,375,266,345,885,485,763,397,928,503,920,301,266,30,797,174,678,12,818,111,733,250,647,71,491,456,0,360,581,477,645,392,543,449,531,463,133,90,0,195,625,353,550,476,0,345,856,473,853,463,0,330,0,120,0,135,0,435,517,488,531,476,568,309,0,450,0,240,767,378,0,105,1465818138
