266,(76-67)*15+15,0,22*15+15,133,(44-34)*15+15,133,(35-34)*15+15,266,(72-67)*15+15,133,(56-34)*15+15,0,32*15+15,0,31*15+15,133,(38-34)*15+15,266,(73-67)*15+15,133,(48-34)*15+15,266,(93-67)*15+15,0,13*15+15,266,(86-67)*15+15,133,(63-34)*15+15,0,8*15+15,133,(39-34)*15+15,266,(99-67)*15+15,0,7*15+15,266,(91-67)*15+15,0,29*15+15,0,18*15+15,133,(40-34)*15+15,133,(42-34)*15+15,0,23*15+15,0,16*15+15,0,0*15+15,266,(80-67)*15+15,266,(78-67)*15+15,266,(74-67)*15+15,266,(67-67)*15+15,0,24*15+15,0,10*15+15,0,5*15+15,0,11*15+15,133,(43-34)*15+15,0,14*15+15,133,(34-34)*15+15,266,(90-67)*15+15,266,(82-67)*15+15,0,17*15+15,133,(59-34)*15+15,133,(49-34)*15+15,266,(68-67)*15+15,266,(70-67)*15+15,133,(66-34)*15+15,266,(95-67)*15+15,0,12*15+15,266,(79-67)*15+15,0,27*15+15,0,19*15+15,266,(97-67)*15+15,266,(85-67)*15+15,0,6*15+15,0,26*15+15,133,(62-34)*15+15,266,(75-67)*15+15,133,(37-34)*15+15,133,(54-34)*15+15,0,9*15+15,0,3*15+15,0,21*15+15,133,(65-34)*15+15,0,25*15+15,266,(88-67)*15+15,0,28*15+15,133,(57-34)*15+15,0,15*15+15,266,(83-67)*15+15,133,(58-34)*15+15,133,(36-34)*15+15,133,(47-34)*15+15,0,30*15+15,133,(61-34)*15+15,266,(77-67)*15+15,133,(41-34)*15+15,133,(55-34)*15+15,133,(45-34)*15+15,266,(69-67)*15+15,0,4*15+15,266,(89-67)*15+15,0,20*15+15,133,(46-34)*15+15,266,(84-67)*15+15,0,33*15+15,266,(98-67)*15+15,266,(87-67)*15+15,133,(50-34)*15+15,266,(96-67)*15+15,133,(52-34)*15+15,133,(64-34)*15+15,133,(60-34)*15+15,266,(94-67)*15+15,0,1*15+15,133,(51-34)*15+15,133,(53-34)*15+15,266,(92-67)*15+15,0,2*15+15,266,(71-67)*15+15,266,(81-67)*15+15,1465812594
266,150,0,345,133,165,133,30,266,90,133,345,0,495,0,480,133,75,266,105,133,225,266,405,444,289,266,300,133,450,512,319,133,90,266,495,449,89,266,375,0,450,615,50,133,105,133,135,0,360,652,204,407,21,266,210,266,180,266,120,266,15,0,375,456,36,808,81,490,55,133,150,580,306,133,15,266,360,266,240,546,100,133,390,133,240,266,30,266,60,133,495,266,435,511,203,266,195,0,420,589,329,266,465,266,285,416,68,0,405,133,435,266,135,133,60,133,315,467,338,470,40,530,76,133,480,0,390,266,330,0,435,133,360,731,250,266,255,133,375,133,45,133,210,0,465,133,420,266,165,133,120,133,330,133,180,266,45,492,468,266,345,893,421,133,195,266,270,0,510,266,480,266,315,133,255,266,450,133,285,133,465,133,405,266,420,867,379,133,270,133,300,266,390,821,400,266,75,266,225,1465812758
266,150,562,342,133,165,133,30,266,90,133,345,0,495,0,480,133,75,266,105,133,225,266,405,530,359,266,300,133,450,512,319,133,90,266,495,449,89,266,375,0,450,615,50,133,105,133,135,0,360,652,204,407,21,266,210,266,180,266,120,266,15,0,375,456,36,808,81,490,55,133,150,580,306,133,15,266,360,266,240,546,100,133,390,133,240,266,30,266,60,133,495,266,435,511,203,266,195,0,420,589,329,266,465,266,285,416,68,0,405,133,435,266,135,133,60,133,315,467,338,470,40,530,76,133,480,0,390,266,330,0,435,133,360,731,250,266,255,133,375,133,45,133,210,0,465,133,420,266,165,133,120,133,330,133,180,266,45,492,468,266,345,893,421,133,195,266,270,0,510,266,480,266,315,133,255,266,450,133,285,133,465,133,405,266,420,867,379,133,270,133,300,266,390,821,400,266,75,266,225,1465812773
266,150,562,342,133,165,133,30,266,90,133,345,0,495,0,480,133,75,266,105,133,225,266,405,515,357,266,300,133,450,512,319,133,90,266,495,449,89,266,375,0,450,615,50,133,105,133,135,380,322,652,204,407,21,266,210,266,180,266,120,266,15,0,375,456,36,808,81,490,55,133,150,580,306,133,15,266,360,266,240,546,100,133,390,133,240,266,30,266,60,133,495,266,435,511,203,266,195,0,420,589,329,266,465,266,285,416,68,0,405,133,435,266,135,133,60,133,315,467,338,470,40,530,76,133,480,0,390,266,330,0,435,133,360,731,250,266,255,133,375,133,45,133,210,0,465,133,420,266,165,133,120,133,330,133,180,266,45,492,468,266,345,893,421,133,195,266,270,0,510,266,480,266,315,133,255,266,450,133,285,133,465,133,405,266,420,867,379,133,270,133,300,266,390,821,400,266,75,266,225,1465812788
266,150,562,342,133,165,133,30,266,90,133,345,0,495,0,480,133,75,266,105,133,225,266,405,515,357,266,300,133,450,512,319,133,90,266,495,449,89,266,375,0,450,615,50,133,105,133,135,379,322,652,204,407,21,266,210,266,180,266,120,266,15,589,356,456,36,808,81,490,55,133,150,580,306,133,15,266,360,266,240,546,100,133,390,133,240,266,30,266,60,133,495,266,435,511,203,266,195,0,420,589,329,266,465,266,285,416,68,225,198,133,435,266,135,133,60,133,315,467,338,470,40,530,76,133,480,662,243,266,330,0,435,133,360,731,250,266,255,133,375,133,45,133,210,0,465,133,420,266,165,133,120,133,330,133,180,266,45,492,468,266,345,893,421,133,195,266,270,0,510,266,480,266,315,133,255,266,450,133,285,133,465,133,405,266,420,867,379,133,270,133,300,266,390,821,400,266,75,266,225,1465812803
266,150,562,342,133,165,133,30,266,90,133,345,0,495,0,480,133,75,266,105,133,225,266,405,515,357,266,300,133,450,512,319,133,90,266,495,449,89,266,375,0,450,615,50,133,105,133,135,379,322,652,204,407,21,266,210,266,180,266,120,266,15,589,356,456,36,808,81,490,55,133,150,580,306,133,15,266,360,266,240,546,100,133,390,133,240,266,30,266,60,133,495,266,435,511,203,266,195,499,21,589,329,266,465,266,285,416,68,481,38,133,435,266,135,133,60,133,315,467,338,481,37,530,76,133,480,662,243,266,330,408,287,133,360,731,250,266,255,133,375,133,45,133,210,0,465,133,420,266,165,133,120,133,330,133,180,266,45,492,468,266,345,893,421,133,195,266,270,0,510,266,480,266,315,133,255,266,450,133,285,133,465,133,405,266,420,867,379,133,270,133,300,266,390,821,400,266,75,266,225,1465812818
266,150,562,342,133,165,133,30,266,90,133,345,0,495,0,480,133,75,266,105,133,225,266,405,515,357,266,300,133,450,512,319,133,90,266,495,449,89,266,375,486,36,615,50,133,105,133,135,379,322,652,204,407,21,266,210,266,180,266,120,266,15,589,356,456,36,808,81,490,55,133,150,580,306,133,15,266,360,266,240,546,100,133,390,133,240,266,30,266,60,133,495,266,435,511,203,266,195,499,21,589,329,266,465,266,285,416,68,481,38,133,435,266,135,133,60,133,315,467,338,481,37,530,76,133,480,662,243,266,330,638,280,133,360,731,250,266,255,133,375,133,45,133,210,478,165,133,420,266,165,133,120,133,330,133,180,266,45,492,468,266,345,893,421,133,195,266,270,0,510,266,480,266,315,133,255,266,450,133,285,133,465,133,405,266,420,867,379,133,270,133,300,266,390,821,400,266,75,266,225,1465812833
266,150,562,342,133,165,133,30,266,90,133,345,0,495,0,480,133,75,266,105,133,225,266,405,515,357,266,300,133,450,512,319,133,90,266,495,449,89,266,375,486,36,615,50,133,105,133,135,379,322,652,204,407,21,266,210,266,180,266,120,266,15,589,356,456,36,808,81,490,55,133,150,580,306,133,15,266,360,266,240,546,100,133,390,133,240,266,30,266,60,133,495,266,435,511,203,266,195,499,21,589,329,266,465,266,285,416,68,481,38,133,435,266,135,133,60,133,315,467,338,479,37,530,76,133,480,662,243,266,330,638,280,133,360,731,250,266,255,133,375,133,45,133,210,607,162,133,420,266,165,133,120,133,330,133,180,266,45,492,468,266,345,893,421,133,195,266,270,0,510,266,480,266,315,133,255,266,450,133,285,133,465,133,405,266,420,867,379,133,270,133,300,266,390,821,400,266,75,266,225,1465812848
266,150,562,342,133,165,133,30,266,90,133,345,0,495,442,48,133,75,266,105,133,225,266,405,515,357,266,300,133,450,512,319,133,90,266,495,449,89,266,375,486,36,615,50,133,105,133,135,379,322,652,204,407,21,266,210,266,180,266,120,266,15,589,356,456,36,808,81,490,55,133,150,580,306,133,15,266,360,266,240,606,89,133,390,133,240,266,30,266,60,133,495,266,435,511,203,266,195,499,21,589,329,266,465,266,285,416,68,481,38,133,435,266,135,133,60,133,315,467,338,479,37,530,76,133,480,662,243,266,330,638,280,133,360,731,250,266,255,133,375,133,45,133,210,607,162,133,420,266,165,133,120,133,330,133,180,266,45,492,468,266,345,893,421,133,195,266,270,0,510,266,480,266,315,133,255,266,450,133,285,133,465,133,405,266,420,867,379,133,270,133,300,266,390,821,400,266,75,266,225,1465812863
266,150,562,342,133,165,133,30,266,90,133,345,434,183,578,25,133,75,266,105,133,225,266,405,515,357,266,300,133,450,512,319,133,90,266,495,449,89,266,375,486,36,615,50,133,105,133,135,379,322,652,204,407,21,266,210,266,180,266,120,266,15,589,356,456,36,808,81,490,55,133,150,580,306,133,15,266,360,266,240,606,89,133,390,133,240,266,30,266,60,133,495,266,435,511,203,266,195,499,21,589,329,266,465,266,285,416,68,481,38,133,435,266,135,133,60,133,315,467,338,479,37,530,76,133,480,662,243,266,330,638,280,133,360,731,250,266,255,133,375,133,45,133,210,607,162,133,420,266,165,133,120,133,330,133,180,266,45,492,468,266,345,893,421,133,195,266,270,0,510,266,480,266,315,133,255,266,450,133,285,133,465,133,405,266,420,867,379,133,270,133,300,266,390,821,400,266,75,266,225,1465812878
266,150,562,342,133,165,133,30,266,90,133,345,434,183,578,25,133,75,266,105,133,225,266,405,515,357,266,300,133,450,512,319,133,90,266,495,449,89,266,375,486,36,615,50,133,105,133,135,379,322,652,204,407,21,266,210,266,180,266,120,266,15,589,356,456,36,808,81,490,55,133,150,580,306,650,305,266,360,266,240,606,89,133,390,133,240,266,30,266,60,133,495,266,435,669,468,266,195,499,21,589,329,266,465,266,285,416,68,481,38,133,435,266,135,133,60,133,315,467,338,479,37,530,76,133,480,662,243,266,330,638,280,133,360,731,250,266,255,133,375,133,45,133,210,607,162,133,420,266,165,133,120,133,330,133,180,266,45,492,468,266,345,893,421,133,195,266,270,624,491,266,480,266,315,133,255,266,450,133,285,133,465,133,405,266,420,867,379,133,270,133,300,266,390,821,400,266,75,266,225,1465812893
266,150,562,342,133,165,529,243,266,90,133,345,434,183,578,25,133,75,266,105,133,225,266,405,515,357,266,300,133,450,512,319,133,90,266,495,449,89,266,375,486,36,615,50,133,105,133,135,379,322,652,204,407,21,266,210,266,180,266,120,266,15,589,356,456,36,808,81,490,55,133,150,580,306,650,305,266,360,266,240,606,89,133,390,133,240,266,30,266,60,133,495,266,435,669,468,266,195,499,21,589,329,266,465,266,285,416,68,481,38,133,435,266,135,133,60,133,315,467,338,479,37,530,76,133,480,662,243,266,330,638,280,133,360,731,250,266,255,133,375,724,228,133,210,574,226,133,420,266,165,133,120,133,330,133,180,266,45,492,468,266,345,893,421,133,195,266,270,624,491,266,480,266,315,133,255,266,450,133,285,133,465,133,405,266,420,867,379,133,270,133,300,266,390,821,400,266,75,266,225,1465812908
266,150,562,342,133,165,529,243,266,90,133,345,434,183,578,25,524,139,266,105,133,225,266,405,515,357,266,300,133,450,512,319,133,90,266,495,449,89,266,375,486,36,615,50,133,105,133,135,379,322,652,204,407,21,266,210,266,180,266,120,266,15,589,356,456,36,808,81,490,55,133,150,580,306,650,305,266,360,266,240,606,89,133,390,133,240,266,30,266,60,133,495,266,435,669,468,266,195,499,21,589,329,266,465,266,285,416,68,481,38,133,435,266,135,924,344,133,315,467,338,479,37,530,76,133,480,662,243,266,330,638,280,133,360,731,250,266,255,133,375,711,225,133,210,574,226,133,420,266,165,133,120,133,330,133,180,266,45,492,468,266,345,893,421,133,195,266,270,624,491,266,480,266,315,133,255,266,450,133,285,133,465,133,405,266,420,867,379,133,270,133,300,266,390,821,400,266,75,266,225,1465812923
