133,(59-34)*15+15,133,(54-34)*15+15,266,(99-67)*15+15,266,(85-67)*15+15,266,(67-67)*15+15,266,(68-67)*15+15,266,(76-67)*15+15,0,16*15+15,266,(97-67)*15+15,266,(70-67)*15+15,133,(45-34)*15+15,133,(39-34)*15+15,133,(57-34)*15+15,133,(56-34)*15+15,266,(81-67)*15+15,133,(61-34)*15+15,266,(80-67)*15+15,133,(46-34)*15+15,266,(94-67)*15+15,266,(84-67)*15+15,266,(89-67)*15+15,266,(74-67)*15+15,133,(36-34)*15+15,133,(48-34)*15+15,0,15*15+15,0,8*15+15,0,13*15+15,266,(79-67)*15+15,0,31*15+15,266,(98-67)*15+15,133,(38-34)*15+15,0,14*15+15,266,(87-67)*15+15,0,21*15+15,0,23*15+15,0,19*15+15,0,6*15+15,266,(72-67)*15+15,0,22*15+15,266,(78-67)*15+15,0,30*15+15,0,27*15+15,0,18*15+15,133,(41-34)*15+15,266,(86-67)*15+15,0,11*15+15,0,17*15+15,133,(66-34)*15+15,133,(40-34)*15+15,133,(34-34)*15+15,133,(53-34)*15+15,0,10*15+15,133,(35-34)*15+15,266,(96-67)*15+15,266,(83-67)*15+15,133,(42-34)*15+15,133,(60-34)*15+15,0,28*15+15,266,(91-67)*15+15,0,1*15+15,133,(65-34)*15+15,0,5*15+15,133,(50-34)*15+15,133,(44-34)*15+15,0,29*15+15,133,(47-34)*15+15,133,(64-34)*15+15,0,25*15+15,266,(73-67)*15+15,266,(88-67)*15+15,0,26*15+15,266,(92-67)*15+15,266,(77-67)*15+15,0,12*15+15,133,(43-34)*15+15,0,24*15+15,0,33*15+15,133,(52-34)*15+15,0,32*15+15,133,(49-34)*15+15,0,2*15+15,266,(90-67)*15+15,133,(62-34)*15+15,266,(75-67)*15+15,0,9*15+15,266,(82-67)*15+15,133,(55-34)*15+15,266,(71-67)*15+15,133,(63-34)*15+15,0,3*15+15,0,20*15+15,266,(93-67)*15+15,133,(58-34)*15+15,266,(95-67)*15+15,266,(69-67)*15+15,0,7*15+15,133,(51-34)*15+15,0,4*15+15,0,0*15+15,133,(37-34)*15+15,1466249801
133,390,133,315,266,495,3,522,266,15,266,30,266,150,0,255,267,286,266,60,133,180,133,90,133,360,133,345,262,483,133,420,266,210,133,195,267,517,266,270,266,345,266,120,133,45,133,225,0,240,0,135,266,508,263,472,0,480,258,417,133,75,0,225,266,315,0,330,0,360,0,300,3,537,266,90,0,345,266,180,0,465,0,420,0,285,133,120,266,300,4,110,0,270,133,495,133,105,133,15,133,300,0,165,133,30,266,450,266,255,133,135,133,405,0,435,266,375,1,549,133,480,0,90,133,255,133,165,0,450,133,210,133,465,0,390,266,105,266,330,0,405,266,390,266,165,0,195,133,150,0,375,0,510,133,285,0,495,133,240,0,45,266,360,133,435,266,135,0,150,266,240,133,330,266,75,133,450,0,60,0,315,266,405,133,375,266,435,266,45,0,120,133,270,0,75,0,15,133,60,1466249981
133,390,133,315,266,495,3,522,266,15,266,30,266,150,0,255,267,286,266,60,133,180,133,90,133,360,133,345,262,483,133,420,266,210,133,195,267,517,266,270,266,345,266,120,133,45,133,225,0,240,0,135,266,508,263,472,0,480,258,417,133,75,0,225,266,315,0,330,0,360,0,300,3,537,266,90,0,345,266,180,0,465,0,420,0,285,133,120,266,300,4,110,0,270,133,495,133,105,133,15,133,300,0,165,138,37,266,450,266,255,133,135,133,405,0,435,266,375,1,549,133,480,0,90,133,255,133,165,0,450,133,210,133,465,0,390,266,105,266,330,0,405,266,390,266,165,0,195,133,150,0,375,0,510,133,285,0,495,133,240,0,45,266,360,133,435,266,135,0,150,266,240,133,330,266,75,133,450,0,60,0,315,266,405,133,375,266,435,266,45,0,120,133,270,0,75,0,15,133,60,1466249996
133,390,133,315,266,495,3,522,266,15,266,30,266,150,0,255,267,286,266,60,133,180,133,90,133,360,133,345,262,483,133,420,266,210,133,195,267,517,266,270,266,345,266,120,133,45,133,225,0,240,0,135,266,508,263,472,0,480,258,417,133,75,0,225,266,315,0,330,0,360,0,300,3,537,266,90,0,345,266,180,0,465,0,420,0,285,133,120,266,300,4,110,0,270,133,495,133,105,-8,25,133,300,0,165,130,31,266,450,266,255,133,135,133,405,0,435,266,375,1,549,133,480,0,90,133,255,133,165,0,450,133,210,133,465,0,390,266,105,266,330,0,405,266,390,266,165,0,195,133,150,0,375,0,510,133,285,0,495,133,240,0,45,266,360,133,435,266,135,0,150,266,240,133,330,266,75,133,450,221,429,0,315,266,405,133,375,266,435,266,45,0,120,133,270,0,75,0,15,133,60,1466250011
133,390,133,315,266,495,3,522,266,15,266,30,266,150,0,255,267,286,266,60,133,180,133,90,133,360,133,345,262,483,133,420,266,210,133,195,267,517,266,270,266,345,266,120,133,45,133,225,0,240,0,135,266,508,263,472,0,480,258,417,133,75,0,225,266,315,0,330,0,360,0,300,3,537,266,90,0,345,266,180,0,465,0,420,0,285,133,120,266,300,4,110,0,270,133,495,133,105,-8,25,133,300,0,165,130,31,-1,59,266,255,133,135,133,405,0,435,266,375,1,549,133,480,0,90,133,255,133,165,0,450,133,210,133,465,0,390,266,105,266,330,0,405,266,390,266,165,0,195,133,150,0,375,0,510,133,285,0,495,133,240,0,45,266,360,133,435,266,135,0,150,266,240,133,330,266,75,133,450,270,462,0,315,266,405,133,375,266,435,266,45,0,120,133,270,0,75,0,15,133,60,1466250026
133,390,133,315,266,495,3,522,266,15,266,30,266,150,0,255,267,286,266,60,133,180,133,90,133,360,133,345,262,483,133,420,266,210,133,195,267,517,266,270,266,345,266,120,133,45,133,225,0,240,0,135,266,508,263,472,0,480,258,417,133,75,0,225,266,315,0,330,0,360,0,300,3,537,266,90,0,345,266,180,0,465,0,420,0,285,133,120,266,300,4,110,0,270,133,495,133,105,-8,25,133,300,0,165,130,31,-1,59,264,448,133,135,133,405,0,435,266,375,1,549,133,480,0,90,133,255,133,165,0,450,133,210,133,465,0,390,266,105,266,330,0,405,266,390,266,165,0,195,133,150,0,375,0,510,133,285,0,495,133,240,0,45,266,360,133,435,266,135,0,150,266,240,133,330,266,75,133,450,270,462,0,315,266,405,133,375,266,435,266,45,0,120,133,270,0,75,0,15,133,60,1466250041
133,390,133,315,266,495,3,522,266,15,266,30,266,150,0,255,267,286,266,60,133,180,133,90,133,360,133,345,262,483,133,420,266,210,133,195,267,517,266,270,266,345,266,120,133,45,133,225,0,240,0,135,266,508,263,472,0,480,263,424,133,75,0,225,259,436,0,330,0,360,0,300,3,537,266,90,0,345,266,180,0,465,0,420,0,285,133,120,266,300,4,110,0,270,133,495,133,105,-8,25,133,300,0,165,130,31,-1,59,264,448,133,135,133,405,0,435,266,375,1,549,133,480,0,90,133,255,133,165,0,450,133,210,133,465,0,390,266,105,266,330,0,405,266,390,266,165,0,195,133,150,0,375,0,510,133,285,0,495,133,240,0,45,266,360,133,435,266,135,0,150,266,240,133,330,266,75,133,450,270,462,0,315,261,199,133,375,265,252,266,45,0,120,133,270,0,75,0,15,133,60,1466250056
133,390,133,315,266,495,3,522,266,15,266,30,266,150,0,255,267,286,266,60,133,180,133,90,133,360,133,345,262,483,133,420,266,210,133,195,267,517,266,270,272,413,266,120,133,45,133,225,0,240,0,135,266,508,263,472,0,480,263,423,133,75,0,225,259,436,0,330,0,360,0,300,3,537,266,90,0,345,266,180,0,465,0,420,0,285,133,120,266,300,4,110,0,270,133,495,133,105,-8,25,133,300,0,165,130,31,-1,59,264,448,133,135,133,405,0,435,266,375,1,549,133,480,0,90,133,255,133,165,0,450,133,210,133,465,0,390,266,105,266,330,0,405,266,390,266,165,0,195,133,150,0,375,0,510,133,285,0,495,133,240,0,45,266,360,133,435,266,135,0,150,266,240,133,330,266,75,133,450,270,462,0,315,261,199,133,375,265,252,266,45,0,120,133,270,0,75,0,15,133,60,1466250071
133,390,133,315,266,495,3,522,266,15,266,30,266,150,0,255,267,286,266,60,133,180,133,90,133,360,133,345,262,483,133,420,266,210,133,195,267,517,266,270,272,413,266,120,133,45,133,225,0,240,0,135,266,508,263,472,0,480,263,423,133,75,0,225,259,436,0,330,0,360,0,300,3,537,266,90,0,345,266,180,0,465,0,420,0,285,133,120,266,300,4,110,0,270,133,495,133,105,3,25,133,300,0,165,6,38,-1,59,264,448,133,135,133,405,0,435,266,375,1,549,133,480,0,90,133,255,133,165,0,450,133,210,133,465,0,390,266,105,266,330,0,405,266,390,266,165,0,195,133,150,0,375,0,510,133,285,0,495,133,240,1,49,266,360,133,435,266,135,0,150,266,240,133,330,266,75,133,450,270,462,0,315,261,199,133,375,265,252,266,45,0,120,133,270,0,75,0,15,133,60,1466250086
133,390,133,315,266,495,3,522,266,15,266,30,266,150,0,255,267,286,266,60,133,180,133,90,133,360,133,345,262,483,133,420,266,210,133,195,267,517,266,270,272,413,266,120,133,45,133,225,0,240,0,135,266,508,263,472,0,480,263,423,133,75,0,225,259,436,0,330,0,360,0,300,3,537,266,90,0,345,266,180,0,465,0,420,0,285,133,120,266,300,4,110,0,270,133,495,133,105,3,25,133,300,0,165,6,38,-1,59,264,448,271,400,133,405,0,435,266,375,1,549,133,480,0,90,133,255,133,165,0,450,133,210,133,465,0,390,266,105,266,330,0,405,266,390,266,165,0,195,133,150,0,375,0,510,133,285,0,495,133,240,130,22,266,360,133,435,266,135,0,150,266,240,133,330,266,75,133,450,270,462,0,315,261,199,133,375,265,252,266,45,0,120,133,270,0,75,0,15,133,60,1466250101
133,390,133,315,266,495,3,522,266,15,266,30,266,150,0,255,267,286,266,60,133,180,133,90,133,360,133,345,262,483,133,420,266,210,133,195,267,517,266,270,272,413,266,120,133,45,133,225,0,240,0,135,266,508,263,472,0,480,263,423,133,75,0,225,259,436,0,330,0,360,0,300,3,537,266,90,0,345,266,180,0,465,0,420,0,285,133,120,266,300,4,110,0,270,133,495,133,105,3,25,133,300,-16,64,6,38,8,209,264,448,271,400,133,405,0,435,266,375,1,549,133,480,0,90,-3,52,133,165,0,450,133,210,133,465,0,390,266,105,266,330,0,405,266,390,266,165,0,195,133,150,0,375,0,510,133,285,0,495,133,240,130,22,266,360,133,435,266,135,0,150,266,240,133,330,266,75,133,450,270,462,0,315,261,199,133,375,265,252,266,45,0,120,133,270,0,75,0,15,133,60,1466250116
133,390,133,315,266,495,3,522,266,15,266,30,266,150,0,255,267,286,266,60,133,180,133,90,133,360,133,345,262,483,133,420,266,210,133,195,267,517,266,270,272,413,266,120,133,45,133,225,0,240,0,135,266,508,263,472,0,480,263,423,133,75,0,225,259,436,0,330,0,360,0,300,3,537,266,90,0,345,266,180,0,465,0,420,0,285,133,120,266,300,4,110,0,270,133,495,133,105,3,25,133,300,-16,64,6,38,8,209,264,448,271,400,133,405,0,435,266,375,1,549,133,480,0,90,-3,52,133,165,0,450,133,210,133,465,0,390,266,105,266,330,0,405,266,390,266,165,0,195,133,150,0,375,0,510,133,285,0,495,133,240,130,22,266,360,133,435,266,135,0,150,266,240,133,330,266,75,133,450,270,462,0,315,261,199,133,375,265,252,266,45,0,120,133,270,127,256,0,15,133,60,1466250131
133,390,131,321,266,495,3,522,266,15,266,30,266,150,0,255,267,286,266,60,133,180,133,90,133,360,133,345,262,483,133,420,266,210,133,195,267,517,266,270,272,413,266,120,133,45,133,225,0,240,0,135,266,508,263,472,0,480,263,423,133,75,0,225,259,436,0,330,0,360,0,300,3,537,266,90,0,345,266,180,0,465,0,420,0,285,133,120,266,300,4,110,0,270,133,495,133,105,3,25,133,300,-16,64,6,38,8,209,264,448,271,400,133,405,0,435,266,375,1,549,133,480,0,90,-3,52,133,165,0,450,133,210,133,465,0,390,266,105,266,330,0,405,266,390,266,165,0,195,133,150,0,375,0,510,133,285,0,495,133,240,130,22,266,360,133,435,266,135,0,150,266,240,133,330,266,75,133,450,270,462,0,315,261,199,133,375,265,252,266,45,0,120,133,270,127,256,0,15,133,60,1466250146
