0,14*15+15,0,27*15+15,266,(91-67)*15+15,266,(79-67)*15+15,0,31*15+15,266,(98-67)*15+15,133,(38-34)*15+15,0,20*15+15,266,(72-67)*15+15,133,(48-34)*15+15,266,(88-67)*15+15,0,1*15+15,133,(53-34)*15+15,0,29*15+15,266,(71-67)*15+15,0,19*15+15,133,(37-34)*15+15,0,10*15+15,266,(75-67)*15+15,266,(73-67)*15+15,266,(85-67)*15+15,133,(56-34)*15+15,266,(76-67)*15+15,0,2*15+15,0,33*15+15,133,(58-34)*15+15,133,(60-34)*15+15,0,24*15+15,266,(87-67)*15+15,0,11*15+15,0,32*15+15,266,(95-67)*15+15,0,3*15+15,266,(69-67)*15+15,133,(57-34)*15+15,133,(54-34)*15+15,133,(42-34)*15+15,0,13*15+15,266,(77-67)*15+15,0,25*15+15,266,(92-67)*15+15,133,(55-34)*15+15,133,(39-34)*15+15,0,30*15+15,133,(49-34)*15+15,266,(81-67)*15+15,133,(51-34)*15+15,133,(64-34)*15+15,0,7*15+15,133,(52-34)*15+15,133,(59-34)*15+15,133,(61-34)*15+15,133,(44-34)*15+15,266,(96-67)*15+15,0,23*15+15,133,(66-34)*15+15,133,(40-34)*15+15,0,17*15+15,266,(89-67)*15+15,266,(99-67)*15+15,0,18*15+15,0,16*15+15,133,(41-34)*15+15,0,28*15+15,133,(65-34)*15+15,266,(90-67)*15+15,133,(47-34)*15+15,266,(68-67)*15+15,266,(80-67)*15+15,266,(94-67)*15+15,266,(93-67)*15+15,133,(43-34)*15+15,0,15*15+15,0,21*15+15,0,26*15+15,133,(62-34)*15+15,266,(84-67)*15+15,133,(36-34)*15+15,0,22*15+15,266,(67-67)*15+15,266,(86-67)*15+15,133,(63-34)*15+15,266,(74-67)*15+15,266,(82-67)*15+15,133,(34-34)*15+15,0,9*15+15,0,4*15+15,266,(83-67)*15+15,0,0*15+15,133,(46-34)*15+15,0,8*15+15,266,(78-67)*15+15,0,12*15+15,133,(50-34)*15+15,266,(70-67)*15+15,0,5*15+15,0,6*15+15,266,(97-67)*15+15,133,(35-34)*15+15,133,(45-34)*15+15,1476535474
0,225,0,420,266,375,266,195,0,480,266,480,641,188,0,315,266,90,133,225,266,330,588,221,133,300,500,366,266,75,0,300,133,60,0,165,266,135,266,105,266,285,133,345,266,150,589,205,486,205,133,375,133,405,471,218,266,315,-1,180,519,220,266,435,609,236,266,45,133,360,133,315,133,135,0,210,266,165,0,390,266,390,133,330,133,90,2,467,133,240,266,225,133,270,133,465,0,120,133,285,133,390,133,420,133,165,266,450,535,235,133,495,133,105,0,270,266,345,266,495,0,285,0,255,133,120,0,435,133,480,266,360,133,210,266,30,266,210,266,420,266,405,133,150,635,220,0,330,0,405,133,435,266,270,133,45,0,345,266,15,266,300,133,450,266,120,266,240,133,15,0,150,0,75,266,255,0,15,133,195,573,250,266,180,0,195,133,255,266,60,0,90,0,105,266,465,133,30,133,180,1476535671
0,225,0,420,266,375,266,195,0,480,266,480,641,188,0,315,266,90,133,225,266,330,588,221,481,234,500,366,266,75,0,300,133,60,0,165,266,135,266,105,266,285,133,345,266,150,589,205,486,205,133,375,133,405,518,342,266,315,-1,180,519,220,266,435,609,236,266,45,133,360,122,320,133,135,0,210,266,165,0,390,266,390,133,330,133,90,2,467,133,240,266,225,505,251,133,465,0,120,133,285,133,390,133,420,133,165,266,450,535,235,133,495,133,105,0,270,266,345,266,495,0,285,0,255,133,120,0,435,133,480,266,360,133,210,266,30,266,210,266,420,266,405,133,150,635,220,0,330,0,405,133,435,266,270,133,45,0,345,266,15,266,300,133,450,266,120,266,240,133,15,0,150,0,75,266,255,0,15,133,195,573,250,266,180,0,195,133,255,266,60,0,90,0,105,266,465,133,30,133,180,1476535686
0,225,0,420,266,375,266,195,0,480,266,480,641,188,0,315,266,90,133,225,266,330,588,221,481,234,500,366,266,75,0,300,133,60,0,165,266,135,266,105,266,285,133,345,266,150,589,205,486,205,133,375,133,405,518,342,445,219,-1,180,519,220,266,435,609,236,266,45,133,360,122,320,133,135,0,210,266,165,0,390,266,390,133,330,133,90,2,467,133,240,266,225,505,251,133,465,0,120,133,285,133,390,133,420,133,165,266,450,535,235,133,495,133,105,0,270,266,345,266,495,0,285,0,255,133,120,0,435,133,480,266,360,133,210,266,30,266,210,266,420,266,405,133,150,635,220,0,330,0,405,133,435,266,270,133,45,0,345,266,15,266,300,133,450,266,120,266,240,133,15,0,150,0,75,266,255,0,15,133,195,573,250,266,180,0,195,133,255,266,60,0,90,0,105,266,465,133,30,133,180,1476535701
0,225,0,420,266,375,266,195,0,480,266,480,641,188,0,315,266,90,133,225,266,330,588,221,481,234,500,366,266,75,0,300,133,60,0,165,266,135,266,105,266,285,133,345,266,150,589,205,486,205,133,375,133,405,518,342,445,219,-1,180,519,220,266,435,609,236,266,45,133,360,122,320,133,135,0,210,266,165,0,390,266,390,133,330,133,90,2,467,133,240,266,225,505,251,133,465,0,120,133,285,133,390,133,420,133,165,266,450,535,235,133,495,133,105,0,270,266,345,266,495,0,285,0,255,630,222,0,435,133,480,266,360,133,210,266,30,266,210,266,420,266,405,133,150,695,205,0,330,0,405,133,435,266,270,133,45,0,345,266,15,266,300,133,450,266,120,266,240,133,15,0,150,0,75,266,255,0,15,133,195,573,250,266,180,0,195,133,255,266,60,0,90,0,105,266,465,133,30,133,180,1476535716
0,225,0,420,266,375,266,195,0,480,266,480,641,188,0,315,266,90,133,225,266,330,588,221,481,234,500,366,266,75,0,300,133,60,0,165,266,135,266,105,266,285,133,345,266,150,589,205,486,205,133,375,133,405,518,342,445,219,-1,180,519,220,266,435,609,236,266,45,133,360,122,320,703,222,0,210,266,165,0,390,266,390,133,330,133,90,2,467,133,240,266,225,505,251,133,465,0,120,133,285,133,390,133,420,133,165,266,450,535,235,133,495,133,105,0,270,266,345,266,495,0,285,0,255,630,222,0,435,133,480,266,360,133,210,266,30,266,210,266,420,266,405,136,122,695,205,0,330,0,405,133,435,266,270,133,45,0,345,266,15,266,300,133,450,266,120,266,240,133,15,0,150,0,75,266,255,0,15,133,195,573,250,266,180,0,195,133,255,266,60,0,90,0,105,266,465,133,30,133,180,1476535731
0,225,0,420,266,375,266,195,0,480,266,480,641,188,0,315,266,90,133,225,266,330,588,221,481,234,500,366,266,75,0,300,133,60,0,165,266,135,266,105,266,285,133,345,266,150,589,205,486,205,133,375,133,405,518,342,445,219,-1,180,519,220,266,435,609,236,266,45,133,360,122,320,651,251,0,210,266,165,0,390,266,390,133,330,133,90,2,467,133,240,266,225,505,251,133,465,0,120,133,285,133,390,133,420,133,165,266,450,535,235,133,495,133,105,0,270,266,345,266,495,0,285,0,255,630,222,0,435,133,480,266,360,133,210,266,30,266,210,266,420,266,405,136,122,695,205,0,330,0,405,133,435,266,270,133,45,0,345,266,15,266,300,133,450,266,120,266,240,133,15,0,150,0,75,266,255,0,15,133,195,573,250,266,180,0,195,133,255,266,60,0,90,0,105,266,465,133,30,133,180,1476535746
0,225,0,420,266,375,266,195,0,480,266,480,641,188,0,315,266,90,133,225,266,330,588,221,481,234,500,366,481,269,0,300,133,60,0,165,266,135,266,105,266,285,133,345,266,150,589,205,486,205,133,375,133,405,518,342,445,219,-1,180,519,220,266,435,609,236,266,45,133,360,122,320,138,145,0,210,266,165,0,390,266,390,133,330,133,90,2,467,133,240,266,225,505,251,133,465,0,120,133,285,133,390,133,420,133,165,266,450,535,235,133,495,133,105,0,270,266,345,266,495,0,285,0,255,630,222,0,435,133,480,266,360,133,210,266,30,266,210,266,420,266,405,136,122,695,205,0,330,0,405,133,435,266,270,133,45,0,345,266,15,266,300,133,450,266,120,266,240,133,15,0,150,0,75,266,255,0,15,133,195,573,250,266,180,0,195,133,255,479,251,0,90,0,105,266,465,133,30,133,180,1476535761
0,225,0,420,266,375,266,195,0,480,266,480,641,188,0,315,266,90,133,225,266,330,588,221,481,234,500,366,609,236,0,300,133,60,0,165,266,135,266,105,266,285,133,345,266,150,589,205,486,205,133,375,133,405,518,342,445,219,-1,180,519,220,266,435,665,237,266,45,133,360,122,320,138,145,0,210,266,165,0,390,266,390,133,330,133,90,2,467,133,240,266,225,505,251,133,465,0,120,133,285,133,390,133,420,133,165,266,450,535,235,133,495,133,105,0,270,266,345,266,495,0,285,0,255,630,222,0,435,133,480,266,360,133,210,266,30,266,210,266,420,266,405,136,122,695,205,0,330,0,405,133,435,266,270,133,45,0,345,266,15,266,300,133,450,266,120,266,240,133,15,0,150,0,75,266,255,0,15,133,195,630,251,266,180,0,195,133,255,479,251,0,90,0,105,266,465,133,30,133,180,1476535776
0,225,0,420,266,375,266,195,0,480,266,480,641,188,0,315,266,90,133,225,266,330,588,221,481,234,451,245,609,236,0,300,133,60,0,165,266,135,266,105,266,285,133,345,266,150,589,205,486,205,133,375,133,405,518,342,445,219,-1,180,519,220,266,435,665,237,266,45,133,360,122,320,138,145,0,210,266,165,0,390,266,390,133,330,133,90,2,467,133,240,266,225,505,251,133,465,0,120,133,285,133,390,133,420,133,165,266,450,535,235,133,495,133,105,0,270,266,345,266,495,0,285,0,255,630,222,0,435,133,480,266,360,133,210,266,30,266,210,266,420,266,405,136,122,695,205,0,330,0,405,133,435,266,270,133,45,0,345,266,15,266,300,133,450,266,120,266,240,133,15,0,150,0,75,266,255,0,15,133,195,630,251,266,180,0,195,133,255,479,251,0,90,0,105,266,465,133,30,133,180,1476535791
0,225,0,420,266,375,266,195,0,480,266,480,641,188,0,315,266,90,133,225,266,330,588,221,481,234,427,234,609,236,0,300,133,60,0,165,266,135,266,105,266,285,133,345,266,150,589,205,486,205,133,375,133,405,518,342,445,219,-1,180,519,220,266,435,665,237,266,45,133,360,122,320,138,145,0,210,266,165,0,390,266,390,133,330,133,90,2,467,133,240,266,225,505,251,133,465,0,120,133,285,133,390,133,420,133,165,266,450,535,235,133,495,133,105,0,270,266,345,266,495,0,285,0,255,630,222,0,435,133,480,266,360,133,210,266,30,266,210,266,420,266,405,136,122,695,205,0,330,0,405,133,435,266,270,133,45,0,345,266,15,266,300,133,450,266,120,266,240,133,15,0,150,0,75,266,255,0,15,698,252,630,251,266,180,0,195,133,255,479,251,0,90,0,105,266,465,133,30,133,180,1476535806
0,225,0,420,266,375,266,195,0,480,266,480,641,188,0,315,266,90,133,225,266,330,588,221,481,234,427,234,609,236,0,300,133,60,0,165,266,135,266,105,266,285,133,345,266,150,589,205,486,205,133,375,133,405,559,342,445,219,-1,180,519,220,266,435,665,237,266,45,133,360,599,255,138,145,0,210,266,165,0,390,266,390,149,331,133,90,2,467,133,240,266,225,505,251,133,465,0,120,133,285,133,390,133,420,133,165,266,450,535,235,133,495,133,105,0,270,266,345,266,495,0,285,0,255,630,222,0,435,133,480,266,360,133,210,266,30,266,210,266,420,266,405,136,122,695,205,0,330,0,405,133,435,266,270,133,45,0,345,266,15,266,300,133,450,266,120,266,240,133,15,0,150,0,75,266,255,0,15,699,252,630,251,266,180,0,195,133,255,479,251,0,90,0,105,266,465,133,30,133,180,1476535821
0,225,0,420,266,375,266,195,0,480,266,480,641,188,0,315,266,90,133,225,266,330,588,221,481,234,427,234,609,236,0,300,133,60,0,165,266,135,266,105,266,285,670,245,266,150,589,205,486,205,133,375,133,405,559,342,445,219,-1,180,519,220,266,435,665,237,266,45,135,362,531,189,138,145,0,210,266,165,0,390,266,390,149,331,133,90,2,467,133,240,266,225,505,251,133,465,0,120,133,285,133,390,133,420,133,165,266,450,535,235,133,495,133,105,0,270,266,345,266,495,0,285,0,255,630,222,0,435,133,480,266,360,133,210,266,30,266,210,266,420,266,405,136,122,695,205,0,330,0,405,133,435,266,270,133,45,0,345,266,15,266,300,133,450,266,120,266,240,133,15,0,150,0,75,266,255,0,15,699,252,630,251,266,180,0,195,133,255,479,251,0,90,0,105,266,465,133,30,133,180,1476535836
0,225,0,420,266,375,266,195,0,480,266,480,641,188,0,315,266,90,133,225,266,330,588,221,481,234,427,234,609,236,0,300,133,60,0,165,266,135,266,105,266,285,541,299,266,150,589,205,486,205,133,375,133,405,559,342,445,219,-1,180,519,220,266,435,665,237,266,45,135,362,531,189,138,145,0,210,266,165,0,390,266,390,149,331,133,90,2,467,133,240,266,225,505,251,133,465,0,120,133,285,133,390,133,420,133,165,266,450,535,235,133,495,133,105,0,270,266,345,266,495,0,285,0,255,630,222,0,435,133,480,266,360,133,210,266,30,266,210,266,420,266,405,136,122,695,205,0,330,0,405,133,435,266,270,133,45,0,345,266,15,266,300,133,450,266,120,266,240,133,15,0,150,0,75,266,255,0,15,699,252,630,251,266,180,0,195,133,255,479,251,0,90,0,105,266,465,133,30,133,180,1476535851
0,225,0,420,266,375,266,195,0,480,266,480,641,188,0,315,266,90,133,225,266,330,588,221,481,234,427,234,609,236,0,300,133,60,0,165,266,135,266,105,266,285,541,299,266,150,589,205,486,205,133,375,133,405,559,342,445,219,-1,180,519,220,266,435,665,237,266,45,135,362,531,189,138,145,0,210,266,165,0,390,266,390,149,331,133,90,2,467,133,240,266,225,505,251,133,465,0,120,133,285,133,390,133,420,133,165,266,450,535,235,133,495,133,105,0,270,266,345,266,495,0,285,0,255,630,222,0,435,133,480,266,360,133,210,266,30,266,210,266,420,266,405,136,122,695,205,0,330,0,405,133,435,266,270,133,45,0,345,266,15,266,300,133,450,266,120,266,240,133,15,0,150,0,75,266,255,0,15,699,252,630,251,266,180,0,195,133,255,479,251,0,90,0,105,266,465,133,30,133,180,1476535866
0,225,0,420,266,375,266,195,0,480,266,480,661,62,0,315,266,90,133,225,266,330,588,221,432,167,429,152,609,236,0,300,133,60,0,165,266,135,266,105,266,285,541,299,266,150,421,136,424,89,133,375,133,405,559,342,437,114,-1,180,519,220,266,435,665,237,266,45,135,362,426,50,138,145,0,210,266,165,0,390,266,390,149,331,133,90,2,467,133,240,266,225,505,251,133,465,0,120,133,285,133,390,133,420,133,165,266,450,535,235,133,495,133,105,0,270,266,345,266,495,0,285,0,255,630,222,0,435,133,480,266,360,133,210,266,30,266,210,266,420,266,405,136,122,424,65,0,330,0,405,133,435,266,270,133,45,0,345,266,15,266,300,133,450,266,120,266,240,133,15,0,150,0,75,266,255,0,15,699,252,630,251,266,180,0,195,133,255,479,251,0,90,0,105,266,465,133,30,133,180,1476535881
0,225,0,420,266,375,266,195,0,480,266,480,661,62,0,315,266,90,133,225,266,330,588,221,432,167,429,152,609,236,0,300,133,60,0,165,266,135,266,105,266,285,434,78,266,150,421,136,424,89,133,375,133,405,559,342,437,114,-1,180,437,102,266,435,426,183,266,45,135,362,426,50,138,145,0,210,266,165,0,390,266,390,149,331,133,90,2,467,133,240,266,225,505,251,133,465,0,120,133,285,133,390,133,420,133,165,266,450,535,235,133,495,133,105,0,270,266,345,266,495,0,285,0,255,630,222,0,435,133,480,266,360,133,210,266,30,266,210,266,420,266,405,136,122,424,65,0,330,0,405,133,435,266,270,133,45,0,345,266,15,266,300,133,450,266,120,266,240,133,15,0,150,0,75,266,255,0,15,699,252,630,251,266,180,0,195,133,255,429,202,0,90,0,105,266,465,133,30,133,180,1476535896
0,225,0,420,266,375,266,195,0,480,266,480,661,62,0,315,266,90,133,225,266,330,432,247,432,167,429,152,446,260,0,300,133,60,0,165,266,135,266,105,266,285,434,78,266,150,421,136,424,89,133,375,133,405,559,342,437,114,-1,180,437,102,266,435,426,183,266,45,135,362,426,50,138,145,0,210,266,165,0,390,266,390,149,331,133,90,2,467,133,240,266,225,442,217,133,465,0,120,133,285,133,390,133,420,133,165,266,450,425,234,133,495,133,105,0,270,266,345,266,495,0,285,0,255,630,222,0,435,133,480,266,360,133,210,266,30,266,210,266,420,266,405,136,122,424,65,0,330,0,405,133,435,266,270,133,45,0,345,266,15,266,300,133,450,266,120,266,240,133,15,0,150,0,75,266,255,0,15,524,177,630,251,266,180,0,195,133,255,429,202,0,90,0,105,266,465,133,30,133,180,1476535911
