0,25*15+15,0,29*15+15,133,(50-34)*15+15,133,(47-34)*15+15,266,(73-67)*15+15,0,11*15+15,266,(94-67)*15+15,266,(78-67)*15+15,133,(42-34)*15+15,266,(98-67)*15+15,266,(74-67)*15+15,0,2*15+15,0,0*15+15,133,(38-34)*15+15,133,(55-34)*15+15,133,(52-34)*15+15,0,10*15+15,266,(72-67)*15+15,266,(96-67)*15+15,0,26*15+15,133,(65-34)*15+15,266,(81-67)*15+15,266,(71-67)*15+15,266,(89-67)*15+15,133,(66-34)*15+15,266,(77-67)*15+15,266,(93-67)*15+15,0,12*15+15,0,30*15+15,266,(84-67)*15+15,133,(41-34)*15+15,266,(86-67)*15+15,0,13*15+15,133,(62-34)*15+15,133,(34-34)*15+15,266,(91-67)*15+15,266,(76-67)*15+15,0,33*15+15,266,(82-67)*15+15,133,(53-34)*15+15,133,(40-34)*15+15,133,(63-34)*15+15,0,4*15+15,133,(49-34)*15+15,266,(67-67)*15+15,266,(99-67)*15+15,266,(85-67)*15+15,0,24*15+15,0,6*15+15,133,(57-34)*15+15,266,(79-67)*15+15,133,(48-34)*15+15,266,(70-67)*15+15,266,(69-67)*15+15,0,20*15+15,266,(68-67)*15+15,133,(56-34)*15+15,0,17*15+15,133,(58-34)*15+15,0,32*15+15,0,19*15+15,133,(54-34)*15+15,133,(61-34)*15+15,266,(88-67)*15+15,266,(97-67)*15+15,0,7*15+15,133,(44-34)*15+15,133,(36-34)*15+15,133,(60-34)*15+15,0,14*15+15,0,18*15+15,133,(43-34)*15+15,0,8*15+15,133,(35-34)*15+15,266,(75-67)*15+15,0,21*15+15,133,(37-34)*15+15,133,(59-34)*15+15,266,(92-67)*15+15,266,(95-67)*15+15,0,1*15+15,0,3*15+15,133,(46-34)*15+15,266,(83-67)*15+15,0,22*15+15,0,5*15+15,0,31*15+15,133,(39-34)*15+15,266,(87-67)*15+15,0,9*15+15,133,(51-34)*15+15,133,(64-34)*15+15,0,16*15+15,266,(80-67)*15+15,266,(90-67)*15+15,0,15*15+15,0,23*15+15,133,(45-34)*15+15,0,27*15+15,0,28*15+15,1473275941
0,390,0,450,133,255,133,210,266,105,0,180,266,420,266,180,133,135,266,480,266,120,0,45,0,15,133,75,133,330,133,285,0,165,266,90,266,450,0,405,133,480,266,225,266,75,266,345,133,495,266,165,266,405,0,195,0,465,266,270,133,120,266,300,0,210,133,435,133,15,266,375,266,150,0,510,266,240,133,300,133,105,133,450,0,75,133,240,266,15,266,495,266,285,0,375,0,105,133,360,266,195,133,225,266,60,266,45,0,315,266,30,133,345,0,270,133,375,0,495,0,300,133,315,133,420,266,330,266,465,0,120,133,165,133,45,133,405,0,225,0,285,133,150,0,135,133,30,266,135,0,330,133,60,133,390,266,390,266,435,0,30,0,60,133,195,266,255,0,345,0,90,0,480,133,90,266,315,0,150,133,270,133,465,0,255,266,210,266,360,0,240,0,360,133,180,0,420,0,435,1473275963
0,390,0,450,133,255,133,210,266,105,0,180,266,420,266,180,133,135,266,480,266,120,0,45,0,15,133,75,133,330,133,285,0,165,266,90,266,450,0,405,133,480,266,225,266,75,266,345,133,495,266,165,266,405,0,195,0,465,266,270,133,120,266,300,0,210,133,435,133,15,266,375,266,150,0,510,266,240,133,300,133,105,133,450,0,75,133,240,266,15,266,495,266,285,0,375,0,105,133,360,266,195,133,225,266,60,266,45,0,315,266,30,133,345,0,270,133,375,0,495,0,300,133,315,133,420,266,330,266,465,0,120,133,165,133,45,133,405,0,225,0,285,133,150,0,135,133,30,266,135,0,330,133,60,133,390,266,390,266,435,0,30,0,60,133,195,266,255,0,345,0,90,0,480,133,90,266,315,0,150,133,270,133,465,0,255,266,210,266,360,0,240,0,360,133,180,0,420,0,435,1473275978
0,390,0,450,133,255,133,210,266,105,0,180,266,420,266,180,133,135,266,480,266,120,0,45,0,15,133,75,133,330,133,285,0,165,266,90,266,450,0,405,133,480,266,225,266,75,266,345,133,495,266,165,266,405,0,195,0,465,266,270,133,120,266,300,0,210,133,435,133,15,266,375,266,150,0,510,266,240,133,300,133,105,133,450,0,75,133,240,266,15,266,495,266,285,0,375,0,105,133,360,266,195,133,225,266,60,266,45,0,315,266,30,133,345,0,270,133,375,0,495,0,300,133,315,133,420,266,330,266,465,0,120,133,165,133,45,133,405,0,225,0,285,133,150,0,135,133,30,266,135,0,330,133,60,133,390,266,390,266,435,0,30,0,60,133,195,266,255,0,345,0,90,0,480,133,90,266,315,0,150,133,270,133,465,0,255,266,210,266,360,0,240,0,360,133,180,0,420,0,435,1473275993
0,390,0,450,133,255,133,210,266,105,0,180,266,420,266,180,133,135,266,480,266,120,0,45,67,5,133,75,133,330,133,285,0,165,266,90,266,450,0,405,133,480,266,225,266,75,266,345,133,495,266,165,266,405,0,195,0,465,266,270,133,120,266,300,0,210,133,435,133,15,266,375,266,150,0,510,266,240,133,300,133,105,133,450,0,75,133,240,266,15,266,495,266,285,0,375,0,105,133,360,266,195,133,225,266,60,266,45,0,315,266,30,133,345,0,270,133,375,0,495,0,300,133,315,133,420,266,330,266,465,0,120,133,165,133,45,133,405,0,225,0,285,133,150,0,135,133,30,266,135,0,330,133,60,133,390,266,390,266,435,0,30,0,60,133,195,266,255,0,345,0,90,0,480,133,90,266,315,0,150,133,270,133,465,0,255,266,210,266,360,0,240,0,360,133,180,0,420,0,435,1473276008
0,390,0,450,133,255,133,210,266,105,0,180,266,420,266,180,133,135,266,480,266,120,0,45,432,37,133,75,133,330,133,285,0,165,266,90,266,450,0,405,133,480,266,225,266,75,266,345,133,495,266,165,266,405,0,195,0,465,266,270,133,120,266,300,0,210,133,435,133,15,266,375,266,150,0,510,266,240,133,300,133,105,133,450,0,75,133,240,266,15,266,495,266,285,0,375,0,105,133,360,266,195,133,225,266,60,266,45,0,315,430,180,133,345,0,270,133,375,0,495,0,300,133,315,133,420,266,330,266,465,0,120,133,165,133,45,133,405,0,225,0,285,133,150,0,135,133,30,266,135,0,330,133,60,133,390,266,390,266,435,0,30,0,60,133,195,266,255,0,345,0,90,0,480,133,90,266,315,0,150,133,270,133,465,0,255,266,210,266,360,0,240,0,360,133,180,0,420,0,435,1473276023
0,390,0,450,133,255,133,210,266,105,0,180,266,420,266,180,133,135,266,480,266,120,0,45,432,37,133,75,133,330,133,285,0,165,266,90,266,450,0,405,133,480,266,225,266,75,266,345,133,495,266,165,266,405,0,195,0,465,266,270,133,120,266,300,0,210,133,435,133,15,266,375,266,150,0,510,266,240,133,300,133,105,133,450,0,75,133,240,652,115,266,495,266,285,0,375,0,105,133,360,266,195,133,225,266,60,650,127,0,315,430,180,133,345,0,270,133,375,0,495,0,300,133,315,133,420,266,330,266,465,0,120,133,165,133,45,133,405,0,225,0,285,133,150,0,135,133,30,266,135,0,330,133,60,133,390,266,390,266,435,0,30,0,60,133,195,266,255,0,345,0,90,0,480,133,90,266,315,0,150,133,270,133,465,0,255,266,210,266,360,0,240,0,360,133,180,0,420,0,435,1473276038
0,390,0,450,133,255,133,210,266,105,0,180,266,420,266,180,133,135,266,480,266,120,0,45,432,37,133,75,133,330,133,285,0,165,266,90,266,450,0,405,133,480,266,225,266,75,266,345,133,495,266,165,266,405,0,195,0,465,266,270,133,120,266,300,0,210,133,435,133,15,266,375,266,150,0,510,266,240,133,300,133,105,133,450,0,75,133,240,652,115,266,495,266,285,0,375,0,105,133,360,266,195,133,225,266,60,650,127,0,315,430,180,427,203,0,270,133,375,0,495,0,300,133,315,133,420,266,330,266,465,0,120,133,165,133,45,133,405,0,225,0,285,133,150,0,135,133,30,266,135,0,330,133,60,133,390,266,390,266,435,0,30,0,60,133,195,266,255,0,345,0,90,0,480,133,90,266,315,0,150,133,270,133,465,0,255,266,210,266,360,0,240,0,360,133,180,0,420,0,435,1473276053
0,390,0,450,133,255,133,210,266,105,0,180,266,420,266,180,133,135,266,480,266,120,0,45,432,37,133,75,133,330,133,285,0,165,266,90,266,450,0,405,133,480,266,225,266,75,266,345,133,495,266,165,266,405,0,195,0,465,266,270,133,120,266,300,0,210,133,435,133,15,266,375,266,150,0,510,266,240,133,300,133,105,133,450,0,75,133,240,652,115,266,495,266,285,0,375,0,105,133,360,266,195,133,225,266,60,650,127,0,315,430,180,427,203,0,270,133,375,0,495,0,300,133,315,133,420,266,330,266,465,0,120,133,165,133,45,133,405,0,225,0,285,133,150,0,135,133,30,266,135,421,192,133,60,133,390,266,390,266,435,0,30,0,60,133,195,266,255,0,345,0,90,0,480,133,90,266,315,0,150,133,270,133,465,0,255,266,210,266,360,0,240,0,360,133,180,0,420,0,435,1473276068
0,390,0,450,133,255,133,210,266,105,0,180,266,420,266,180,133,135,266,480,266,120,0,45,432,37,133,75,133,330,133,285,0,165,266,90,266,450,0,405,133,480,266,225,266,75,266,345,133,495,266,165,266,405,0,195,0,465,266,270,133,120,266,300,0,210,133,435,133,15,266,375,266,150,0,510,266,240,133,300,133,105,133,450,0,75,133,240,652,115,266,495,266,285,0,375,0,105,133,360,266,195,133,225,266,60,650,127,429,191,430,180,427,203,0,270,133,375,0,495,0,300,133,315,133,420,266,330,266,465,0,120,133,165,133,45,133,405,0,225,0,285,133,150,0,135,133,30,266,135,646,377,133,60,133,390,266,390,266,435,0,30,0,60,133,195,266,255,0,345,0,90,0,480,133,90,266,315,0,150,133,270,133,465,0,255,266,210,266,360,0,240,0,360,133,180,0,420,0,435,1473276083
0,390,0,450,133,255,133,210,266,105,0,180,266,420,266,180,133,135,266,480,266,120,0,45,432,37,133,75,133,330,133,285,0,165,266,90,266,450,0,405,133,480,428,170,266,75,266,345,133,495,266,165,266,405,0,195,0,465,266,270,133,120,266,300,0,210,133,435,133,15,266,375,266,150,0,510,266,240,133,300,133,105,133,450,0,75,133,240,652,115,266,495,266,285,0,375,0,105,133,360,266,195,133,225,266,60,650,127,429,191,430,180,427,203,0,270,133,375,0,495,0,300,133,315,133,420,266,330,266,465,0,120,133,165,133,45,133,405,0,225,0,285,133,150,0,135,133,30,266,135,646,377,133,60,133,390,266,390,266,435,0,30,0,60,133,195,266,255,0,345,0,90,0,480,133,90,266,315,0,150,133,270,133,465,0,255,266,210,266,360,0,240,0,360,133,180,0,420,0,435,1473276098
