266,(69-67)*15+15,133,(63-34)*15+15,133,(50-34)*15+15,0,19*15+15,266,(85-67)*15+15,0,6*15+15,0,1*15+15,133,(52-34)*15+15,0,14*15+15,133,(35-34)*15+15,133,(58-34)*15+15,266,(76-67)*15+15,0,22*15+15,133,(37-34)*15+15,133,(39-34)*15+15,133,(34-34)*15+15,266,(79-67)*15+15,266,(83-67)*15+15,133,(64-34)*15+15,0,25*15+15,133,(44-34)*15+15,133,(42-34)*15+15,0,15*15+15,0,21*15+15,133,(62-34)*15+15,266,(94-67)*15+15,0,7*15+15,0,23*15+15,266,(91-67)*15+15,266,(78-67)*15+15,0,20*15+15,133,(54-34)*15+15,0,3*15+15,0,2*15+15,266,(68-67)*15+15,133,(46-34)*15+15,0,12*15+15,266,(71-67)*15+15,266,(92-67)*15+15,266,(72-67)*15+15,133,(65-34)*15+15,133,(49-34)*15+15,266,(89-67)*15+15,266,(73-67)*15+15,266,(95-67)*15+15,266,(77-67)*15+15,266,(82-67)*15+15,133,(57-34)*15+15,266,(98-67)*15+15,133,(45-34)*15+15,0,29*15+15,266,(86-67)*15+15,133,(61-34)*15+15,266,(99-67)*15+15,0,33*15+15,0,27*15+15,0,24*15+15,133,(59-34)*15+15,0,10*15+15,133,(38-34)*15+15,133,(66-34)*15+15,266,(93-67)*15+15,133,(51-34)*15+15,0,11*15+15,133,(47-34)*15+15,266,(97-67)*15+15,0,31*15+15,133,(43-34)*15+15,0,9*15+15,133,(48-34)*15+15,0,4*15+15,133,(41-34)*15+15,133,(40-34)*15+15,266,(87-67)*15+15,0,32*15+15,266,(96-67)*15+15,266,(88-67)*15+15,133,(60-34)*15+15,0,18*15+15,0,0*15+15,0,17*15+15,266,(84-67)*15+15,266,(90-67)*15+15,0,16*15+15,0,5*15+15,266,(81-67)*15+15,0,26*15+15,266,(70-67)*15+15,0,13*15+15,133,(53-34)*15+15,266,(74-67)*15+15,0,30*15+15,266,(80-67)*15+15,133,(36-34)*15+15,266,(67-67)*15+15,0,8*15+15,0,28*15+15,266,(75-67)*15+15,133,(56-34)*15+15,133,(55-34)*15+15,1465385310
266,45,133,450,760,38,28,296,266,285,0,105,0,30,133,285,0,225,133,30,133,375,266,150,0,345,133,60,133,90,133,15,266,195,266,255,133,465,0,390,133,165,133,135,0,240,0,330,133,435,266,420,735,46,823,50,266,375,266,180,0,315,133,315,797,38,0,45,282,35,435,256,442,247,266,75,266,390,266,90,133,480,678,368,266,345,266,105,266,435,408,163,266,240,554,32,474,49,133,180,0,450,266,300,133,420,677,357,522,417,0,420,730,368,133,390,563,22,133,75,133,495,266,405,133,270,0,180,137,214,266,465,0,480,133,150,0,150,133,225,0,75,133,120,133,105,266,315,0,495,266,450,266,330,475,22,511,22,401,14,679,382,266,270,266,360,431,14,404,29,266,225,0,405,266,60,0,210,133,300,266,120,0,465,266,210,133,45,509,13,536,12,0,435,266,135,133,345,133,330,1465385516
266,45,133,450,760,38,28,296,266,285,0,105,0,30,133,285,0,225,133,30,133,375,266,150,0,345,133,60,133,90,133,15,266,195,266,255,133,465,0,390,133,165,133,135,0,240,0,330,133,435,266,420,735,46,823,50,266,375,266,180,0,315,133,315,797,38,0,45,282,35,435,256,442,247,266,75,266,390,266,90,133,480,678,368,266,345,266,105,266,435,408,163,266,240,554,32,481,32,133,180,0,450,266,300,133,420,677,357,522,417,0,420,730,368,133,390,563,22,133,75,133,495,266,405,133,270,0,180,137,214,266,465,0,480,133,150,0,150,133,225,0,75,133,120,133,105,266,315,0,495,266,450,266,330,475,22,511,22,401,14,679,382,266,270,266,360,431,14,404,29,266,225,0,405,266,60,0,210,133,300,266,120,0,465,266,210,133,45,509,13,536,12,0,435,488,45,133,345,133,330,1465385531
266,45,133,450,760,38,28,296,266,285,0,105,0,30,133,285,0,225,133,30,133,375,266,150,0,345,133,60,133,90,133,15,266,195,266,255,133,465,0,390,133,165,133,135,0,240,0,330,133,435,266,420,735,46,823,50,266,375,266,180,0,315,133,315,797,38,0,45,282,35,435,256,442,247,266,75,266,390,266,90,133,480,674,346,266,345,266,105,266,435,408,163,266,240,554,32,481,32,133,180,0,450,266,300,133,420,677,357,522,417,0,420,730,368,682,368,563,22,133,75,133,495,266,405,133,270,0,180,137,214,266,465,0,480,133,150,0,150,133,225,0,75,133,120,133,105,266,315,0,495,266,450,266,330,475,22,511,22,401,14,679,382,266,270,266,360,431,14,404,29,266,225,0,405,266,60,0,210,133,300,266,120,0,465,266,210,133,45,509,13,536,12,0,435,488,45,133,345,133,330,1465385546
266,45,133,450,760,38,28,296,266,285,0,105,0,30,133,285,0,225,133,30,133,375,612,39,0,345,133,60,133,90,133,15,266,195,266,255,133,465,0,390,133,165,133,135,0,240,0,330,133,435,266,420,735,46,823,50,266,375,266,180,0,315,133,315,797,38,0,45,282,35,435,256,442,247,266,75,266,390,266,90,133,480,674,346,266,345,266,105,266,435,408,163,266,240,554,32,481,32,133,180,0,450,266,300,133,420,677,357,522,417,0,420,730,368,682,368,563,22,133,75,133,495,266,405,133,270,0,180,137,214,266,465,0,480,133,150,0,150,133,225,0,75,133,120,133,105,266,315,0,495,266,450,266,330,475,22,511,22,401,14,679,382,266,270,266,360,431,14,404,29,266,225,0,405,266,60,0,210,133,300,266,120,0,465,266,210,133,45,509,13,536,12,0,435,488,45,133,345,133,330,1465385561
266,45,133,450,760,38,28,296,266,285,0,105,0,30,133,285,0,225,133,30,133,375,612,39,0,345,133,60,133,90,133,15,266,195,266,255,133,465,0,390,133,165,133,135,0,240,0,330,133,435,266,420,735,46,823,50,266,375,266,180,0,315,133,315,797,38,0,45,282,35,435,256,442,247,266,75,266,390,266,90,133,480,674,346,266,345,266,105,266,435,408,163,291,243,554,32,481,32,133,180,0,450,266,300,133,420,677,357,522,417,0,420,730,368,682,368,563,22,133,75,133,495,266,405,133,270,0,180,137,214,266,465,0,480,133,150,0,150,133,225,0,75,133,120,133,105,266,315,0,495,266,450,449,39,475,22,511,22,401,14,679,382,266,270,266,360,431,14,404,29,458,51,0,405,266,60,0,210,133,300,266,120,0,465,266,210,133,45,509,13,536,12,0,435,488,45,133,345,133,330,1465385576
266,45,133,450,760,38,28,296,266,285,0,105,0,30,133,285,0,225,133,30,133,375,612,39,0,345,133,60,133,90,133,15,266,195,266,255,133,465,0,390,133,165,133,135,0,240,0,330,133,435,266,420,735,46,823,50,266,375,266,180,0,315,133,315,797,38,0,45,282,35,435,256,442,247,266,75,266,390,266,90,762,90,674,346,266,345,266,105,266,435,408,163,291,243,554,32,481,32,133,180,0,450,266,300,133,420,677,357,522,417,0,420,730,368,682,368,563,22,133,75,757,99,266,405,133,270,0,180,137,214,266,465,0,480,133,150,0,150,133,225,0,75,133,120,133,105,266,315,0,495,266,450,449,39,475,22,511,22,401,14,679,382,266,270,266,360,431,14,404,29,458,51,0,405,266,60,0,210,133,300,699,90,0,465,266,210,133,45,509,13,536,12,0,435,488,45,133,345,133,330,1465385591
266,45,133,450,760,38,28,296,266,285,0,105,0,30,133,285,672,263,133,30,133,375,612,39,0,345,133,60,133,90,133,15,266,195,266,255,133,465,0,390,133,165,133,135,671,276,0,330,133,435,266,420,735,46,823,50,266,375,266,180,0,315,133,315,797,38,0,45,282,35,435,256,442,247,266,75,266,390,266,90,762,90,674,346,266,345,813,90,266,435,408,163,291,243,554,32,481,32,133,180,0,450,266,300,133,420,677,357,522,417,0,420,730,368,682,368,563,22,133,75,757,99,266,405,133,270,0,180,137,214,266,465,0,480,133,150,0,150,133,225,0,75,133,120,133,105,266,315,0,495,266,450,449,39,475,22,511,22,401,14,679,382,266,270,266,360,431,14,404,29,458,51,0,405,266,60,0,210,133,300,699,90,0,465,266,210,133,45,509,13,536,12,0,435,488,45,133,345,133,330,1465385606
266,45,133,450,760,38,28,296,266,285,0,105,0,30,133,285,672,263,133,30,133,375,612,39,0,345,133,60,133,90,133,15,266,195,266,255,133,465,0,390,133,165,133,135,671,276,0,330,133,435,266,420,735,46,823,50,266,375,266,180,671,251,133,315,797,38,0,45,282,35,435,256,442,247,266,75,266,390,266,90,762,90,674,346,266,345,813,90,266,435,408,163,291,243,554,32,481,32,133,180,0,450,266,300,133,420,677,357,522,417,0,420,730,368,682,368,563,22,133,75,757,99,266,405,133,270,0,180,137,214,266,465,0,480,133,150,671,285,133,225,0,75,133,120,133,105,266,315,0,495,266,450,449,39,475,22,511,22,401,14,679,382,266,270,266,360,431,14,404,29,458,51,0,405,266,60,0,210,133,300,699,90,0,465,266,210,133,45,509,13,536,12,0,435,488,45,133,345,133,330,1465385621
266,45,133,450,760,38,28,296,266,285,0,105,0,30,133,285,672,263,133,30,133,375,612,39,0,345,133,60,133,90,133,15,266,195,266,255,133,465,0,390,133,165,133,135,671,276,0,330,133,435,266,420,735,46,823,50,266,375,266,180,671,251,133,315,797,38,0,45,282,35,435,256,442,247,266,75,266,390,266,90,762,90,674,346,266,345,813,90,266,435,408,163,291,243,554,32,481,32,133,180,0,450,266,300,133,420,677,357,522,417,0,420,730,368,682,368,563,22,133,75,757,99,266,405,133,270,718,264,137,214,266,465,0,480,133,150,671,285,133,225,0,75,133,120,133,105,266,315,0,495,266,450,449,39,475,22,511,22,401,14,679,382,266,270,266,360,431,14,404,29,458,51,0,405,266,60,0,210,133,300,699,90,693,99,266,210,133,45,509,13,536,12,0,435,488,45,133,345,133,330,1465385636
266,45,133,450,760,38,28,296,266,285,0,105,0,30,133,285,672,263,133,30,133,375,612,39,0,345,133,60,133,90,133,15,266,195,266,255,133,465,0,390,133,165,133,135,671,276,0,330,133,435,266,420,735,46,823,50,266,375,266,180,671,251,133,315,797,38,0,45,282,35,435,256,442,247,266,75,266,390,266,90,762,90,674,346,266,345,813,90,266,435,408,163,291,243,554,32,481,32,133,180,0,450,266,300,133,420,677,357,522,417,0,420,730,368,682,368,563,22,133,75,757,99,266,405,133,270,718,264,137,214,266,465,0,480,133,150,671,285,133,225,0,75,133,120,133,105,266,315,0,495,266,450,449,39,475,22,511,22,401,14,679,382,266,270,266,360,431,14,404,29,458,51,0,405,266,60,0,210,133,300,699,90,693,99,537,50,133,45,509,13,536,12,494,55,488,45,133,345,133,330,1465385651
470,266,133,450,760,38,28,296,266,285,0,105,0,30,133,285,672,263,133,30,133,375,612,39,0,345,133,60,133,90,133,15,266,195,266,255,133,465,0,390,133,165,133,135,671,276,0,330,133,435,266,420,735,46,823,50,266,375,266,180,671,251,133,315,797,38,0,45,282,35,435,256,442,247,433,265,266,390,266,90,762,90,674,346,266,345,813,90,266,435,408,163,291,243,554,32,481,32,133,180,0,450,266,300,133,420,677,357,522,417,0,420,730,368,682,368,563,22,133,75,757,99,266,405,133,270,718,264,137,214,266,465,0,480,133,150,671,285,133,225,0,75,133,120,133,105,266,315,0,495,266,450,449,39,475,22,511,22,401,14,679,382,266,270,266,360,431,14,404,29,458,51,0,405,266,60,0,210,133,300,699,90,693,99,557,42,133,45,509,13,536,12,494,55,488,45,133,345,133,330,1465385666
470,266,133,450,760,38,28,296,266,285,0,105,0,30,133,285,672,263,133,30,133,375,612,39,0,345,133,60,133,90,133,15,815,184,266,255,133,465,0,390,133,165,133,135,671,276,0,330,133,435,266,420,735,46,823,50,266,375,815,192,671,251,133,315,797,38,0,45,282,35,435,256,442,247,433,265,266,390,824,60,762,90,674,346,266,345,813,90,266,435,408,163,291,243,554,32,481,32,133,180,0,450,266,300,133,420,677,357,522,417,0,420,730,368,682,368,563,22,133,75,757,99,266,405,133,270,718,264,137,214,266,465,0,480,133,150,671,285,133,225,0,75,133,120,133,105,266,315,0,495,266,450,449,39,475,22,511,22,401,14,679,382,266,270,266,360,431,14,404,29,458,51,0,405,266,60,0,210,133,300,699,90,693,99,557,42,133,45,509,13,536,12,494,55,488,45,133,345,133,330,1465385681
470,266,133,450,760,38,28,296,266,285,0,105,0,30,133,285,672,263,133,30,133,375,612,39,0,345,133,60,817,200,420,239,815,184,266,255,133,465,0,390,133,165,133,135,671,276,0,330,133,435,266,420,735,46,823,50,266,375,815,192,671,251,133,315,797,38,0,45,282,35,435,256,442,247,433,265,266,390,824,60,762,90,674,346,266,345,813,90,266,435,408,163,291,243,554,32,481,32,133,180,0,450,266,300,133,420,677,357,522,417,0,420,730,368,682,368,563,22,133,75,757,99,266,405,133,270,718,264,137,214,266,465,0,480,133,150,671,285,133,225,0,75,133,120,133,105,266,315,0,495,266,450,449,39,475,22,511,22,401,14,679,382,266,270,266,360,431,14,404,29,458,51,0,405,266,60,0,210,133,300,699,90,693,99,557,42,734,251,509,13,536,12,494,55,488,45,133,345,133,330,1465385696
470,266,133,450,760,38,482,248,266,285,0,105,0,30,133,285,672,263,133,30,133,375,612,39,0,345,133,60,817,200,420,239,815,184,266,255,133,465,0,390,133,165,133,135,671,276,0,330,133,435,266,420,735,46,823,50,266,375,815,192,671,251,133,315,797,38,0,45,282,35,435,256,442,247,433,265,266,390,824,60,762,90,674,346,266,345,813,90,266,435,408,163,291,243,554,32,481,32,133,180,0,450,266,300,133,420,677,357,522,417,0,420,730,368,682,368,563,22,133,75,757,99,266,405,133,270,718,264,137,214,266,465,0,480,133,150,671,285,133,225,783,264,133,120,133,105,266,315,0,495,266,450,449,39,475,22,511,22,401,14,679,382,266,270,266,360,431,14,404,29,458,51,0,405,266,60,0,210,133,300,699,90,693,99,557,42,734,251,509,13,536,12,494,55,488,45,133,345,133,330,1465385711
470,266,133,450,760,38,482,248,266,285,0,105,0,30,133,285,672,263,133,30,133,375,612,39,0,345,133,60,817,200,420,239,815,184,266,255,133,465,0,390,133,165,816,170,671,276,0,330,133,435,266,420,735,46,823,50,266,375,815,192,671,251,133,315,797,38,0,45,282,35,435,256,442,247,433,265,266,390,824,60,762,90,674,346,266,345,813,90,266,435,408,163,291,243,554,32,481,32,133,180,0,450,473,161,133,420,677,357,522,417,0,420,730,368,682,368,563,22,133,75,757,99,266,405,133,270,718,264,137,214,266,465,0,480,133,150,671,285,133,225,783,264,133,120,133,105,266,315,0,495,266,450,449,39,475,22,511,22,401,14,679,382,266,270,266,360,431,14,404,29,458,51,0,405,266,60,0,210,133,300,699,90,693,99,557,42,734,251,509,13,536,12,494,55,488,45,133,345,133,330,1465385726
470,266,133,450,760,38,482,248,266,285,0,105,0,30,133,285,672,263,133,30,133,375,612,39,0,345,133,60,817,200,420,239,815,184,266,255,133,465,0,390,133,165,816,170,671,276,0,330,133,435,266,420,735,46,823,50,266,375,815,192,671,251,133,315,797,38,0,45,282,35,435,256,442,247,433,265,266,390,824,60,762,90,674,346,266,345,813,90,266,435,408,163,291,243,554,32,481,32,133,180,0,450,473,161,566,431,677,357,522,417,522,427,730,368,682,368,563,22,133,75,757,99,266,405,133,270,718,264,137,214,266,465,0,480,133,150,671,285,133,225,783,264,133,120,133,105,266,315,0,495,266,450,449,39,475,22,511,22,401,14,679,382,266,270,266,360,431,14,404,29,458,51,0,405,266,60,0,210,133,300,699,90,693,99,557,42,734,251,509,13,536,12,494,55,488,45,133,345,133,330,1465385741
470,266,133,450,760,38,482,248,266,285,0,105,0,30,133,285,796,251,133,30,133,375,612,39,0,345,133,60,817,200,420,239,815,184,266,255,133,465,0,390,133,165,816,170,676,278,0,330,133,435,266,420,735,46,823,50,266,375,815,192,671,251,133,315,797,38,0,45,282,35,435,256,442,247,433,265,266,390,824,60,762,90,674,346,266,345,813,90,266,435,408,163,291,243,554,32,481,32,133,180,0,450,473,161,566,431,677,357,522,417,522,427,730,368,682,368,563,22,133,75,757,99,266,405,133,270,718,264,137,214,576,264,0,480,133,150,671,285,133,225,783,264,133,120,133,105,266,315,0,495,644,264,449,39,475,22,511,22,401,14,679,382,266,270,266,360,431,14,404,29,458,51,0,405,266,60,0,210,133,300,699,90,693,99,557,42,734,251,509,13,536,12,494,55,488,45,133,345,133,330,1465385756
470,266,133,450,760,38,482,248,266,285,0,105,0,30,133,285,796,251,133,30,133,375,612,39,0,345,133,60,817,200,420,239,815,184,266,255,133,465,0,390,133,165,816,170,676,278,0,330,133,435,266,420,735,46,823,50,266,375,815,192,671,251,133,315,797,38,0,45,282,35,435,256,442,247,433,265,266,390,824,60,762,90,674,346,266,345,813,90,266,435,408,163,291,243,554,32,481,32,133,180,468,176,473,161,566,431,677,357,522,417,522,427,730,368,682,368,563,22,133,75,757,99,266,405,133,270,756,266,137,214,576,264,0,480,133,150,744,276,133,225,607,275,133,120,133,105,266,315,0,495,644,264,449,39,475,22,511,22,401,14,679,382,266,270,266,360,431,14,404,29,458,51,0,405,266,60,0,210,133,300,699,90,693,99,557,42,734,251,509,13,536,12,494,55,488,45,133,345,133,330,1465385771
