133,(39-34)*15+15,266,(84-67)*15+15,0,24*15+15,266,(94-67)*15+15,266,(83-67)*15+15,133,(34-34)*15+15,266,(70-67)*15+15,0,29*15+15,0,32*15+15,133,(41-34)*15+15,0,28*15+15,0,6*15+15,266,(97-67)*15+15,266,(93-67)*15+15,0,14*15+15,0,25*15+15,133,(47-34)*15+15,266,(74-67)*15+15,0,13*15+15,266,(90-67)*15+15,0,4*15+15,0,7*15+15,0,16*15+15,0,11*15+15,133,(50-34)*15+15,133,(51-34)*15+15,0,26*15+15,133,(63-34)*15+15,0,33*15+15,133,(37-34)*15+15,133,(52-34)*15+15,0,1*15+15,133,(46-34)*15+15,133,(55-34)*15+15,133,(49-34)*15+15,133,(40-34)*15+15,266,(92-67)*15+15,133,(48-34)*15+15,133,(59-34)*15+15,133,(58-34)*15+15,266,(77-67)*15+15,133,(35-34)*15+15,266,(99-67)*15+15,133,(54-34)*15+15,266,(68-67)*15+15,266,(85-67)*15+15,0,15*15+15,133,(57-34)*15+15,266,(81-67)*15+15,266,(87-67)*15+15,266,(67-67)*15+15,266,(72-67)*15+15,266,(71-67)*15+15,266,(79-67)*15+15,0,27*15+15,0,2*15+15,266,(86-67)*15+15,133,(36-34)*15+15,0,20*15+15,133,(64-34)*15+15,133,(53-34)*15+15,0,0*15+15,266,(95-67)*15+15,266,(69-67)*15+15,133,(61-34)*15+15,0,18*15+15,0,17*15+15,133,(42-34)*15+15,0,3*15+15,0,12*15+15,266,(91-67)*15+15,266,(80-67)*15+15,133,(56-34)*15+15,0,9*15+15,266,(76-67)*15+15,0,23*15+15,0,21*15+15,266,(78-67)*15+15,266,(98-67)*15+15,133,(38-34)*15+15,133,(44-34)*15+15,0,10*15+15,0,19*15+15,266,(88-67)*15+15,133,(65-34)*15+15,266,(75-67)*15+15,133,(60-34)*15+15,266,(82-67)*15+15,133,(66-34)*15+15,0,30*15+15,133,(45-34)*15+15,133,(62-34)*15+15,0,5*15+15,266,(96-67)*15+15,266,(89-67)*15+15,0,31*15+15,0,22*15+15,0,8*15+15,266,(73-67)*15+15,133,(43-34)*15+15,1470049276
133,90,266,270,0,375,266,420,266,255,133,15,266,60,0,450,0,495,133,120,0,435,887,256,266,465,266,405,446,348,0,390,133,210,266,120,665,214,266,360,445,311,437,330,432,500,859,23,133,255,133,270,0,405,133,450,0,510,133,60,133,285,860,236,133,195,133,330,133,240,133,105,266,390,133,225,133,390,133,375,266,165,133,30,266,495,133,315,266,30,266,285,640,390,133,360,266,225,266,315,266,15,266,90,266,75,266,195,0,420,449,293,266,300,133,45,0,315,133,465,133,300,412,25,266,435,266,45,133,420,0,285,852,477,133,135,439,381,698,91,266,375,266,210,133,345,684,26,266,150,276,220,0,330,266,180,266,480,133,75,133,165,878,277,0,300,266,330,133,480,266,135,133,405,266,240,133,495,0,465,133,180,133,435,948,377,266,450,266,345,0,480,0,345,575,26,266,105,133,150,1470049471
133,90,266,270,0,375,266,420,266,255,133,15,266,60,0,450,0,495,133,120,0,435,887,256,266,465,266,405,446,348,0,390,133,210,266,120,665,214,266,360,445,311,437,330,432,500,859,23,133,255,133,270,0,405,133,450,0,510,133,60,133,285,860,236,133,195,133,330,133,240,133,105,266,390,133,225,133,390,133,375,266,165,133,30,266,495,133,315,266,30,266,285,640,390,133,360,266,225,266,315,266,15,266,90,266,75,266,195,0,420,449,293,266,300,133,45,0,315,133,465,133,300,412,25,266,435,266,45,133,420,0,285,852,477,133,135,439,381,699,71,266,375,266,210,133,345,684,26,266,150,676,42,0,330,266,180,266,480,133,75,133,165,878,277,0,300,266,330,133,480,266,135,133,405,266,240,133,495,0,465,133,180,133,435,948,377,266,450,266,345,0,480,0,345,575,26,266,105,133,150,1470049486
133,90,266,270,0,375,266,420,266,255,133,15,266,60,0,450,0,495,133,120,0,435,887,256,266,465,266,405,446,348,0,390,133,210,266,120,665,214,266,360,445,311,437,330,432,500,859,23,133,255,133,270,0,405,133,450,0,510,133,60,133,285,860,236,133,195,133,330,133,240,133,105,266,390,133,225,133,390,133,375,266,165,133,30,266,495,133,315,266,30,266,285,640,390,133,360,266,225,266,315,266,15,266,90,266,75,266,195,0,420,449,293,266,300,133,45,0,315,133,465,133,300,412,25,266,435,266,45,133,420,0,285,852,477,133,135,439,381,699,71,266,375,266,210,133,345,684,26,266,150,676,42,0,330,266,180,266,480,133,75,133,165,878,277,0,300,266,330,133,480,266,135,133,405,266,240,133,495,0,465,133,180,133,435,948,377,266,450,266,345,0,480,0,345,575,26,266,105,133,150,1470049501
133,90,266,270,0,375,266,420,266,255,133,15,266,60,0,450,0,495,133,120,0,435,887,256,266,465,266,405,446,348,0,390,133,210,266,120,665,214,266,360,445,311,437,330,432,500,859,23,133,255,133,270,0,405,133,450,0,510,133,60,133,285,860,236,133,195,133,330,133,240,133,105,266,390,133,225,133,390,133,375,266,165,133,30,266,495,133,315,266,30,266,285,640,390,133,360,266,225,266,315,266,15,266,90,266,75,266,195,0,420,449,293,266,300,133,45,0,315,133,465,133,300,412,25,266,435,266,45,133,420,0,285,852,477,133,135,439,381,699,71,266,375,266,210,133,345,684,26,266,150,676,42,0,330,266,180,266,480,133,75,133,165,878,277,0,300,266,330,133,480,266,135,133,405,266,240,133,495,0,465,133,180,133,435,948,377,266,450,266,345,0,480,0,345,575,26,266,105,133,150,1470049516
133,90,266,270,0,375,266,420,266,255,133,15,266,60,0,450,0,495,133,120,0,435,887,256,266,465,266,405,446,348,0,390,133,210,266,120,665,214,266,360,445,311,437,330,432,500,859,23,133,255,133,270,0,405,133,450,0,510,133,60,133,285,860,236,133,195,133,330,133,240,133,105,266,390,133,225,133,390,133,375,266,165,133,30,266,495,133,315,266,30,266,285,640,390,133,360,266,225,266,315,266,15,266,90,266,75,266,195,0,420,449,293,266,300,133,45,0,315,133,465,133,300,412,25,266,435,266,45,133,420,0,285,852,477,133,135,439,381,699,71,266,375,266,210,133,345,684,26,266,150,676,42,0,330,266,180,266,480,133,75,133,165,878,277,0,300,266,330,133,480,266,135,133,405,266,240,133,495,0,465,133,180,133,435,948,377,266,450,266,345,0,480,0,345,575,26,266,105,133,150,1470049531
133,90,266,270,0,375,266,420,266,255,133,15,266,60,0,450,0,495,133,120,0,435,887,256,266,465,266,405,446,348,0,390,133,210,266,120,665,214,266,360,445,311,437,330,432,500,859,23,133,255,133,270,0,405,133,450,0,510,133,60,133,285,860,236,133,195,133,330,133,240,133,105,266,390,133,225,133,390,133,375,266,165,133,30,266,495,133,315,266,30,266,285,640,390,133,360,266,225,266,315,266,15,266,90,266,75,266,195,0,420,449,293,266,300,133,45,0,315,133,465,133,300,412,25,266,435,266,45,133,420,0,285,852,477,133,135,439,381,699,71,266,375,266,210,133,345,684,26,266,150,676,42,0,330,266,180,266,480,133,75,133,165,878,277,0,300,266,330,133,480,266,135,133,405,266,240,133,495,0,465,133,180,133,435,948,377,266,450,266,345,0,480,0,345,575,26,266,105,133,150,1470049546
133,90,266,270,0,375,266,420,266,255,133,15,266,60,0,450,0,495,133,120,0,435,887,256,266,465,266,405,446,348,0,390,133,210,266,120,665,214,266,360,445,311,437,330,432,500,859,23,133,255,133,270,0,405,133,450,0,510,133,60,133,285,860,236,133,195,133,330,133,240,133,105,266,390,133,225,133,390,133,375,266,165,133,30,266,495,133,315,266,30,266,285,640,390,133,360,266,225,266,315,266,15,266,90,266,75,266,195,0,420,449,293,266,300,133,45,0,315,133,465,133,300,412,25,266,435,266,45,133,420,0,285,852,477,133,135,439,381,699,71,266,375,266,210,133,345,684,26,266,150,676,42,0,330,266,180,266,480,133,75,133,165,878,277,0,300,266,330,133,480,266,135,133,405,266,240,133,495,0,465,133,180,133,435,948,377,266,450,266,345,0,480,0,345,575,26,266,105,133,150,1470049561
133,90,266,270,0,375,266,420,266,255,133,15,266,60,0,450,0,495,133,120,0,435,887,256,266,465,266,405,446,348,0,390,133,210,266,120,665,214,266,360,445,311,437,330,432,500,859,23,133,255,133,270,0,405,133,450,0,510,133,60,133,285,860,236,133,195,133,330,133,240,133,105,266,390,133,225,133,390,133,375,266,165,133,30,266,495,133,315,266,30,266,285,640,390,133,360,266,225,266,315,266,15,266,90,266,75,266,195,0,420,449,293,266,300,133,45,0,315,133,465,133,300,412,25,266,435,266,45,133,420,0,285,852,477,133,135,439,381,699,71,266,375,266,210,133,345,684,26,266,150,676,42,0,330,266,180,266,480,133,75,133,165,878,277,0,300,266,330,133,480,266,135,133,405,266,240,133,495,0,465,133,180,133,435,948,377,266,450,266,345,0,480,0,345,575,26,266,105,133,150,1470049576
133,90,266,270,0,375,266,420,266,255,133,15,266,60,0,450,0,495,133,120,0,435,887,256,266,465,266,405,446,348,0,390,133,210,266,120,665,214,266,360,445,311,437,330,432,500,859,23,133,255,133,270,0,405,133,450,0,510,133,60,133,285,860,236,133,195,133,330,133,240,133,105,266,390,133,225,133,390,133,375,266,165,133,30,266,495,133,315,266,30,266,285,640,390,133,360,266,225,266,315,266,15,266,90,266,75,266,195,0,420,449,293,266,300,133,45,0,315,133,465,133,300,412,25,266,435,266,45,133,420,0,285,852,477,133,135,439,381,699,71,266,375,266,210,133,345,684,26,266,150,676,42,0,330,266,180,266,480,133,75,133,165,878,277,0,300,266,330,133,480,266,135,133,405,266,240,133,495,0,465,133,180,133,435,948,377,266,450,266,345,0,480,0,345,575,26,266,105,133,150,1470049591
133,90,266,270,0,375,266,420,266,255,133,15,266,60,0,450,0,495,133,120,0,435,887,256,266,465,266,405,446,348,0,390,133,210,266,120,665,214,266,360,445,311,437,330,432,500,859,23,133,255,133,270,0,405,133,450,0,510,133,60,133,285,860,236,133,195,133,330,133,240,133,105,266,390,133,225,133,390,133,375,266,165,133,30,266,495,133,315,266,30,266,285,640,390,133,360,266,225,266,315,266,15,266,90,266,75,266,195,0,420,449,293,266,300,133,45,0,315,133,465,133,300,412,25,266,435,266,45,133,420,0,285,852,477,133,135,439,381,699,71,266,375,266,210,133,345,684,26,266,150,676,42,0,330,266,180,266,480,133,75,133,165,878,277,0,300,266,330,133,480,266,135,133,405,266,240,133,495,0,465,133,180,133,435,948,377,266,450,266,345,0,480,0,345,575,26,266,105,133,150,1470049606
133,90,266,270,0,375,266,420,266,255,133,15,266,60,0,450,0,495,133,120,0,435,887,256,266,465,266,405,446,348,0,390,133,210,266,120,665,214,266,360,445,311,437,330,432,500,859,23,133,255,133,270,0,405,133,450,0,510,133,60,133,285,860,236,133,195,133,330,133,240,133,105,266,390,133,225,133,390,133,375,266,165,133,30,266,495,133,315,266,30,266,285,640,390,133,360,266,225,266,315,266,15,266,90,266,75,266,195,0,420,449,293,266,300,133,45,0,315,133,465,133,300,412,25,266,435,266,45,133,420,0,285,852,477,133,135,439,381,699,71,266,375,266,210,133,345,684,26,266,150,676,42,0,330,266,180,266,480,133,75,133,165,878,277,0,300,266,330,133,480,266,135,133,405,266,240,133,495,0,465,133,180,133,435,948,377,266,450,266,345,0,480,0,345,575,26,266,105,133,150,1470049621
133,90,266,270,0,375,266,420,266,255,133,15,266,60,0,450,0,495,133,120,0,435,887,256,266,465,266,405,446,348,0,390,133,210,266,120,665,214,266,360,445,311,437,330,432,500,859,23,133,255,133,270,0,405,133,450,0,510,133,60,133,285,860,236,133,195,133,330,133,240,133,105,266,390,133,225,133,390,133,375,266,165,133,30,266,495,133,315,266,30,266,285,640,390,133,360,266,225,266,315,266,15,266,90,266,75,266,195,0,420,449,293,266,300,133,45,0,315,133,465,133,300,412,25,266,435,266,45,133,420,0,285,852,477,133,135,439,381,699,71,266,375,266,210,133,345,684,26,266,150,676,42,0,330,266,180,266,480,133,75,133,165,878,277,0,300,266,330,133,480,266,135,133,405,266,240,133,495,0,465,133,180,133,435,948,377,266,450,266,345,0,480,0,345,575,26,266,105,133,150,1470049636
133,90,266,270,0,375,266,420,266,255,133,15,266,60,0,450,0,495,133,120,0,435,887,256,266,465,266,405,446,348,0,390,133,210,266,120,665,214,266,360,445,311,437,330,432,500,859,23,133,255,133,270,0,405,133,450,0,510,133,60,133,285,860,236,133,195,133,330,133,240,133,105,266,390,133,225,133,390,133,375,266,165,133,30,266,495,133,315,266,30,266,285,640,390,133,360,266,225,266,315,266,15,266,90,266,75,266,195,0,420,449,293,266,300,133,45,0,315,133,465,133,300,412,20,266,435,266,45,133,420,0,285,852,477,133,135,439,381,699,71,266,375,266,210,133,345,684,26,266,150,676,42,0,330,266,180,266,480,133,75,133,165,878,277,0,300,266,330,133,480,266,135,133,405,266,240,133,495,0,465,133,180,133,435,948,377,266,450,266,345,0,480,0,345,575,26,266,105,133,150,1470049651
133,90,266,270,0,375,266,420,266,255,133,15,266,60,0,450,0,495,133,120,0,435,887,256,266,465,266,405,446,348,0,390,133,210,266,120,665,214,266,360,445,311,437,330,432,500,859,23,133,255,133,270,0,405,133,450,0,510,133,60,133,285,860,236,133,195,133,330,133,240,133,105,266,390,133,225,133,390,133,375,266,165,133,30,266,495,133,315,266,30,266,285,640,390,133,360,266,225,266,315,266,15,266,90,266,75,266,195,0,420,449,293,266,300,133,45,0,315,133,465,133,300,412,20,266,435,266,45,133,420,0,285,852,477,133,135,439,381,699,71,266,375,266,210,133,345,684,26,266,150,676,42,0,330,266,180,266,480,133,75,133,165,878,277,0,300,266,330,133,480,266,135,133,405,266,240,133,495,0,465,133,180,133,435,948,377,266,450,266,345,0,480,0,345,575,26,266,105,133,150,1470049666
133,90,266,270,0,375,266,420,266,255,133,15,266,60,0,450,0,495,133,120,0,435,887,256,266,465,266,405,446,348,0,390,133,210,266,120,665,214,266,360,445,311,437,330,432,500,859,23,133,255,133,270,0,405,449,280,0,510,133,60,133,285,860,236,133,195,133,330,133,240,133,105,266,390,133,225,133,390,133,375,266,165,133,30,266,495,133,315,266,30,266,285,640,390,133,360,266,225,266,315,266,15,266,90,266,75,678,503,0,420,449,293,266,300,133,45,0,315,133,465,133,300,412,20,266,435,266,45,133,420,0,285,852,477,133,135,439,381,699,71,266,375,266,210,133,345,684,26,266,150,676,42,0,330,266,180,266,480,133,75,133,165,878,277,0,300,266,330,133,480,266,135,133,405,266,240,133,495,0,465,133,180,133,435,948,377,266,450,266,345,0,480,0,345,575,26,266,105,133,150,1470049681
133,90,266,270,0,375,266,420,266,255,133,15,266,60,0,450,0,495,133,120,0,435,887,256,266,465,266,405,446,348,0,390,133,210,266,120,665,214,266,360,445,311,437,330,432,500,859,23,133,255,133,270,0,405,449,229,0,510,133,60,133,285,860,236,417,210,133,330,133,240,133,105,266,390,133,225,133,390,133,375,266,165,133,30,266,495,133,315,266,30,266,285,640,390,133,360,266,225,266,315,266,15,266,90,266,75,678,503,0,420,449,293,266,300,133,45,0,315,133,465,133,300,412,20,266,435,266,45,133,420,0,285,852,477,133,135,439,381,699,71,266,375,266,210,133,345,684,26,266,150,676,42,0,330,266,180,266,480,133,75,133,165,878,277,0,300,266,330,133,480,266,135,133,405,266,240,133,495,0,465,133,180,133,435,948,377,266,450,266,345,0,480,0,345,575,26,266,105,133,150,1470049696
133,90,266,270,0,375,266,420,266,255,133,15,266,60,0,450,0,495,133,120,0,435,887,256,266,465,266,405,446,348,0,390,133,210,266,120,665,214,266,360,445,311,437,330,432,500,859,23,133,255,133,270,0,405,449,229,0,510,133,60,133,285,860,236,417,210,133,330,133,240,133,105,266,390,133,225,133,390,133,375,266,165,133,30,266,495,133,315,266,30,266,285,640,390,133,360,266,225,266,315,266,15,266,90,266,75,678,503,0,420,449,293,266,300,133,45,0,315,133,465,133,300,412,20,266,435,266,45,133,420,0,285,852,477,133,135,439,381,699,71,266,375,266,210,133,345,684,26,266,150,676,42,0,330,266,180,266,480,133,75,133,165,878,277,0,300,266,330,133,480,266,135,133,405,266,240,133,495,0,465,133,180,133,435,948,377,266,450,266,345,0,480,0,345,575,26,266,105,133,150,1470049711
133,90,266,270,0,375,266,420,266,255,133,15,266,60,0,450,0,495,133,120,0,435,887,256,266,465,266,405,446,348,0,390,133,210,266,120,665,214,266,360,445,311,437,330,440,452,859,23,133,255,133,270,0,405,449,229,0,510,133,60,133,285,860,236,417,210,133,330,133,240,133,105,266,390,133,225,133,390,133,375,266,165,133,30,266,495,133,315,266,30,266,285,640,390,133,360,266,225,266,315,266,15,266,90,266,75,678,503,0,420,449,293,266,300,133,45,0,315,133,465,133,300,412,20,266,435,266,45,133,420,437,470,852,477,133,135,439,381,699,71,266,375,266,210,133,345,684,26,266,150,676,42,0,330,266,180,266,480,133,75,133,165,878,277,0,300,266,330,133,480,266,135,133,405,266,240,133,495,0,465,133,180,133,435,948,377,266,450,266,345,0,480,0,345,575,26,266,105,133,150,1470049726
133,90,266,270,0,375,266,420,266,255,133,15,266,60,0,450,0,495,133,120,17,433,887,256,266,465,266,405,446,348,0,390,133,210,266,120,665,214,266,360,445,311,437,330,440,452,859,23,133,255,133,270,0,405,449,229,0,510,133,60,133,285,860,236,417,210,133,330,133,240,133,105,266,390,133,225,133,390,133,375,266,165,133,30,266,495,133,315,266,30,266,285,640,390,133,360,266,225,266,315,266,15,266,90,266,75,678,503,0,420,449,293,266,300,133,45,0,315,133,465,133,300,412,20,266,435,266,45,133,420,437,470,852,477,133,135,450,554,699,71,266,375,266,210,133,345,684,26,266,150,676,42,0,330,266,180,266,480,133,75,133,165,878,277,0,300,266,330,133,480,266,135,133,405,266,240,133,495,416,367,133,180,133,435,948,377,266,450,266,345,0,480,0,345,575,26,266,105,133,150,1470049741
