0,9*15+15,133,(36-34)*15+15,0,17*15+15,266,(90-67)*15+15,0,31*15+15,133,(66-34)*15+15,266,(78-67)*15+15,0,27*15+15,0,26*15+15,133,(48-34)*15+15,266,(67-67)*15+15,0,29*15+15,0,19*15+15,0,20*15+15,0,30*15+15,266,(77-67)*15+15,133,(45-34)*15+15,133,(55-34)*15+15,133,(63-34)*15+15,266,(93-67)*15+15,133,(65-34)*15+15,133,(62-34)*15+15,133,(60-34)*15+15,0,5*15+15,266,(75-67)*15+15,266,(96-67)*15+15,266,(74-67)*15+15,0,6*15+15,266,(80-67)*15+15,133,(38-34)*15+15,133,(34-34)*15+15,266,(83-67)*15+15,266,(95-67)*15+15,266,(68-67)*15+15,133,(44-34)*15+15,0,10*15+15,133,(49-34)*15+15,266,(85-67)*15+15,133,(41-34)*15+15,133,(52-34)*15+15,133,(57-34)*15+15,266,(79-67)*15+15,0,4*15+15,266,(76-67)*15+15,0,1*15+15,133,(64-34)*15+15,266,(71-67)*15+15,0,33*15+15,133,(59-34)*15+15,266,(92-67)*15+15,266,(72-67)*15+15,0,25*15+15,0,14*15+15,133,(35-34)*15+15,0,21*15+15,266,(91-67)*15+15,0,0*15+15,266,(98-67)*15+15,266,(88-67)*15+15,266,(94-67)*15+15,133,(37-34)*15+15,133,(40-34)*15+15,266,(97-67)*15+15,0,11*15+15,133,(58-34)*15+15,266,(81-67)*15+15,266,(99-67)*15+15,266,(82-67)*15+15,266,(87-67)*15+15,266,(69-67)*15+15,0,18*15+15,0,2*15+15,0,3*15+15,133,(61-34)*15+15,0,22*15+15,0,24*15+15,0,15*15+15,133,(53-34)*15+15,133,(51-34)*15+15,133,(46-34)*15+15,0,7*15+15,0,32*15+15,0,8*15+15,133,(47-34)*15+15,133,(56-34)*15+15,133,(54-34)*15+15,133,(43-34)*15+15,0,13*15+15,0,12*15+15,133,(50-34)*15+15,133,(42-34)*15+15,133,(39-34)*15+15,266,(70-67)*15+15,266,(84-67)*15+15,266,(89-67)*15+15,266,(73-67)*15+15,0,28*15+15,0,23*15+15,266,(86-67)*15+15,0,16*15+15,1477405797
0,150,133,45,0,270,482,40,0,480,133,495,266,180,0,420,0,405,133,225,439,40,0,450,0,300,0,315,0,465,266,165,133,180,884,367,133,450,266,405,133,480,635,153,133,405,439,338,417,65,266,450,638,192,645,144,266,210,624,138,423,55,496,59,603,128,266,30,133,165,480,49,510,39,266,285,133,120,133,285,133,360,266,195,752,27,642,118,754,35,133,465,266,75,0,510,133,390,266,390,266,90,0,390,0,225,133,30,637,171,645,181,433,26,266,480,266,330,266,420,133,60,133,105,266,465,0,180,133,375,266,225,266,495,266,240,266,315,266,45,0,285,0,45,0,60,133,420,0,345,616,211,0,240,133,300,133,270,133,195,0,120,0,495,0,135,133,210,133,345,133,315,133,150,0,210,0,195,133,255,133,135,133,90,266,60,266,270,657,163,266,105,0,435,0,360,266,300,0,255,1477405963
0,150,133,45,0,270,482,40,0,480,133,495,266,180,0,420,0,405,133,225,439,40,0,450,0,300,0,315,0,465,448,351,133,180,884,367,133,450,266,405,133,480,635,153,133,405,439,338,417,65,266,450,638,192,645,144,266,210,624,138,423,55,496,59,603,128,263,139,133,165,480,49,510,39,266,285,133,120,133,285,133,360,266,195,752,27,642,118,754,35,133,465,266,75,0,510,133,390,266,390,266,90,0,390,0,225,133,30,637,171,645,181,433,26,266,480,266,330,266,420,133,60,133,105,266,465,0,180,133,375,266,225,266,495,266,240,266,315,266,45,0,285,0,45,0,60,133,420,0,345,616,211,0,240,133,300,133,270,133,195,0,120,0,495,0,135,133,210,133,345,133,315,133,150,0,210,0,195,133,255,133,135,133,90,266,60,266,270,657,163,266,105,0,435,0,360,266,300,0,255,1477405978
0,150,133,45,0,270,482,40,0,480,133,495,266,180,0,420,0,405,133,225,439,40,0,450,0,300,0,315,0,465,448,351,636,245,884,367,133,450,266,405,133,480,635,153,133,405,439,338,417,65,266,450,638,192,645,144,266,210,624,138,423,55,496,59,603,128,263,139,133,165,480,49,510,39,266,285,133,120,133,285,133,360,266,195,752,27,642,118,754,35,133,465,266,75,0,510,133,390,266,390,266,90,635,223,0,225,133,30,637,171,645,181,433,26,266,480,266,330,266,420,133,60,133,105,266,465,0,180,133,375,266,225,266,495,266,240,266,315,266,45,0,285,0,45,0,60,133,420,0,345,616,211,0,240,133,300,133,270,133,195,0,120,0,495,0,135,133,210,133,345,133,315,133,150,0,210,0,195,133,255,133,135,133,90,266,60,266,270,657,163,266,105,0,435,0,360,266,300,0,255,1477405993
0,150,133,45,0,270,482,40,0,480,133,495,266,180,0,420,0,405,133,225,439,40,0,450,0,300,0,315,0,465,448,351,645,265,884,367,133,450,266,405,133,480,635,153,133,405,439,338,417,65,266,450,638,192,645,144,266,210,624,138,423,55,496,59,603,128,263,139,133,165,480,49,510,39,266,285,133,120,133,285,133,360,266,195,752,27,642,118,754,35,133,465,266,75,0,510,133,390,266,390,266,90,635,223,0,225,133,30,637,171,645,181,433,26,266,480,266,330,266,420,133,60,133,105,266,465,0,180,133,375,266,225,266,495,266,240,266,315,266,45,0,285,0,45,0,60,133,420,0,345,616,211,0,240,133,300,133,270,133,195,0,120,0,495,0,135,133,210,133,345,133,315,133,150,0,210,0,195,133,255,133,135,133,90,266,60,266,270,657,163,266,105,0,435,0,360,266,300,0,255,1477406008
0,150,133,45,0,270,482,40,0,480,133,495,266,180,0,420,0,405,133,225,439,40,0,450,0,300,0,315,0,465,448,351,645,265,884,367,133,450,266,405,133,480,635,153,133,405,439,338,417,65,266,450,638,192,645,144,266,210,624,138,423,55,496,59,603,128,263,139,133,165,480,49,510,39,266,285,133,120,133,285,133,360,266,195,752,27,642,118,754,35,133,465,266,75,0,510,133,390,266,390,266,90,635,223,0,225,133,30,637,171,645,181,433,26,266,480,266,330,266,420,133,60,133,105,266,465,0,180,133,375,266,225,266,495,266,240,266,315,266,45,0,285,0,45,0,60,133,420,0,345,616,211,0,240,133,300,133,270,133,195,0,120,0,495,0,135,133,210,133,345,133,315,133,150,0,210,0,195,133,255,133,135,133,90,266,60,266,270,657,163,266,105,0,435,0,360,266,300,0,255,1477406023
0,150,133,45,0,270,482,40,0,480,133,495,266,180,0,420,0,405,133,225,439,40,0,450,0,300,0,315,0,465,448,351,645,265,884,367,133,450,266,405,133,480,635,153,133,405,439,338,417,65,645,232,638,192,645,144,266,210,624,138,423,55,496,59,603,128,263,139,133,165,480,49,510,39,266,285,133,120,133,285,133,360,266,195,752,27,642,118,754,35,133,465,266,75,0,510,133,390,266,390,266,90,635,223,0,225,133,30,637,171,645,181,433,26,266,480,266,330,266,420,133,60,133,105,644,287,0,180,133,375,266,225,266,495,266,240,266,315,266,45,0,285,0,45,0,60,133,420,0,345,616,211,0,240,133,300,133,270,133,195,0,120,0,495,0,135,133,210,133,345,133,315,133,150,0,210,0,195,133,255,133,135,133,90,266,60,266,270,657,163,266,105,0,435,0,360,266,300,0,255,1477406038
0,150,133,45,0,270,482,40,0,480,133,495,266,180,0,420,0,405,133,225,439,40,0,450,0,300,0,315,0,465,448,351,645,265,884,367,133,450,266,405,133,480,635,153,133,405,439,338,417,65,645,232,638,192,645,144,266,210,624,138,423,55,496,59,603,128,263,139,133,165,480,49,510,39,266,285,133,120,133,285,133,360,266,195,752,27,642,118,754,35,133,465,266,75,0,510,133,390,266,390,266,90,635,223,0,225,133,30,637,171,645,181,433,26,266,480,266,330,266,420,133,60,133,105,644,287,0,180,133,375,266,225,266,495,266,240,266,315,266,45,0,285,0,45,0,60,133,420,0,345,616,211,0,240,133,300,133,270,133,195,0,120,0,495,0,135,133,210,133,345,133,315,133,150,0,210,0,195,133,255,133,135,133,90,266,60,266,270,657,163,266,105,0,435,0,360,266,300,0,255,1477406053
0,150,133,45,0,270,482,40,0,480,133,495,266,180,0,420,0,405,133,225,439,40,0,450,0,300,0,315,0,465,448,351,645,265,884,367,133,450,266,405,133,480,635,153,133,405,439,338,417,65,645,232,638,192,645,144,266,210,624,138,423,55,496,59,603,128,263,139,133,165,480,49,510,39,266,285,133,120,133,285,133,360,266,195,752,27,642,118,754,35,133,465,266,75,0,510,133,390,266,390,266,90,635,223,0,225,133,30,637,171,645,181,433,26,266,480,266,330,266,420,133,60,133,105,644,287,0,180,133,375,266,225,266,495,266,240,266,315,266,45,0,285,0,45,0,60,133,420,0,345,616,211,0,240,133,300,133,270,133,195,0,120,0,495,0,135,133,210,133,345,133,315,133,150,0,210,0,195,133,255,133,135,133,90,266,60,266,270,657,163,266,105,0,435,0,360,266,300,0,255,1477406068
0,150,133,45,0,270,482,40,0,480,133,495,266,180,0,420,0,405,133,225,439,40,0,450,0,300,0,315,0,465,448,351,645,265,884,367,133,450,266,405,133,480,635,153,133,405,439,338,417,65,645,232,638,192,645,144,266,210,624,138,423,55,496,59,603,128,263,139,133,165,480,49,510,39,266,285,133,120,133,285,133,360,266,195,752,27,642,118,754,35,133,465,266,75,0,510,133,390,266,390,266,90,635,223,628,297,133,30,637,171,645,181,433,26,266,480,266,330,266,420,133,60,133,105,644,287,0,180,133,375,266,225,266,495,266,240,266,315,266,45,0,285,0,45,0,60,133,420,0,345,616,211,0,240,133,300,133,270,133,195,0,120,0,495,0,135,133,210,133,345,133,315,133,150,0,210,0,195,133,255,133,135,133,90,266,60,266,270,657,163,266,105,0,435,0,360,266,300,0,255,1477406083
0,150,133,45,0,270,482,40,0,480,133,495,266,180,0,420,0,405,133,225,439,40,0,450,0,300,0,315,0,465,448,351,645,265,884,367,133,450,266,405,133,480,635,153,133,405,439,338,417,65,645,232,638,192,645,144,266,210,624,138,423,55,496,59,603,128,263,139,133,165,480,49,510,39,266,285,133,120,133,285,133,360,266,195,752,27,642,118,754,35,133,465,266,75,0,510,133,390,266,390,266,90,635,223,628,297,133,30,637,171,645,181,433,26,266,480,266,330,266,420,133,60,133,105,644,287,0,180,133,375,266,225,266,495,266,240,266,315,266,45,0,285,0,45,0,60,133,420,0,345,616,211,0,240,133,300,133,270,133,195,0,120,0,495,0,135,133,210,133,345,133,315,133,150,0,210,0,195,133,255,133,135,133,90,266,60,266,270,657,163,266,105,0,435,0,360,266,300,0,255,1477406098
0,150,133,45,0,270,482,40,0,480,133,495,266,180,0,420,0,405,133,225,439,40,0,450,0,300,0,315,0,465,448,351,645,265,884,367,133,450,266,405,133,480,635,153,133,405,439,338,417,65,645,232,638,192,645,144,266,210,624,138,423,55,496,59,603,128,263,139,133,165,480,49,510,39,266,285,133,120,133,285,133,360,266,195,752,27,642,118,754,35,133,465,266,75,0,510,133,390,266,390,266,90,635,223,628,297,133,30,637,171,645,181,433,26,266,480,266,330,266,420,133,60,133,105,644,287,0,180,133,375,266,225,266,495,266,240,266,315,266,45,0,285,0,45,0,60,133,420,0,345,616,211,0,240,133,300,133,270,133,195,0,120,0,495,0,135,133,210,133,345,133,315,133,150,0,210,0,195,133,255,133,135,133,90,266,60,266,270,657,163,266,105,0,435,0,360,266,300,0,255,1477406113
0,150,133,45,0,270,482,40,0,480,133,495,266,180,0,420,0,405,133,225,439,40,0,450,0,300,0,315,0,465,448,351,645,265,884,367,133,450,266,405,133,480,635,153,133,405,439,338,417,65,645,232,638,192,645,144,266,210,624,138,423,55,496,59,603,128,263,139,133,165,480,49,510,39,266,285,133,120,133,285,133,360,266,195,752,27,642,118,754,35,133,465,266,75,0,510,133,390,266,390,266,90,635,223,628,297,133,30,637,171,645,181,433,26,266,480,266,330,266,420,133,60,133,105,644,287,0,180,133,375,266,225,266,495,266,240,266,315,266,45,0,285,0,45,0,60,133,420,0,345,616,211,0,240,133,300,133,270,133,195,0,120,0,495,0,135,133,210,133,345,133,315,133,150,0,210,0,195,133,255,133,135,133,90,266,60,266,270,657,163,266,105,0,435,0,360,266,300,0,255,1477406128
0,150,133,45,0,270,482,40,0,480,133,495,266,180,0,420,0,405,133,225,439,40,0,450,0,300,0,315,0,465,448,351,645,265,884,367,133,450,266,405,133,480,635,153,133,405,439,338,417,65,645,232,638,192,645,144,266,210,624,138,423,55,496,59,603,128,263,139,133,165,480,49,510,39,266,285,133,120,133,285,133,360,266,195,752,27,642,118,754,35,133,465,266,75,0,510,133,390,266,390,266,90,635,223,628,297,133,30,637,171,645,181,433,26,266,480,266,330,266,420,133,60,133,105,644,287,697,201,133,375,266,225,266,495,266,240,266,315,266,45,0,285,0,45,0,60,133,420,0,345,616,211,0,240,133,300,133,270,133,195,0,120,0,495,0,135,133,210,133,345,133,315,133,150,0,210,0,195,133,255,133,135,133,90,266,60,266,270,657,163,266,105,0,435,0,360,266,300,0,255,1477406143
0,150,133,45,0,270,482,40,0,480,133,495,266,180,0,420,0,405,133,225,439,40,0,450,0,300,0,315,0,465,448,351,645,265,884,367,133,450,266,405,133,480,635,153,133,405,439,338,417,65,645,232,638,192,705,191,266,210,725,210,423,55,496,59,691,182,263,139,133,165,480,49,510,39,266,285,133,120,133,285,133,360,266,195,752,27,707,172,754,35,133,465,266,75,0,510,133,390,266,390,266,90,635,223,628,297,133,30,637,171,645,181,433,26,266,480,266,330,266,420,133,60,133,105,644,287,697,201,133,375,266,225,266,495,266,240,266,315,266,45,0,285,0,45,0,60,133,420,0,345,616,211,0,240,133,300,133,270,133,195,0,120,0,495,0,135,133,210,133,345,133,315,133,150,0,210,0,195,133,255,133,135,133,90,266,60,266,270,657,163,266,105,0,435,0,360,266,300,0,255,1477406158
0,150,133,45,0,270,482,40,0,480,133,495,266,180,0,420,0,405,133,225,439,40,0,450,0,300,0,315,0,465,448,351,778,275,884,367,767,283,266,405,133,480,635,153,133,405,439,338,417,65,645,232,638,192,705,191,266,210,725,210,423,55,496,59,691,182,263,139,133,165,480,49,510,39,266,285,133,120,133,285,133,360,266,195,752,27,707,172,754,35,133,465,266,75,0,510,133,390,266,390,266,90,635,223,628,297,133,30,637,171,645,181,433,26,266,480,266,330,266,420,133,60,133,105,644,287,697,201,133,375,266,225,266,495,266,240,266,315,266,45,0,285,0,45,0,60,133,420,0,345,616,211,0,240,133,300,133,270,133,195,0,120,0,495,0,135,133,210,133,345,133,315,133,150,0,210,0,195,133,255,133,135,133,90,266,60,266,270,657,163,266,105,0,435,462,363,266,300,0,255,1477406173
0,150,133,45,0,270,482,40,0,480,133,495,266,180,0,420,0,405,133,225,439,40,0,450,0,300,0,315,0,465,448,351,776,275,884,367,767,283,266,405,133,480,635,153,133,405,439,338,417,65,645,232,638,192,705,191,266,210,725,210,423,55,496,59,691,182,263,139,133,165,480,49,510,39,266,285,476,28,133,285,133,360,266,195,752,27,707,172,754,35,133,465,266,75,0,510,133,390,266,390,266,90,635,223,628,297,701,415,637,171,645,181,433,26,266,480,266,330,266,420,133,60,133,105,644,287,697,201,133,375,266,225,266,495,266,240,266,315,266,45,0,285,0,45,0,60,133,420,0,345,616,211,0,240,133,300,133,270,133,195,0,120,0,495,0,135,133,210,133,345,133,315,133,150,0,210,0,195,133,255,133,135,133,90,266,60,266,270,657,163,266,105,0,435,462,363,266,300,0,255,1477406188
0,150,133,45,0,270,482,40,0,480,133,495,266,180,0,420,0,405,133,225,439,40,0,450,0,300,0,315,0,465,448,351,776,275,884,367,767,283,266,405,689,162,635,153,133,405,439,338,417,65,645,232,638,192,705,191,266,210,725,210,423,55,496,59,691,182,263,139,133,165,480,49,510,39,266,285,476,28,133,285,133,360,266,195,752,27,707,172,754,35,133,465,266,75,0,510,133,390,266,390,266,90,635,223,628,297,687,392,637,171,645,181,433,26,266,480,266,330,266,420,133,60,133,105,644,287,697,201,133,375,266,225,266,495,266,240,266,315,266,45,0,285,0,45,0,60,133,420,0,345,616,211,0,240,133,300,133,270,133,195,0,120,0,495,0,135,133,210,133,345,133,315,133,150,0,210,0,195,133,255,133,135,133,90,266,60,266,270,657,163,266,105,0,435,462,363,266,300,0,255,1477406203
0,150,133,45,0,270,482,40,0,480,133,495,753,191,0,420,0,405,133,225,439,40,0,450,0,300,0,315,0,465,448,351,776,275,884,367,767,283,266,405,689,162,635,153,133,405,439,338,417,65,645,232,638,192,705,191,266,210,725,210,423,55,496,59,691,182,263,139,133,165,480,49,510,39,266,285,476,28,133,285,133,360,266,195,752,27,707,172,754,35,133,465,266,75,0,510,133,390,266,390,266,90,635,223,628,297,687,392,637,171,645,181,433,26,266,480,266,330,266,420,133,60,133,105,644,287,697,201,133,375,266,225,266,495,266,240,266,315,266,45,0,285,0,45,0,60,133,420,0,345,616,211,0,240,133,300,133,270,133,195,0,120,0,495,0,135,133,210,133,345,133,315,133,150,0,210,0,195,133,255,133,135,133,90,266,60,266,270,657,163,266,105,0,435,462,363,266,300,644,201,1477406218
0,150,475,373,0,270,482,40,0,480,133,495,753,191,0,420,0,405,133,225,439,40,0,450,0,300,0,315,0,465,448,351,776,275,884,367,767,283,266,405,689,162,635,153,133,405,439,338,417,65,645,232,638,192,705,191,266,210,725,210,423,55,496,59,691,182,263,139,133,165,480,49,510,39,266,285,476,28,133,285,133,360,266,195,752,27,707,172,754,35,133,465,266,75,0,510,133,390,266,390,266,90,635,223,628,297,687,392,637,171,645,181,433,26,266,480,266,330,266,420,133,60,133,105,644,287,697,201,133,375,266,225,266,495,266,240,266,315,266,45,0,285,0,45,0,60,133,420,0,345,616,211,0,240,780,33,133,270,133,195,0,120,0,495,0,135,133,210,133,345,787,25,133,150,0,210,0,195,133,255,133,135,133,90,266,60,266,270,657,163,266,105,0,435,462,363,266,300,644,201,1477406233
