133,(39-34)*15+15,266,(81-67)*15+15,0,30*15+15,266,(99-67)*15+15,266,(92-67)*15+15,0,2*15+15,133,(55-34)*15+15,266,(85-67)*15+15,266,(70-67)*15+15,0,6*15+15,266,(88-67)*15+15,266,(89-67)*15+15,133,(57-34)*15+15,0,4*15+15,266,(96-67)*15+15,266,(83-67)*15+15,266,(84-67)*15+15,0,25*15+15,133,(62-34)*15+15,266,(90-67)*15+15,266,(98-67)*15+15,133,(46-34)*15+15,133,(44-34)*15+15,133,(42-34)*15+15,266,(76-67)*15+15,133,(36-34)*15+15,0,28*15+15,133,(52-34)*15+15,133,(65-34)*15+15,0,26*15+15,133,(56-34)*15+15,0,15*15+15,266,(97-67)*15+15,133,(54-34)*15+15,266,(68-67)*15+15,0,20*15+15,133,(63-34)*15+15,0,32*15+15,0,27*15+15,266,(80-67)*15+15,266,(74-67)*15+15,0,29*15+15,266,(78-67)*15+15,266,(73-67)*15+15,0,9*15+15,0,16*15+15,266,(71-67)*15+15,0,21*15+15,0,12*15+15,0,18*15+15,0,11*15+15,133,(34-34)*15+15,266,(77-67)*15+15,133,(50-34)*15+15,0,8*15+15,266,(94-67)*15+15,133,(51-34)*15+15,133,(41-34)*15+15,266,(67-67)*15+15,0,5*15+15,0,33*15+15,0,22*15+15,133,(66-34)*15+15,133,(48-34)*15+15,133,(60-34)*15+15,133,(45-34)*15+15,133,(59-34)*15+15,133,(53-34)*15+15,0,19*15+15,0,0*15+15,0,10*15+15,266,(87-67)*15+15,133,(35-34)*15+15,0,3*15+15,266,(93-67)*15+15,133,(58-34)*15+15,0,7*15+15,0,31*15+15,0,17*15+15,133,(47-34)*15+15,133,(61-34)*15+15,0,24*15+15,133,(43-34)*15+15,266,(69-67)*15+15,0,1*15+15,133,(37-34)*15+15,266,(75-67)*15+15,266,(91-67)*15+15,0,14*15+15,133,(49-34)*15+15,266,(95-67)*15+15,266,(72-67)*15+15,133,(40-34)*15+15,0,23*15+15,266,(82-67)*15+15,0,13*15+15,133,(38-34)*15+15,266,(86-67)*15+15,133,(64-34)*15+15,266,(79-67)*15+15,1472056663
519,488,466,386,886,173,266,495,825,366,443,395,570,340,942,224,266,60,414,411,407,502,413,450,472,505,497,469,897,208,469,118,704,238,0,390,133,435,407,469,266,480,743,193,133,165,650,474,551,364,845,251,0,435,917,171,133,480,796,207,410,522,423,432,861,239,133,315,266,30,0,315,133,450,494,410,442,485,681,133,266,120,0,450,266,180,266,105,0,150,0,255,609,264,535,258,0,195,0,285,0,180,133,15,832,150,890,135,798,162,825,174,701,103,566,118,501,87,518,453,814,226,790,239,133,495,902,465,853,426,133,180,822,342,806,465,0,300,795,500,0,165,807,524,909,301,876,505,877,352,845,482,569,63,872,118,0,270,133,210,582,77,0,375,543,100,516,241,594,53,547,80,903,375,266,375,0,225,824,193,702,292,721,274,727,91,0,360,533,127,674,158,464,452,715,121,133,465,850,323,1472056995
519,488,466,386,886,173,552,475,825,366,443,395,570,340,942,224,266,60,414,411,407,502,413,450,472,505,497,469,897,208,469,118,704,238,0,390,133,435,407,469,266,480,743,193,133,165,650,474,551,364,845,251,0,435,917,171,524,509,796,207,410,522,423,432,861,239,411,369,266,30,0,315,133,450,494,410,442,485,681,133,266,120,0,450,266,180,266,105,0,150,0,255,609,264,535,258,0,195,0,285,0,180,133,15,832,150,890,135,798,162,825,174,701,103,566,118,501,87,518,453,814,226,790,239,916,434,902,465,853,426,133,180,822,342,806,465,0,300,795,500,0,165,807,524,909,301,876,505,877,352,845,482,569,63,872,118,0,270,133,210,582,77,0,375,543,100,516,241,594,53,547,80,903,375,266,375,0,225,824,193,702,292,721,274,727,91,0,360,533,127,674,158,464,452,715,121,133,465,850,323,1472057010
519,488,466,386,886,173,552,475,825,366,443,395,570,340,942,224,266,60,414,411,407,502,413,450,472,505,497,469,897,208,469,118,704,238,535,429,133,435,407,469,266,480,743,193,133,165,650,474,551,364,845,251,935,132,917,171,524,509,796,207,410,522,423,432,861,239,411,369,266,30,0,315,133,450,494,410,442,485,681,133,266,120,0,450,266,180,266,105,0,150,0,255,609,264,535,258,0,195,0,285,0,180,133,15,832,150,890,135,798,162,825,174,701,103,566,118,501,87,518,453,814,226,790,239,879,440,902,465,853,426,133,180,822,342,806,465,0,300,795,500,0,165,807,524,909,301,876,505,877,352,845,482,569,63,872,118,0,270,133,210,582,77,612,117,543,100,516,241,594,53,547,80,903,375,266,375,0,225,824,193,702,292,721,274,727,91,0,360,533,127,674,158,464,452,715,121,133,465,850,323,1472057025
519,488,466,386,886,173,552,475,825,366,443,395,570,340,942,224,266,60,414,411,407,502,413,450,472,505,497,469,897,208,469,118,704,238,535,429,133,435,407,469,266,480,743,193,133,165,650,474,551,364,845,251,935,132,917,171,524,509,796,207,410,522,423,432,861,239,411,369,266,30,0,315,133,450,494,410,442,485,681,133,266,120,0,450,266,180,266,105,0,150,0,255,609,264,535,258,0,195,782,108,0,180,133,15,832,150,890,135,798,162,825,174,701,103,566,118,501,87,518,453,814,226,790,239,879,440,902,465,853,426,133,180,822,342,806,465,792,128,795,500,83,186,807,524,909,301,876,505,877,352,845,482,569,63,872,118,562,135,133,210,582,77,612,117,543,100,516,241,594,53,547,80,903,375,266,375,0,225,824,193,702,292,721,274,727,91,0,360,533,127,674,158,464,452,715,121,133,465,850,323,1472057040
519,488,466,386,886,173,552,475,825,366,443,395,570,340,942,224,266,60,414,411,407,502,413,450,472,505,497,469,897,208,469,118,704,238,535,429,133,435,407,469,266,480,743,193,133,165,650,474,551,364,845,251,935,132,917,171,524,509,796,207,410,522,423,432,861,239,411,369,266,30,0,315,133,450,494,410,442,485,681,133,266,120,0,450,625,316,266,105,656,338,0,255,609,264,535,258,672,325,782,108,654,310,133,15,832,150,890,135,798,162,825,174,701,103,566,118,501,87,518,453,814,226,790,239,879,440,902,465,853,426,133,180,822,342,806,465,792,128,795,500,883,528,807,524,909,301,876,505,877,352,845,482,569,63,872,118,562,135,133,210,582,77,612,117,543,100,516,241,594,53,547,80,903,375,266,375,0,225,824,193,702,292,721,274,727,91,0,360,533,127,674,158,464,452,715,121,133,465,850,323,1472057055
519,488,466,386,886,173,552,475,825,366,443,395,570,340,942,224,266,60,414,411,407,502,413,450,472,505,497,469,897,208,469,118,704,238,535,429,133,435,407,469,266,480,743,193,133,165,650,474,551,364,845,251,935,132,917,171,524,509,796,207,410,522,423,432,861,239,411,369,266,30,0,315,133,450,494,410,442,485,681,133,266,120,0,450,626,317,266,105,656,338,0,255,609,264,535,258,672,325,782,108,654,310,924,255,832,150,890,135,798,162,825,174,701,103,566,118,501,87,518,453,814,226,790,239,879,440,902,465,853,426,133,180,822,342,806,465,792,128,795,500,883,528,807,524,909,301,876,505,877,352,845,482,569,63,872,118,562,135,542,146,582,77,612,117,543,100,516,241,594,53,547,80,903,375,266,375,0,225,824,193,702,292,721,274,727,91,0,360,533,127,674,158,464,452,715,121,133,465,850,323,1472057070
519,488,466,386,886,173,552,475,825,366,443,395,570,340,942,224,266,60,414,411,407,502,413,450,472,505,497,469,897,208,469,118,704,238,535,429,873,270,407,469,266,480,743,193,133,165,650,474,551,364,845,251,935,132,917,171,524,509,796,207,410,522,423,432,861,239,411,369,266,30,0,315,133,450,494,410,442,485,681,133,266,120,786,281,626,317,266,105,656,338,0,255,609,264,535,258,672,325,782,108,654,310,924,255,832,150,890,135,798,162,825,174,701,103,566,118,501,87,518,453,814,226,790,239,879,440,902,465,853,426,133,180,822,342,806,465,792,128,795,500,883,528,807,524,909,301,876,505,877,352,845,482,569,63,872,118,562,135,542,146,582,77,612,117,543,100,516,241,594,53,547,80,903,375,266,375,0,225,824,193,702,292,721,274,727,91,0,360,533,127,674,158,464,452,715,121,133,465,850,323,1472057085
519,488,466,386,886,173,552,475,825,366,443,395,570,340,942,224,266,60,414,411,407,502,413,450,472,505,497,469,897,208,469,118,704,238,535,429,873,270,407,469,266,480,743,193,133,165,650,474,551,364,845,251,935,132,917,171,524,509,796,207,410,522,423,432,861,239,411,369,266,30,598,377,133,450,494,410,442,485,681,133,266,120,786,281,626,317,266,105,656,338,0,255,609,264,535,258,672,325,782,108,654,310,924,255,832,150,890,135,798,162,825,174,701,103,566,118,501,87,518,453,814,226,790,239,879,440,902,465,853,426,133,180,822,342,806,465,792,128,795,500,883,528,807,524,909,301,876,505,877,352,845,482,569,63,872,118,562,135,542,146,582,77,612,117,543,100,516,241,594,53,547,80,903,375,266,375,769,401,824,193,702,292,721,274,727,91,523,183,533,127,674,158,464,452,715,121,133,465,850,323,1472057100
519,488,466,386,886,173,552,475,825,366,443,395,570,340,942,224,266,60,414,411,407,502,413,450,472,505,497,469,897,208,469,118,704,238,535,429,873,270,407,469,266,480,743,193,133,165,650,474,551,364,845,251,935,132,917,171,524,509,796,207,410,522,423,432,861,239,411,369,266,30,598,377,439,249,494,410,442,485,681,133,266,120,786,281,626,317,266,105,656,338,0,255,609,264,535,258,672,325,782,108,654,310,924,255,832,150,890,135,798,162,825,174,701,103,566,118,501,87,518,453,814,226,790,239,879,440,902,465,853,426,133,180,822,342,806,465,792,128,795,500,883,528,807,524,909,301,876,505,877,352,845,482,569,63,872,118,562,135,542,146,582,77,612,117,543,100,516,241,594,53,547,80,903,375,766,384,762,365,824,193,702,292,721,274,727,91,523,183,533,127,674,158,464,452,715,121,700,184,850,323,1472057115
519,488,466,386,886,173,552,475,825,366,443,395,570,340,942,224,266,60,414,411,407,502,413,450,472,505,497,469,897,208,469,118,704,238,535,429,873,270,407,469,266,480,743,193,664,429,650,474,551,364,845,251,935,132,917,171,524,509,796,207,410,522,423,432,861,239,411,369,266,30,598,377,439,249,494,410,442,485,681,133,266,120,786,281,626,317,266,105,656,338,525,290,516,274,535,258,672,325,782,108,654,310,924,255,832,150,890,135,798,162,825,174,701,103,566,118,501,87,518,453,814,226,790,239,879,440,902,465,853,426,133,180,822,342,806,465,792,128,795,500,883,528,807,524,909,301,876,505,877,352,845,482,569,63,872,118,562,135,542,146,582,77,612,117,543,100,516,241,594,53,547,80,903,375,766,384,762,365,824,193,702,292,721,274,727,91,523,183,533,127,674,158,464,452,715,121,851,288,850,323,1472057130
519,488,466,386,886,173,552,475,825,366,443,395,570,340,942,224,266,60,414,411,407,502,413,450,472,505,497,469,897,208,469,118,704,238,535,429,873,270,407,469,662,441,743,193,664,456,650,474,551,364,845,251,935,132,917,171,524,509,796,207,410,522,423,432,861,239,411,369,266,30,598,377,439,249,494,410,442,485,681,133,266,120,786,281,626,317,266,105,656,338,525,290,516,274,535,258,672,325,782,108,654,310,924,255,832,150,890,135,798,162,825,174,701,103,566,118,501,87,518,453,814,226,790,239,879,440,902,465,853,426,758,440,822,342,806,465,792,128,795,500,883,528,807,524,909,301,876,505,877,352,845,482,569,63,872,118,562,135,542,146,582,77,612,117,543,100,516,241,594,53,547,80,903,375,766,384,762,365,824,193,702,292,721,274,727,91,523,183,533,127,674,158,464,452,715,121,851,288,850,323,1472057145
519,488,466,386,886,173,552,475,825,366,443,395,570,340,942,224,676,422,414,411,407,502,413,450,472,505,497,469,897,208,469,118,704,238,535,429,873,270,407,469,662,441,743,193,664,456,650,474,551,364,845,251,935,132,917,171,524,509,796,207,410,522,423,432,861,239,411,369,266,30,598,377,439,249,494,410,442,485,681,133,797,267,786,281,626,317,694,255,656,338,525,290,516,274,535,258,672,325,782,108,654,310,924,255,832,150,890,135,798,162,825,174,701,103,566,118,501,87,518,453,814,226,790,239,879,440,902,465,853,426,760,440,822,342,806,465,792,128,795,500,883,528,807,524,909,301,876,505,877,352,845,482,569,63,872,118,562,135,542,146,582,77,612,117,543,100,516,241,594,53,547,80,903,375,766,384,762,365,824,193,702,292,721,274,727,91,523,183,533,127,674,158,464,452,715,121,851,288,850,323,1472057160
519,488,466,386,886,173,552,475,825,366,443,395,570,340,942,224,676,422,414,411,407,502,413,450,472,505,497,469,897,208,469,118,704,238,535,429,873,270,407,469,662,441,743,193,664,456,650,474,551,364,845,251,935,132,917,171,524,509,796,207,410,522,423,432,861,239,411,369,684,210,598,377,439,249,494,410,442,485,681,133,797,267,786,281,626,317,694,255,656,338,525,290,516,274,535,258,672,325,782,108,654,310,924,255,832,150,890,135,798,162,825,174,701,103,566,118,501,87,518,453,814,226,790,239,879,440,902,465,853,426,760,440,822,342,806,465,792,128,795,500,883,528,807,524,909,301,876,505,877,352,845,482,569,63,872,118,562,135,542,146,582,77,612,117,543,100,516,241,594,53,547,80,903,375,766,384,762,365,824,193,702,292,721,274,727,91,523,183,533,127,674,158,464,452,715,121,851,288,850,323,1472057173
