0,33*15+15,133,(66-34)*15+15,133,(37-34)*15+15,266,(73-67)*15+15,266,(74-67)*15+15,133,(53-34)*15+15,266,(85-67)*15+15,0,12*15+15,266,(69-67)*15+15,0,27*15+15,0,13*15+15,0,6*15+15,0,28*15+15,266,(81-67)*15+15,266,(76-67)*15+15,266,(82-67)*15+15,266,(89-67)*15+15,133,(39-34)*15+15,133,(44-34)*15+15,133,(45-34)*15+15,133,(60-34)*15+15,133,(47-34)*15+15,266,(77-67)*15+15,133,(65-34)*15+15,0,24*15+15,0,5*15+15,0,23*15+15,266,(75-67)*15+15,266,(88-67)*15+15,133,(46-34)*15+15,133,(54-34)*15+15,266,(84-67)*15+15,133,(43-34)*15+15,133,(52-34)*15+15,266,(78-67)*15+15,133,(35-34)*15+15,266,(94-67)*15+15,266,(86-67)*15+15,266,(79-67)*15+15,0,1*15+15,0,4*15+15,266,(68-67)*15+15,266,(96-67)*15+15,266,(93-67)*15+15,266,(80-67)*15+15,266,(98-67)*15+15,133,(40-34)*15+15,0,17*15+15,133,(62-34)*15+15,0,11*15+15,0,32*15+15,0,7*15+15,133,(42-34)*15+15,133,(63-34)*15+15,0,15*15+15,0,25*15+15,0,31*15+15,266,(70-67)*15+15,0,2*15+15,0,0*15+15,133,(55-34)*15+15,266,(92-67)*15+15,133,(38-34)*15+15,0,16*15+15,0,20*15+15,0,3*15+15,266,(95-67)*15+15,0,14*15+15,266,(99-67)*15+15,133,(56-34)*15+15,133,(41-34)*15+15,266,(67-67)*15+15,0,18*15+15,266,(83-67)*15+15,0,22*15+15,0,30*15+15,0,21*15+15,133,(49-34)*15+15,133,(57-34)*15+15,133,(50-34)*15+15,266,(97-67)*15+15,0,26*15+15,266,(71-67)*15+15,0,29*15+15,133,(64-34)*15+15,266,(87-67)*15+15,266,(90-67)*15+15,133,(48-34)*15+15,266,(72-67)*15+15,0,8*15+15,133,(36-34)*15+15,133,(59-34)*15+15,133,(58-34)*15+15,133,(51-34)*15+15,0,9*15+15,0,10*15+15,0,19*15+15,133,(34-34)*15+15,133,(61-34)*15+15,266,(91-67)*15+15,1466054770
0,510,133,495,133,60,266,105,266,120,133,300,266,285,0,195,266,45,0,420,0,210,0,105,0,435,266,225,266,150,266,240,266,345,133,90,133,165,133,180,133,405,133,210,266,165,133,480,0,375,0,90,0,360,266,135,266,330,133,195,133,315,266,270,133,150,133,285,266,180,133,30,266,420,266,300,266,195,0,30,0,75,266,30,266,450,266,405,266,210,266,480,133,105,0,270,133,435,0,180,0,495,0,120,133,135,133,450,0,240,0,390,0,480,266,60,0,45,0,15,133,330,266,390,133,75,0,255,0,315,0,60,266,435,0,225,266,495,133,345,133,120,266,15,0,285,266,255,0,345,0,465,0,330,133,240,133,360,133,255,266,465,0,405,266,75,0,450,133,465,266,315,266,360,133,225,266,90,0,135,133,45,133,390,133,375,133,270,0,150,0,165,0,300,133,15,133,420,266,375,1466054820
0,510,133,495,133,60,266,105,266,120,133,300,266,285,0,195,266,45,0,420,0,210,0,105,0,435,266,225,266,150,266,240,266,345,133,90,133,165,133,180,133,405,133,210,266,165,133,480,0,375,0,90,0,360,266,135,266,330,133,195,133,315,266,270,133,150,133,285,266,180,133,30,266,420,266,300,266,195,0,30,0,75,266,30,266,450,266,405,266,210,266,480,133,105,0,270,133,435,0,180,0,495,0,120,133,135,133,450,0,240,0,390,0,480,266,60,0,45,0,15,133,330,266,390,133,75,0,255,0,315,0,60,266,435,0,225,266,495,133,345,133,120,266,15,0,285,266,255,0,345,0,465,0,330,133,240,133,360,133,255,266,465,0,405,266,75,0,450,133,465,266,315,266,360,133,225,266,90,0,135,133,45,133,390,133,375,133,270,0,150,0,165,0,300,133,15,133,420,266,375,1466054835
0,510,133,495,133,60,266,105,266,120,133,300,266,285,0,195,266,45,0,420,0,210,0,105,0,435,266,225,266,150,266,240,266,345,133,90,133,165,133,180,133,405,133,210,266,165,133,480,0,375,0,90,0,360,266,135,266,330,133,195,133,315,266,270,133,150,133,285,266,180,133,30,266,420,266,300,266,195,0,30,0,75,266,30,266,450,266,405,266,210,266,480,133,105,0,270,133,435,0,180,0,495,0,120,133,135,133,450,0,240,0,390,0,480,266,60,0,45,407,33,133,330,266,390,133,75,0,255,0,315,0,60,266,435,0,225,266,495,133,345,133,120,266,15,0,285,266,255,0,345,0,465,0,330,133,240,133,360,133,255,266,465,0,405,266,75,0,450,133,465,266,315,266,360,133,225,266,90,0,135,133,45,133,390,133,375,133,270,0,150,0,165,0,300,133,15,133,420,266,375,1466054850
0,510,133,495,133,60,266,105,266,120,133,300,266,285,0,195,266,45,0,420,0,210,0,105,0,435,266,225,266,150,266,240,266,345,133,90,133,165,133,180,133,405,133,210,266,165,133,480,0,375,0,90,0,360,266,135,266,330,133,195,133,315,266,270,133,150,133,285,266,180,496,31,266,420,266,300,266,195,0,30,0,75,266,30,266,450,266,405,266,210,266,480,133,105,0,270,133,435,0,180,0,495,0,120,133,135,133,450,0,240,0,390,0,480,266,60,0,45,413,30,133,330,266,390,133,75,0,255,0,315,0,60,266,435,0,225,266,495,133,345,133,120,266,15,0,285,266,255,0,345,0,465,0,330,133,240,133,360,133,255,266,465,0,405,266,75,0,450,133,465,266,315,266,360,133,225,266,90,0,135,133,45,133,390,133,375,133,270,0,150,0,165,0,300,133,15,133,420,266,375,1466054865
0,510,133,495,133,60,266,105,266,120,133,300,266,285,0,195,266,45,0,420,0,210,0,105,0,435,266,225,266,150,266,240,266,345,133,90,133,165,133,180,133,405,133,210,266,165,133,480,0,375,0,90,0,360,266,135,266,330,133,195,133,315,266,270,133,150,133,285,266,180,496,31,266,420,266,300,266,195,0,30,0,75,266,30,266,450,266,405,266,210,266,480,133,105,0,270,133,435,0,180,0,495,0,120,133,135,133,450,0,240,0,390,0,480,472,57,0,45,413,30,133,330,266,390,133,75,0,255,0,315,0,60,266,435,0,225,266,495,133,345,133,120,266,15,0,285,266,255,0,345,0,465,0,330,133,240,133,360,133,255,266,465,0,405,538,60,0,450,133,465,266,315,266,360,133,225,266,90,0,135,133,45,133,390,133,375,133,270,0,150,0,165,0,300,133,15,133,420,266,375,1466054880
0,510,133,495,133,60,266,105,266,120,133,300,266,285,0,195,266,45,0,420,0,210,721,34,0,435,266,225,266,150,266,240,266,345,133,90,133,165,133,180,133,405,133,210,266,165,133,480,0,375,0,90,0,360,266,135,266,330,133,195,133,315,266,270,133,150,133,285,266,180,765,36,266,420,266,300,266,195,0,30,0,75,266,30,266,450,266,405,266,210,266,480,133,105,0,270,133,435,0,180,0,495,-1,121,133,135,133,450,0,240,0,390,0,480,472,57,0,45,413,30,133,330,266,390,133,75,0,255,0,315,0,60,266,435,0,225,266,495,133,345,133,120,266,15,0,285,266,255,0,345,0,465,0,330,133,240,133,360,133,255,266,465,0,405,538,60,0,450,133,465,266,315,266,360,133,225,266,90,0,135,133,45,133,390,133,375,133,270,0,150,0,165,0,300,133,15,133,420,266,375,1466054895
0,510,133,495,133,60,266,105,266,120,133,300,266,285,0,195,266,45,0,420,0,210,721,34,0,435,266,225,266,150,266,240,266,345,133,90,133,165,133,180,133,405,133,210,266,165,133,480,0,375,0,90,0,360,266,135,266,330,133,195,133,315,266,270,133,150,133,285,266,180,764,33,266,420,266,300,266,195,0,30,0,75,266,30,266,450,266,405,266,210,266,480,133,105,0,270,133,435,0,180,0,495,-1,121,133,135,133,450,0,240,0,390,0,480,472,57,0,45,413,30,133,330,266,390,133,75,0,255,0,315,0,60,266,435,0,225,266,495,133,345,133,120,266,15,0,285,266,255,0,345,0,465,0,330,133,240,133,360,133,255,266,465,0,405,710,90,0,450,133,465,266,315,266,360,133,225,266,90,0,135,133,45,133,390,133,375,133,270,658,97,0,165,0,300,133,15,133,420,266,375,1466054910
0,510,133,495,133,60,266,105,266,120,133,300,266,285,0,195,266,45,0,420,0,210,721,34,0,435,266,225,266,150,266,240,266,345,133,90,133,165,777,83,133,405,133,210,266,165,133,480,0,375,0,90,0,360,266,135,266,330,132,196,133,315,266,270,133,150,133,285,266,180,764,33,266,420,266,300,266,195,0,30,0,75,266,30,266,450,266,405,266,210,266,480,133,105,0,270,133,435,0,180,0,495,-1,121,133,135,133,450,0,240,0,390,0,480,472,57,0,45,413,30,133,330,266,390,133,75,0,255,0,315,0,60,266,435,0,225,266,495,133,345,133,120,266,15,0,285,266,255,0,345,0,465,0,330,133,240,133,360,133,255,266,465,0,405,696,97,0,450,133,465,266,315,266,360,133,225,266,90,0,135,133,45,133,390,133,375,133,270,658,97,0,165,0,300,133,15,133,420,266,375,1466054925
0,510,133,495,133,60,266,105,266,120,133,300,266,285,0,195,266,45,0,420,0,210,721,34,0,435,266,225,266,150,266,240,266,345,133,90,133,165,741,67,133,405,133,210,266,165,133,480,0,375,0,90,0,360,266,135,266,330,132,196,133,315,266,270,133,150,133,285,266,180,764,33,266,420,266,300,922,21,0,30,0,75,266,30,266,450,266,405,266,210,266,480,133,105,0,270,133,435,0,180,0,495,-1,121,133,135,133,450,0,240,0,390,0,480,472,57,0,45,413,30,133,330,266,390,133,75,0,255,0,315,0,60,266,435,0,225,266,495,133,345,133,120,266,15,0,285,266,255,0,345,0,465,0,330,133,240,133,360,133,255,266,465,0,405,696,97,0,450,133,465,266,315,266,360,133,225,266,90,0,135,133,45,133,390,133,375,133,270,658,97,0,165,0,300,133,15,133,420,266,375,1466054940
0,510,133,495,133,60,266,105,266,120,133,300,266,285,0,195,266,45,0,420,0,210,721,34,0,435,266,225,266,150,266,240,266,345,133,90,133,165,741,67,133,405,133,210,266,165,133,480,0,375,0,90,0,360,266,135,266,330,132,196,133,315,266,270,133,150,133,285,266,180,836,20,266,420,266,300,922,21,0,30,0,75,266,30,266,450,266,405,266,210,266,480,133,105,0,270,133,435,0,180,0,495,-1,121,133,135,133,450,0,240,0,390,0,480,472,57,0,45,413,30,133,330,266,390,133,75,0,255,0,315,0,60,266,435,615,194,266,495,133,345,133,120,266,15,0,285,266,255,0,345,0,465,0,330,133,240,133,360,133,255,266,465,0,405,696,97,0,450,133,465,266,315,266,360,133,225,266,90,0,135,133,45,133,390,133,375,133,270,658,97,0,165,0,300,133,15,133,420,266,375,1466054955
