133,(40-34)*15+15,0,22*15+15,133,(37-34)*15+15,133,(44-34)*15+15,0,7*15+15,0,16*15+15,266,(81-67)*15+15,0,12*15+15,133,(52-34)*15+15,266,(85-67)*15+15,266,(88-67)*15+15,133,(64-34)*15+15,133,(43-34)*15+15,0,1*15+15,133,(41-34)*15+15,0,4*15+15,133,(49-34)*15+15,266,(92-67)*15+15,133,(34-34)*15+15,133,(66-34)*15+15,266,(89-67)*15+15,133,(65-34)*15+15,0,0*15+15,266,(94-67)*15+15,266,(71-67)*15+15,133,(42-34)*15+15,0,6*15+15,0,14*15+15,266,(76-67)*15+15,266,(75-67)*15+15,266,(82-67)*15+15,0,31*15+15,133,(48-34)*15+15,0,2*15+15,266,(80-67)*15+15,0,10*15+15,133,(54-34)*15+15,133,(55-34)*15+15,0,30*15+15,266,(78-67)*15+15,266,(87-67)*15+15,266,(67-67)*15+15,0,17*15+15,0,25*15+15,266,(99-67)*15+15,266,(77-67)*15+15,266,(86-67)*15+15,266,(68-67)*15+15,133,(47-34)*15+15,133,(46-34)*15+15,133,(51-34)*15+15,0,5*15+15,133,(53-34)*15+15,0,19*15+15,0,18*15+15,133,(35-34)*15+15,0,27*15+15,266,(73-67)*15+15,133,(59-34)*15+15,0,11*15+15,133,(39-34)*15+15,0,15*15+15,0,9*15+15,0,21*15+15,133,(36-34)*15+15,266,(96-67)*15+15,0,33*15+15,266,(72-67)*15+15,0,20*15+15,0,29*15+15,0,13*15+15,266,(90-67)*15+15,133,(61-34)*15+15,133,(56-34)*15+15,133,(57-34)*15+15,266,(97-67)*15+15,133,(50-34)*15+15,266,(98-67)*15+15,266,(93-67)*15+15,266,(70-67)*15+15,133,(45-34)*15+15,133,(60-34)*15+15,266,(83-67)*15+15,133,(62-34)*15+15,266,(74-67)*15+15,0,32*15+15,133,(38-34)*15+15,0,26*15+15,266,(91-67)*15+15,266,(84-67)*15+15,0,3*15+15,0,28*15+15,266,(95-67)*15+15,0,24*15+15,266,(79-67)*15+15,133,(63-34)*15+15,133,(58-34)*15+15,0,8*15+15,266,(69-67)*15+15,0,23*15+15,1473257879
133,105,0,345,133,60,133,165,0,120,513,486,266,225,0,195,133,285,266,285,642,454,133,465,133,150,0,30,419,56,0,75,133,240,266,390,423,28,133,495,435,146,133,480,0,15,266,420,417,131,22,102,437,42,518,32,266,150,266,135,266,240,0,480,133,225,0,45,266,210,0,165,665,439,688,451,0,465,266,180,266,315,266,15,453,500,0,390,266,495,266,165,681,228,684,213,133,210,133,195,133,270,885,211,133,300,500,223,567,37,542,47,0,420,473,508,133,390,0,180,133,90,773,54,0,150,0,330,133,45,266,450,0,510,418,117,0,315,0,450,696,151,266,360,133,420,133,345,133,360,266,465,133,255,266,480,266,405,509,497,133,180,133,405,266,255,133,435,266,120,0,495,133,75,0,405,266,375,266,270,0,60,0,435,472,489,0,375,266,195,133,450,133,375,0,135,798,43,0,360,1473258052
133,105,0,345,133,60,133,165,0,120,513,486,266,225,0,195,133,285,266,285,642,454,133,465,133,150,0,30,419,56,0,75,133,240,266,390,423,28,133,495,435,146,133,480,0,15,266,420,417,131,843,131,437,42,518,32,266,150,266,135,266,240,0,480,133,225,0,45,266,210,0,165,665,439,688,451,0,465,266,180,266,315,266,15,453,500,0,390,266,495,266,165,681,228,684,213,133,210,133,195,133,270,885,211,133,300,500,223,567,37,542,47,0,420,473,508,133,390,0,180,133,90,773,54,0,150,0,330,133,45,266,450,0,510,418,117,0,315,0,450,876,146,266,360,133,420,133,345,133,360,266,465,133,255,266,480,266,405,509,497,133,180,133,405,266,255,133,435,266,120,0,495,133,75,0,405,266,375,266,270,0,60,0,435,472,489,0,375,266,195,133,450,133,375,854,315,798,43,0,360,1473258067
133,105,0,345,133,60,133,165,0,120,513,486,266,225,0,195,133,285,266,285,642,454,133,465,133,150,0,30,419,56,0,75,133,240,266,390,423,28,133,495,435,146,133,480,498,317,266,420,417,131,843,131,437,42,518,32,266,150,266,135,266,240,0,480,133,225,0,45,266,210,0,165,665,439,688,451,0,465,266,180,909,129,266,15,453,500,0,390,266,495,266,165,681,228,684,213,133,210,133,195,133,270,885,211,133,300,500,223,567,37,542,47,0,420,473,508,133,390,0,180,475,18,773,54,0,150,0,330,133,45,266,450,0,510,418,117,0,315,0,450,876,146,266,360,133,420,133,345,133,360,266,465,133,255,266,480,266,405,509,497,133,180,133,405,266,255,133,435,266,120,0,495,509,349,0,405,266,375,266,270,0,60,0,435,472,489,0,375,266,195,133,450,133,375,854,315,798,43,0,360,1473258082
133,105,0,345,133,60,133,165,0,120,513,486,266,225,0,195,133,285,266,285,642,454,133,465,133,150,0,30,419,56,0,75,133,240,266,390,423,28,133,495,435,146,133,480,735,344,266,420,417,131,843,131,437,42,518,32,266,150,266,135,266,240,0,480,133,225,0,45,266,210,0,165,665,439,688,451,0,465,266,180,909,129,266,15,453,500,0,390,266,495,266,165,681,228,684,213,133,210,133,195,133,270,885,211,133,300,500,223,567,37,542,47,0,420,473,508,133,390,0,180,475,18,773,54,0,150,809,143,133,45,266,450,0,510,418,117,834,54,0,450,876,146,266,360,133,420,133,345,133,360,266,465,133,255,266,480,266,405,509,497,133,180,133,405,266,255,133,435,266,120,0,495,509,349,0,405,266,375,266,270,0,60,0,435,472,489,0,375,266,195,133,450,133,375,854,315,798,43,288,419,1473258097
133,105,888,511,133,60,133,165,0,120,513,486,266,225,0,195,133,285,266,285,642,454,133,465,133,150,0,30,419,56,0,75,133,240,266,390,423,28,133,495,435,146,133,480,735,344,266,420,417,131,843,131,437,42,518,32,266,150,266,135,266,240,0,480,133,225,0,45,266,210,0,165,665,439,688,451,0,465,266,180,909,129,266,15,453,500,836,16,266,495,266,165,681,228,684,213,133,210,133,195,133,270,885,211,133,300,500,223,567,37,542,47,0,420,473,508,133,390,0,180,475,18,773,54,0,150,809,143,133,45,266,450,0,510,418,117,834,54,0,450,876,146,266,360,133,420,133,345,133,360,266,465,133,255,266,480,266,405,509,497,133,180,133,405,266,255,133,435,266,120,0,495,509,349,0,405,266,375,266,270,0,60,0,435,472,489,435,478,266,195,133,450,133,375,854,315,798,43,666,467,1473258112
133,105,888,511,133,60,133,165,0,120,513,486,266,225,418,69,133,285,266,285,642,454,133,465,133,150,0,30,419,56,0,75,133,240,266,390,423,28,133,495,435,146,133,480,735,344,266,420,417,131,843,131,437,42,518,32,266,150,266,135,266,240,0,480,133,225,0,45,266,210,0,165,665,439,688,451,0,465,266,180,909,129,266,15,453,500,877,116,266,495,266,165,681,228,684,213,133,210,133,195,133,270,885,211,133,300,500,223,567,37,542,47,0,420,473,508,133,390,652,573,475,18,773,54,0,150,809,143,133,45,266,450,0,510,418,117,834,54,0,450,876,146,266,360,133,420,133,345,133,360,266,465,133,255,266,480,266,405,509,497,133,180,133,405,266,255,133,435,266,120,0,495,509,349,810,114,266,375,266,270,0,60,0,435,472,489,435,478,266,195,133,450,133,375,854,315,798,43,666,467,1473258127
133,105,888,511,133,60,133,165,0,120,513,486,266,225,418,69,133,285,266,285,642,454,133,465,133,150,686,524,419,56,0,75,133,240,266,390,423,28,133,495,435,146,133,480,735,344,266,420,417,131,843,131,437,42,518,32,266,150,266,135,266,240,0,480,133,225,0,45,266,210,0,165,665,439,688,451,0,465,266,180,909,129,266,15,453,500,877,116,266,495,266,165,681,228,684,213,133,210,133,195,133,270,885,211,133,300,500,223,567,37,542,47,0,420,473,508,133,390,652,573,475,18,773,54,0,150,809,143,133,45,266,450,0,510,418,117,834,54,0,450,876,146,266,360,133,420,133,345,133,360,266,465,133,255,266,480,266,405,509,497,133,180,133,405,266,255,133,435,266,120,0,495,509,349,810,114,266,375,266,270,881,223,0,435,472,489,435,478,266,195,133,450,133,375,854,315,798,43,666,467,1473258142
133,105,888,511,133,60,133,165,0,120,513,486,266,225,418,69,133,285,266,285,642,454,133,465,133,150,686,524,419,56,0,75,133,240,266,390,423,28,133,495,435,146,133,480,735,344,266,420,417,131,843,131,437,42,518,32,266,150,266,135,266,240,0,480,133,225,0,45,266,210,661,480,665,439,688,451,0,465,266,180,909,129,266,15,453,500,877,116,266,495,266,165,681,228,684,213,133,210,133,195,133,270,885,211,133,300,500,223,567,37,542,47,0,420,473,508,133,390,652,573,475,18,773,54,776,129,809,143,133,45,266,450,0,510,418,117,834,54,0,450,876,146,266,360,133,420,133,345,133,360,266,465,133,255,266,480,266,405,509,497,133,180,133,405,266,255,133,435,266,120,0,495,509,349,810,114,266,375,266,270,881,223,0,435,472,489,435,478,266,195,133,450,133,375,854,315,798,43,666,467,1473258157
732,532,888,511,133,60,133,165,0,120,513,486,266,225,418,69,133,285,266,285,642,454,133,465,133,150,686,524,419,56,0,75,133,240,266,390,423,28,133,495,435,146,133,480,735,344,266,420,417,131,843,131,437,42,518,32,266,150,266,135,266,240,0,480,133,225,0,45,266,210,661,480,665,439,688,451,0,465,266,180,909,129,266,15,453,500,877,116,266,495,266,165,681,228,684,213,133,210,761,42,133,270,885,211,133,300,500,223,567,37,542,47,0,420,473,508,133,390,652,573,475,18,773,54,776,129,809,143,133,45,266,450,0,510,418,117,834,54,0,450,876,146,266,360,133,420,133,345,133,360,266,465,501,475,266,480,266,405,509,497,133,180,133,405,266,255,133,435,266,120,0,495,509,349,810,114,266,375,266,270,881,223,0,435,472,489,435,478,266,195,133,450,133,375,854,315,798,43,666,467,1473258172
732,532,888,511,133,60,133,165,299,201,513,486,266,225,418,69,742,355,266,285,642,454,133,465,133,150,686,524,419,56,0,75,133,240,266,390,423,28,133,495,435,146,133,480,735,344,266,420,417,131,843,131,437,42,518,32,266,150,266,135,266,240,0,480,133,225,0,45,266,210,661,480,665,439,688,451,0,465,266,180,909,129,266,15,453,500,877,116,266,495,266,165,681,228,684,213,133,210,761,42,719,469,885,211,860,235,500,223,567,37,542,47,0,420,473,508,133,390,652,573,475,18,773,54,776,129,809,143,133,45,266,450,0,510,418,117,834,54,0,450,876,146,266,360,133,420,133,345,133,360,266,465,501,475,266,480,266,405,509,497,133,180,133,405,266,255,133,435,266,120,0,495,509,349,810,114,266,375,266,270,881,223,0,435,472,489,435,478,266,195,133,450,133,375,854,315,798,43,666,467,1473258187
732,532,888,511,133,60,133,165,476,314,513,486,266,225,418,69,742,355,266,285,642,454,133,465,133,150,686,524,419,56,0,75,899,55,266,390,423,28,133,495,435,146,133,480,735,344,266,420,417,131,843,131,437,42,518,32,266,150,266,135,266,240,0,480,475,57,0,45,266,210,661,480,665,439,688,451,0,465,266,180,909,129,266,15,453,500,877,116,266,495,266,165,681,228,684,213,505,301,761,42,719,469,885,211,860,235,500,223,567,37,542,47,0,420,473,508,133,390,652,573,475,18,773,54,776,129,809,143,133,45,266,450,0,510,418,117,834,54,0,450,876,146,266,360,133,420,133,345,133,360,266,465,501,475,266,480,266,405,509,497,133,180,133,405,266,255,133,435,266,120,0,495,509,349,810,114,266,375,266,270,881,223,0,435,472,489,435,478,266,195,133,450,133,375,854,315,798,43,666,467,1473258202
732,532,888,511,133,60,133,165,476,314,513,486,266,225,418,69,742,355,266,285,642,454,133,465,847,569,686,524,419,56,0,75,654,112,266,390,423,28,133,495,435,146,133,480,735,344,266,420,417,131,843,131,437,42,518,32,266,150,266,135,266,240,0,480,475,57,0,45,266,210,661,480,665,439,688,451,0,465,266,180,909,129,266,15,453,500,877,116,266,495,266,165,681,228,684,213,505,301,761,42,719,469,885,211,860,235,500,223,567,37,542,47,0,420,473,508,133,390,652,573,475,18,773,54,776,129,809,143,133,45,266,450,0,510,418,117,834,54,0,450,876,146,266,360,133,420,133,345,133,360,266,465,501,475,266,480,266,405,509,497,414,488,133,405,266,255,133,435,266,120,0,495,509,349,810,114,266,375,266,270,881,223,0,435,472,489,435,478,266,195,133,450,133,375,854,315,798,43,666,467,1473258217
732,532,888,511,133,60,695,563,476,314,513,486,266,225,418,69,742,355,266,285,642,454,133,465,847,569,686,524,419,56,0,75,654,112,266,390,423,28,133,495,435,146,133,480,735,344,266,420,417,131,843,131,437,42,518,32,266,150,650,121,266,240,0,480,475,57,0,45,266,210,661,480,665,439,688,451,0,465,266,180,909,129,266,15,453,500,877,116,266,495,266,165,681,228,684,213,505,301,761,42,719,469,885,211,860,235,500,223,567,37,542,47,0,420,473,508,133,390,652,573,475,18,773,54,776,129,809,143,133,45,266,450,0,510,418,117,834,54,0,450,876,146,266,360,133,420,133,345,133,360,266,465,501,475,266,480,266,405,509,497,414,488,133,405,266,255,133,435,512,358,0,495,509,349,810,114,266,375,266,270,881,223,0,435,472,489,435,478,266,195,133,450,133,375,854,315,798,43,666,467,1473258232
732,532,888,511,133,60,695,563,476,314,513,486,266,225,418,69,742,355,266,285,642,454,133,465,847,569,686,524,419,56,857,325,654,112,266,390,423,28,133,495,435,146,133,480,735,344,266,420,417,131,843,131,437,42,518,32,738,366,650,121,266,240,0,480,475,57,0,45,266,210,661,480,665,439,688,451,0,465,266,180,909,129,266,15,453,500,877,116,266,495,679,239,681,228,684,213,505,301,761,42,719,469,885,211,860,235,500,223,567,37,542,47,0,420,473,508,133,390,652,573,475,18,773,54,776,129,809,143,133,45,266,450,0,510,418,117,834,54,0,450,876,146,266,360,133,420,133,345,133,360,266,465,501,475,266,480,266,405,509,497,414,488,133,405,266,255,133,435,512,358,0,495,509,349,810,114,266,375,266,270,881,223,0,435,472,489,435,478,266,195,133,450,133,375,854,315,798,43,666,467,1473258247
732,532,888,511,133,60,695,563,476,314,513,486,266,225,418,69,742,355,266,285,642,454,133,465,847,569,686,524,419,56,857,325,654,112,266,390,423,28,133,495,435,146,133,480,735,344,266,420,417,131,843,131,437,42,518,32,738,366,650,121,266,240,0,480,475,57,0,45,493,159,661,480,665,439,688,451,0,465,667,8,909,129,266,15,453,500,877,116,266,495,679,239,681,228,684,213,505,301,761,42,719,469,885,211,860,235,500,223,567,37,542,47,0,420,473,508,133,390,652,573,475,18,773,54,776,129,809,143,133,45,266,450,0,510,418,117,834,54,0,450,876,146,266,360,133,420,133,345,133,360,266,465,501,475,266,480,266,405,509,497,414,488,133,405,266,255,133,435,512,358,0,495,509,349,810,114,266,375,266,270,881,223,0,435,472,489,435,478,458,438,133,450,133,375,854,315,798,43,666,467,1473258262
732,532,888,511,133,60,695,563,476,314,513,486,469,71,418,69,742,355,266,285,642,454,133,465,847,569,686,524,419,56,857,325,654,112,266,390,423,28,133,495,435,146,133,480,735,344,266,420,417,131,843,131,437,42,518,32,738,366,650,121,266,240,0,480,475,57,0,45,742,333,661,480,665,439,688,451,0,465,667,8,909,129,266,15,453,500,877,116,266,495,679,239,681,228,684,213,505,301,761,42,719,469,885,211,860,235,500,223,567,37,542,47,0,420,473,508,133,390,652,573,475,18,773,54,776,129,809,143,891,105,266,450,0,510,418,117,834,54,0,450,876,146,266,360,133,420,133,345,133,360,266,465,501,475,266,480,266,405,509,497,414,488,133,405,266,255,133,435,512,358,0,495,509,349,810,114,266,375,266,270,881,223,0,435,472,489,435,478,458,438,133,450,133,375,854,315,798,43,666,467,1473258277
732,532,888,511,502,43,695,563,476,314,513,486,469,71,418,69,742,355,266,285,642,454,133,465,847,569,686,524,419,56,857,325,654,112,266,390,423,28,133,495,435,146,133,480,735,344,266,420,417,131,843,131,437,42,518,32,738,366,650,121,670,533,0,480,475,57,857,498,742,333,661,480,665,439,688,451,0,465,667,8,909,129,832,218,453,500,877,116,266,495,679,239,681,228,684,213,505,301,761,42,719,469,885,211,860,235,500,223,567,37,542,47,0,420,473,508,133,390,652,573,475,18,773,54,776,129,809,143,891,105,266,450,0,510,418,117,834,54,0,450,876,146,266,360,133,420,133,345,133,360,266,465,501,475,266,480,266,405,509,497,414,488,133,405,266,255,133,435,512,358,0,495,509,349,810,114,266,375,266,270,881,223,0,435,472,489,435,478,458,438,133,450,133,375,854,315,798,43,666,467,1473258292
732,532,888,511,502,43,695,563,476,314,513,486,469,71,418,69,742,355,812,466,642,454,133,465,847,569,686,524,419,56,857,325,654,112,266,390,423,28,133,495,435,146,133,480,735,344,266,420,417,131,843,131,437,42,518,32,738,366,650,121,670,533,0,480,475,57,857,498,742,333,661,480,665,439,688,451,0,465,667,8,909,129,832,218,453,500,877,116,266,495,679,239,681,228,684,213,505,301,761,42,719,469,885,211,860,235,500,223,567,37,542,47,0,420,473,508,133,390,652,573,475,18,773,54,776,129,809,143,891,105,266,450,0,510,418,117,834,54,0,450,876,146,266,360,133,420,133,345,133,360,266,465,501,475,266,480,266,405,509,497,414,488,133,405,424,428,133,435,512,358,0,495,509,349,810,114,266,375,416,80,881,223,0,435,472,489,435,478,458,438,133,450,133,375,854,315,798,43,666,467,1473258307
732,532,888,511,502,43,695,563,476,314,513,486,469,71,418,69,742,355,865,487,642,454,133,465,847,569,686,524,419,56,857,325,654,112,266,390,423,28,133,495,435,146,133,480,735,344,266,420,417,131,843,131,437,42,518,32,738,366,650,121,670,533,0,480,475,57,857,498,742,333,661,480,665,439,688,451,0,465,667,8,909,129,832,218,453,500,877,116,266,495,679,239,681,228,684,213,505,301,761,42,719,469,885,211,860,235,500,223,567,37,542,47,0,420,473,508,133,390,652,573,475,18,773,54,776,129,809,143,891,105,266,450,0,510,418,117,834,54,0,450,876,146,432,266,133,420,133,345,133,360,266,465,501,475,266,480,266,405,509,497,414,488,133,405,424,428,133,435,512,358,0,495,509,349,810,114,266,375,416,80,881,223,0,435,472,489,435,478,458,438,133,450,133,375,854,315,798,43,666,467,1473258322
