133,(55-34)*15+15,266,(77-67)*15+15,0,2*15+15,0,21*15+15,0,9*15+15,133,(53-34)*15+15,133,(41-34)*15+15,0,0*15+15,133,(40-34)*15+15,266,(71-67)*15+15,266,(72-67)*15+15,0,1*15+15,266,(67-67)*15+15,0,6*15+15,0,26*15+15,266,(98-67)*15+15,133,(52-34)*15+15,0,31*15+15,0,16*15+15,133,(43-34)*15+15,266,(92-67)*15+15,133,(60-34)*15+15,0,8*15+15,133,(61-34)*15+15,266,(88-67)*15+15,133,(62-34)*15+15,133,(46-34)*15+15,0,33*15+15,266,(90-67)*15+15,133,(51-34)*15+15,0,32*15+15,0,22*15+15,133,(58-34)*15+15,266,(80-67)*15+15,0,14*15+15,0,11*15+15,0,5*15+15,266,(96-67)*15+15,266,(78-67)*15+15,266,(89-67)*15+15,0,13*15+15,133,(36-34)*15+15,0,23*15+15,0,4*15+15,266,(83-67)*15+15,266,(70-67)*15+15,266,(86-67)*15+15,133,(35-34)*15+15,0,24*15+15,133,(47-34)*15+15,133,(64-34)*15+15,266,(95-67)*15+15,133,(57-34)*15+15,266,(97-67)*15+15,266,(91-67)*15+15,266,(82-67)*15+15,266,(84-67)*15+15,0,25*15+15,133,(65-34)*15+15,0,7*15+15,266,(74-67)*15+15,0,17*15+15,266,(94-67)*15+15,133,(50-34)*15+15,133,(44-34)*15+15,266,(76-67)*15+15,133,(39-34)*15+15,133,(37-34)*15+15,0,28*15+15,133,(59-34)*15+15,0,3*15+15,0,15*15+15,0,30*15+15,133,(34-34)*15+15,266,(81-67)*15+15,133,(54-34)*15+15,133,(45-34)*15+15,266,(69-67)*15+15,266,(68-67)*15+15,0,20*15+15,266,(85-67)*15+15,0,19*15+15,0,29*15+15,266,(79-67)*15+15,133,(63-34)*15+15,133,(38-34)*15+15,266,(87-67)*15+15,133,(66-34)*15+15,0,10*15+15,133,(42-34)*15+15,266,(75-67)*15+15,133,(48-34)*15+15,266,(93-67)*15+15,133,(56-34)*15+15,266,(99-67)*15+15,0,12*15+15,0,27*15+15,266,(73-67)*15+15,133,(49-34)*15+15,0,18*15+15,1477307416
133,330,266,165,577,29,0,330,0,150,133,300,133,120,630,20,667,45,266,75,266,90,69,39,266,15,0,105,592,32,266,480,133,285,0,480,0,255,133,150,682,69,133,405,15,138,133,420,266,330,418,49,518,20,615,47,266,360,527,48,0,495,0,345,438,39,266,210,645,33,0,180,0,90,266,450,266,180,266,345,0,210,133,45,0,360,0,75,266,255,266,60,266,300,133,30,0,375,133,210,133,465,266,435,133,360,266,465,646,57,637,71,266,270,0,390,133,480,0,120,558,71,0,270,266,420,133,255,133,165,266,150,133,90,133,60,0,435,133,390,0,60,0,240,0,465,133,15,266,225,133,315,133,180,266,45,266,30,0,315,266,285,0,300,0,450,266,195,133,450,133,75,266,315,133,495,0,165,524,59,266,135,133,225,266,405,133,345,266,495,0,195,0,420,266,105,133,240,0,285,1477307582
133,330,266,165,577,29,0,330,0,150,133,300,133,120,630,20,667,45,266,75,266,90,929,577,266,15,0,105,592,32,266,480,133,285,0,480,0,255,133,150,682,69,133,405,15,138,133,420,266,330,418,49,518,20,615,47,266,360,527,48,866,579,0,345,438,39,266,210,645,33,0,180,0,90,266,450,266,180,266,345,0,210,133,45,0,360,0,75,266,255,266,60,266,300,133,30,0,375,133,210,133,465,266,435,133,360,266,465,646,57,637,71,266,270,0,390,133,480,0,120,558,71,0,270,266,420,133,255,133,165,266,150,133,90,133,60,0,435,133,390,0,60,0,240,0,465,133,15,266,225,133,315,133,180,266,45,266,30,0,315,266,285,0,300,0,450,266,195,133,450,133,75,266,315,133,495,0,165,524,59,266,135,133,225,266,405,133,345,266,495,0,195,0,420,266,105,133,240,0,285,1477307597
133,330,266,165,577,29,0,330,0,150,133,300,133,120,630,20,667,45,266,75,266,90,929,577,266,15,0,105,592,32,266,480,133,285,0,480,0,255,133,150,682,69,133,405,15,138,133,420,759,7,418,49,518,20,615,47,815,565,527,48,866,579,0,345,438,39,266,210,645,33,0,180,0,90,266,450,266,180,266,345,0,210,133,45,0,360,0,75,266,255,266,60,266,300,133,30,0,375,133,210,133,465,266,435,133,360,266,465,646,57,637,71,266,270,0,390,133,480,0,120,558,71,0,270,266,420,133,255,133,165,266,150,133,90,133,60,0,435,133,390,0,60,0,240,0,465,133,15,266,225,133,315,133,180,266,45,266,30,0,315,266,285,0,300,0,450,266,195,133,450,133,75,266,315,133,495,0,165,524,59,266,135,133,225,266,405,133,345,266,495,0,195,0,420,266,105,133,240,0,285,1477307612
133,330,266,165,577,29,0,330,0,150,133,300,133,120,630,20,667,45,266,75,266,90,929,577,266,15,0,105,592,32,266,480,133,285,0,480,0,255,133,150,682,69,133,405,15,138,133,420,711,37,418,49,518,20,615,47,815,565,527,48,866,579,0,345,438,39,266,210,645,33,0,180,0,90,266,450,266,180,266,345,0,210,133,45,0,360,0,75,266,255,266,60,266,300,133,30,0,375,133,210,133,465,266,435,133,360,266,465,646,57,637,71,266,270,0,390,133,480,0,120,558,71,0,270,266,420,133,255,133,165,266,150,133,90,133,60,0,435,133,390,0,60,0,240,0,465,133,15,266,225,133,315,133,180,266,45,266,30,0,315,266,285,0,300,0,450,266,195,133,450,133,75,266,315,133,495,0,165,524,59,266,135,133,225,266,405,133,345,266,495,0,195,0,420,266,105,133,240,0,285,1477307627
133,330,266,165,577,29,0,330,0,150,133,300,133,120,630,20,667,45,266,75,266,90,929,577,266,15,0,105,592,32,266,480,133,285,0,480,0,255,133,150,682,69,699,83,15,138,133,420,711,37,418,49,518,20,615,47,815,565,527,48,866,579,0,345,438,39,266,210,645,33,0,180,0,90,266,450,266,180,266,345,0,210,133,45,0,360,0,75,266,255,266,60,266,300,133,30,0,375,133,210,133,465,266,435,449,71,266,465,646,57,637,71,266,270,0,390,133,480,0,120,558,71,0,270,266,420,133,255,133,165,266,150,133,90,133,60,0,435,133,390,0,60,0,240,0,465,133,15,266,225,133,315,133,180,266,45,266,30,0,315,266,285,0,300,0,450,266,195,133,450,133,75,266,315,133,495,0,165,524,59,266,135,133,225,266,405,133,345,266,495,0,195,0,420,266,105,133,240,0,285,1477307642
133,330,266,165,577,29,0,330,0,150,133,300,133,120,630,20,667,45,266,75,266,90,929,577,266,15,0,105,592,32,266,480,133,285,0,480,0,255,133,150,682,69,699,83,15,138,133,420,711,37,418,49,518,20,615,47,815,565,527,48,866,579,0,345,438,39,266,210,645,33,0,180,0,90,266,450,266,180,266,345,0,210,133,45,0,360,0,75,266,255,266,60,266,300,133,30,0,375,133,210,133,465,266,435,449,71,266,465,646,57,637,71,266,270,0,390,133,480,0,120,558,71,766,60,266,420,133,255,133,165,266,150,133,90,133,60,712,49,133,390,0,60,0,240,0,465,133,15,266,225,133,315,133,180,266,45,266,30,0,315,266,285,0,300,0,450,266,195,133,450,133,75,266,315,133,495,0,165,524,59,266,135,133,225,266,405,133,345,266,495,0,195,0,420,266,105,133,240,0,285,1477307657
133,330,266,165,577,29,0,330,0,150,133,300,133,120,630,20,667,45,266,75,266,90,929,577,266,15,0,105,592,32,266,480,133,285,0,480,0,255,133,150,682,69,699,83,15,138,133,420,713,51,418,49,518,20,615,47,815,565,527,48,866,579,0,345,438,39,266,210,645,33,0,180,0,90,266,450,266,180,266,345,0,210,133,45,0,360,0,75,266,255,266,60,266,300,133,30,0,375,133,210,133,465,266,435,449,71,266,465,646,57,637,71,266,270,0,390,133,480,0,120,558,71,737,26,266,420,133,255,133,165,266,150,133,90,133,60,706,38,133,390,0,60,0,240,0,465,133,15,266,225,133,315,133,180,266,45,266,30,0,315,266,285,0,300,0,450,266,195,133,450,133,75,266,315,133,495,0,165,524,59,266,135,133,225,266,405,133,345,266,495,0,195,0,420,266,105,133,240,0,285,1477307672
133,330,266,165,577,29,0,330,0,150,133,300,133,120,630,20,667,45,266,75,266,90,929,577,266,15,0,105,592,32,266,480,133,285,0,480,0,255,133,150,682,69,699,83,15,138,133,420,713,51,418,49,518,20,615,47,815,565,527,48,866,579,0,345,438,39,266,210,645,33,0,180,0,90,266,450,266,180,266,345,0,210,133,45,0,360,0,75,266,255,266,60,266,300,133,30,0,375,133,210,133,465,266,435,449,71,266,465,646,57,637,71,266,270,0,390,133,480,0,120,558,71,737,26,266,420,133,255,133,165,266,150,133,90,776,38,706,38,133,390,0,60,0,240,0,465,133,15,266,225,133,315,133,180,266,45,266,30,0,315,266,285,0,300,0,450,266,195,133,450,133,75,266,315,133,495,0,165,524,59,266,135,133,225,266,405,133,345,266,495,0,195,0,420,266,105,133,240,0,285,1477307687
133,330,266,165,577,29,0,330,0,150,133,300,133,120,630,20,667,45,266,75,266,90,929,577,266,15,0,105,592,32,266,480,133,285,0,480,0,255,133,150,682,69,699,83,15,138,133,420,713,51,418,49,518,20,615,47,815,565,527,48,866,579,0,345,438,39,266,210,645,33,853,37,0,90,266,450,266,180,266,345,0,210,133,45,0,360,0,75,266,255,266,60,266,300,133,30,0,375,133,210,133,465,266,435,449,71,266,465,646,57,637,71,266,270,0,390,133,480,0,120,558,71,737,26,266,420,133,255,133,165,266,150,133,90,776,38,706,38,133,390,0,60,0,240,0,465,133,15,266,225,133,315,133,180,266,45,266,30,0,315,266,285,0,300,0,450,266,195,133,450,133,75,266,315,133,495,0,165,524,59,266,135,133,225,266,405,133,345,266,495,0,195,0,420,266,105,133,240,0,285,1477307702
133,330,266,165,577,29,0,330,0,150,133,300,133,120,630,20,667,45,266,75,266,90,929,577,266,15,0,105,592,32,266,480,133,285,0,480,0,255,133,150,682,69,699,83,15,138,133,420,713,51,418,49,518,20,615,47,815,565,527,48,866,579,0,345,438,39,266,210,645,33,856,37,0,90,931,113,266,180,266,345,0,210,133,45,0,360,0,75,266,255,266,60,266,300,133,30,0,375,133,210,133,465,514,83,449,71,298,382,646,57,637,71,266,270,0,390,133,480,0,120,558,71,737,26,266,420,133,255,133,165,266,150,133,90,776,38,706,38,133,390,0,60,0,240,0,465,133,15,266,225,133,315,133,180,266,45,266,30,0,315,266,285,0,300,0,450,266,195,133,450,133,75,266,315,133,495,0,165,524,59,266,135,133,225,266,405,133,345,266,495,0,195,0,420,266,105,133,240,0,285,1477307717
133,330,266,165,577,29,0,330,0,150,133,300,133,120,630,20,667,45,266,75,266,90,929,577,266,15,0,105,592,32,896,26,133,285,0,480,0,255,133,150,682,69,699,83,15,138,133,420,713,51,418,49,518,20,615,47,815,565,527,48,866,579,0,345,438,39,266,210,645,33,856,37,0,90,907,53,940,40,266,345,0,210,133,45,0,360,0,75,266,255,266,60,266,300,133,30,0,375,133,210,133,465,514,83,449,71,298,382,646,57,637,71,266,270,0,390,133,480,0,120,558,71,737,26,266,420,133,255,133,165,266,150,133,90,776,38,706,38,133,390,0,60,0,240,0,465,133,15,266,225,133,315,133,180,266,45,266,30,0,315,266,285,0,300,0,450,266,195,133,450,133,75,266,315,133,495,0,165,524,59,266,135,133,225,266,405,133,345,266,495,0,195,0,420,266,105,133,240,0,285,1477307732
133,330,266,165,577,29,0,330,0,150,133,300,133,120,630,20,667,45,266,75,266,90,962,51,266,15,0,105,592,32,896,26,133,285,0,480,0,255,133,150,682,69,699,83,15,138,133,420,713,51,418,49,518,20,615,47,923,81,527,48,938,67,0,345,438,39,266,210,645,33,856,37,0,90,907,53,940,40,266,345,0,210,133,45,0,360,0,75,266,255,266,60,266,300,133,30,0,375,133,210,133,465,514,83,449,71,298,382,646,57,637,71,266,270,0,390,133,480,0,120,558,71,737,26,266,420,133,255,133,165,266,150,133,90,776,38,706,38,133,390,0,60,0,240,0,465,133,15,266,225,133,315,133,180,266,45,266,30,0,315,266,285,0,300,0,450,266,195,133,450,133,75,266,315,133,495,0,165,524,59,266,135,133,225,266,405,133,345,266,495,0,195,0,420,266,105,133,240,0,285,1477307747
133,330,266,165,577,29,0,330,0,150,133,300,133,120,630,20,667,45,266,75,266,90,962,51,266,15,0,105,592,32,896,26,133,285,0,480,0,255,133,150,682,69,699,83,15,138,133,420,713,51,418,49,518,20,615,47,923,81,527,48,938,67,0,345,438,39,266,210,645,33,856,37,875,13,907,53,940,40,266,345,0,210,133,45,0,360,0,75,266,255,266,60,266,300,133,30,0,375,133,210,133,465,514,83,449,71,298,382,646,57,637,71,266,270,0,390,133,480,0,120,558,71,737,26,266,420,133,255,133,165,266,150,133,90,776,38,706,38,133,390,0,60,0,240,0,465,133,15,266,225,133,315,133,180,266,45,266,30,0,315,266,285,0,300,0,450,266,195,133,450,133,75,266,315,133,495,0,165,524,59,266,135,133,225,266,405,133,345,266,495,0,195,0,420,266,105,133,240,0,285,1477307762
133,330,266,165,577,29,947,111,0,150,133,300,133,120,630,20,667,45,266,75,266,90,962,51,266,15,0,105,592,32,896,26,133,285,0,480,0,255,852,114,682,69,699,83,15,138,133,420,713,51,418,49,518,20,615,47,923,81,527,48,938,67,874,98,438,39,266,210,645,33,856,37,875,13,907,53,940,40,266,345,0,210,133,45,0,360,0,75,266,255,266,60,266,300,133,30,0,375,133,210,133,465,514,83,449,71,298,382,646,57,637,71,266,270,0,390,133,480,0,120,558,71,737,26,266,420,133,255,133,165,266,150,133,90,776,38,706,38,133,390,0,60,0,240,0,465,133,15,266,225,133,315,133,180,266,45,266,30,0,315,266,285,0,300,0,450,266,195,133,450,133,75,266,315,133,495,0,165,524,59,266,135,133,225,266,405,133,345,266,495,0,195,0,420,266,105,133,240,0,285,1477307777
917,128,266,165,577,29,947,111,0,150,133,300,133,120,630,20,667,45,266,75,266,90,962,51,266,15,0,105,592,32,896,26,133,285,830,127,0,255,852,114,682,69,699,83,15,138,133,420,713,51,418,49,518,20,615,47,923,81,527,48,938,67,874,98,438,39,266,210,645,33,856,37,875,13,907,53,940,40,266,345,0,210,133,45,0,360,0,75,266,255,266,60,266,300,133,30,0,375,133,210,133,465,514,83,449,71,298,382,646,57,637,71,266,270,0,390,573,411,0,120,558,71,737,26,266,420,133,255,133,165,266,150,133,90,776,38,706,38,133,390,0,60,0,240,0,465,133,15,266,225,133,315,133,180,266,45,266,30,0,315,266,285,0,300,0,450,266,195,133,450,133,75,266,315,133,495,0,165,524,59,266,135,133,225,266,405,133,345,266,495,0,195,0,420,266,105,133,240,0,285,1477307792
917,128,266,165,577,29,947,111,0,150,133,300,133,120,630,20,667,45,266,75,266,90,962,51,266,15,0,105,592,32,896,26,133,285,830,127,0,255,852,114,682,69,699,83,15,138,133,420,713,51,418,49,518,20,615,47,923,81,527,48,938,67,874,98,438,39,266,210,645,33,856,37,875,13,907,53,940,40,266,345,0,210,133,45,0,360,0,75,266,255,266,60,266,300,133,30,0,375,133,210,789,16,514,83,449,71,298,382,646,57,637,71,266,270,0,390,245,464,0,120,558,71,737,26,266,420,133,255,133,165,266,150,133,90,776,38,706,38,133,390,0,60,0,240,0,465,133,15,266,225,133,315,133,180,266,45,266,30,0,315,266,285,0,300,0,450,266,195,133,450,133,75,266,315,133,495,0,165,524,59,266,135,133,225,266,405,133,345,266,495,0,195,0,420,266,105,133,240,0,285,1477307807
917,128,266,165,577,29,947,111,0,150,133,300,133,120,630,20,667,45,266,75,880,139,962,51,929,143,0,105,592,32,896,26,133,285,830,127,0,255,852,114,682,69,699,83,15,138,133,420,713,51,418,49,518,20,615,47,923,81,527,48,938,67,874,98,438,39,266,210,645,33,856,37,875,13,907,53,940,40,266,345,0,210,133,45,0,360,0,75,266,255,266,60,266,300,133,30,0,375,133,210,789,16,514,83,449,71,298,382,646,57,637,71,266,270,0,390,245,464,0,120,558,71,737,26,266,420,133,255,133,165,266,150,133,90,776,38,706,38,133,390,0,60,0,240,0,465,133,15,266,225,133,315,133,180,266,45,266,30,0,315,266,285,0,300,0,450,266,195,133,450,133,75,266,315,133,495,0,165,524,59,266,135,133,225,266,405,133,345,266,495,0,195,0,420,266,105,133,240,0,285,1477307822
917,128,266,165,577,29,947,111,0,150,133,300,133,120,630,20,667,45,266,75,880,139,962,51,810,143,0,105,592,32,896,26,133,285,830,127,0,255,852,114,682,69,699,83,15,138,133,420,713,51,418,49,518,20,615,47,923,81,527,48,938,67,874,98,438,39,266,210,645,33,856,37,875,13,907,53,940,40,266,345,0,210,133,45,0,360,0,75,266,255,266,60,266,300,133,30,0,375,133,210,789,16,514,83,449,71,298,382,646,57,637,71,266,270,0,390,245,464,0,120,558,71,737,26,266,420,133,255,133,165,266,150,133,90,776,38,706,38,133,390,0,60,0,240,0,465,133,15,266,225,133,315,133,180,266,45,266,30,0,315,266,285,0,300,0,450,266,195,133,450,133,75,266,315,133,495,0,165,524,59,266,135,133,225,266,405,133,345,266,495,0,195,0,420,266,105,133,240,0,285,1477307837
917,128,266,165,577,29,947,111,0,150,133,300,133,120,630,20,667,45,266,75,880,139,962,51,810,143,0,105,592,32,896,26,133,285,830,127,0,255,852,114,682,69,699,83,15,138,133,420,713,51,418,49,518,20,615,47,923,81,527,48,938,67,874,98,438,39,266,210,645,33,856,37,875,13,907,53,940,40,266,345,0,210,133,45,0,360,0,75,266,255,266,60,266,300,133,30,0,375,133,210,789,16,514,83,449,71,298,382,646,57,637,71,266,270,0,390,245,464,0,120,558,71,737,26,266,420,133,255,133,165,266,150,133,90,776,38,706,38,133,390,0,60,0,240,0,465,133,15,266,225,133,315,133,180,266,45,266,30,0,315,266,285,0,300,0,450,266,195,133,450,133,75,266,315,133,495,0,165,524,59,266,135,133,225,266,405,133,345,266,495,0,195,0,420,266,105,133,240,0,285,1477307852
