133,(45-34)*15+15,133,(51-34)*15+15,0,19*15+15,133,(59-34)*15+15,266,(92-67)*15+15,0,2*15+15,266,(84-67)*15+15,0,13*15+15,266,(77-67)*15+15,133,(50-34)*15+15,133,(38-34)*15+15,133,(58-34)*15+15,133,(64-34)*15+15,0,20*15+15,133,(65-34)*15+15,0,33*15+15,0,24*15+15,133,(62-34)*15+15,266,(82-67)*15+15,133,(57-34)*15+15,133,(36-34)*15+15,133,(60-34)*15+15,0,32*15+15,0,21*15+15,266,(93-67)*15+15,266,(97-67)*15+15,0,10*15+15,133,(55-34)*15+15,266,(83-67)*15+15,266,(80-67)*15+15,133,(44-34)*15+15,133,(66-34)*15+15,0,18*15+15,266,(69-67)*15+15,133,(46-34)*15+15,266,(68-67)*15+15,133,(34-34)*15+15,133,(56-34)*15+15,133,(39-34)*15+15,266,(75-67)*15+15,133,(35-34)*15+15,0,16*15+15,266,(71-67)*15+15,0,30*15+15,0,3*15+15,266,(85-67)*15+15,0,1*15+15,0,17*15+15,266,(78-67)*15+15,266,(94-67)*15+15,133,(42-34)*15+15,0,8*15+15,266,(87-67)*15+15,133,(63-34)*15+15,0,28*15+15,0,0*15+15,266,(89-67)*15+15,0,12*15+15,266,(73-67)*15+15,133,(43-34)*15+15,133,(37-34)*15+15,0,27*15+15,133,(48-34)*15+15,0,29*15+15,133,(47-34)*15+15,0,7*15+15,0,26*15+15,266,(91-67)*15+15,266,(96-67)*15+15,0,22*15+15,0,31*15+15,0,11*15+15,266,(81-67)*15+15,133,(52-34)*15+15,266,(95-67)*15+15,266,(98-67)*15+15,266,(79-67)*15+15,266,(72-67)*15+15,133,(41-34)*15+15,266,(88-67)*15+15,266,(74-67)*15+15,0,23*15+15,133,(53-34)*15+15,0,15*15+15,266,(70-67)*15+15,0,25*15+15,0,9*15+15,266,(99-67)*15+15,133,(54-34)*15+15,133,(40-34)*15+15,266,(86-67)*15+15,0,14*15+15,266,(67-67)*15+15,133,(61-34)*15+15,0,5*15+15,133,(49-34)*15+15,0,4*15+15,0,6*15+15,266,(76-67)*15+15,266,(90-67)*15+15,1464589976
704,115,133,270,912,441,133,390,266,390,0,45,266,270,0,210,616,177,133,255,133,75,133,375,133,465,0,315,895,269,0,510,0,375,133,435,266,240,133,360,133,45,899,290,0,495,0,330,613,192,266,465,0,165,857,441,266,255,707,476,133,165,133,495,731,492,266,45,133,195,266,30,133,15,133,345,133,90,266,135,133,30,0,255,266,75,0,465,0,60,266,285,0,30,785,295,271,184,266,420,133,135,0,135,644,439,133,450,0,435,924,261,266,345,0,195,266,105,133,150,133,60,0,420,133,225,0,450,133,210,0,120,0,405,266,375,266,450,0,345,9,483,0,180,266,225,133,285,266,435,266,480,266,195,266,90,133,120,266,330,266,120,0,360,133,300,0,240,266,60,0,390,0,150,266,495,133,315,133,105,266,300,0,225,935,377,133,420,0,90,133,240,0,75,0,105,266,150,266,360,1464590143
704,115,133,270,912,441,133,390,266,390,0,45,266,270,0,210,616,177,133,255,133,75,133,375,133,465,0,315,895,269,0,510,0,375,133,435,266,240,133,360,133,45,899,290,0,495,0,330,613,197,266,465,0,165,857,441,540,436,707,476,133,165,133,495,731,492,266,45,133,195,266,30,133,15,133,345,133,90,266,135,133,30,0,255,266,75,0,465,0,60,266,285,0,30,785,295,271,184,266,420,133,135,0,135,644,439,133,450,0,435,924,261,266,345,0,195,266,105,133,150,133,60,0,420,133,225,0,450,133,210,0,120,0,405,266,375,266,450,0,345,9,483,0,180,266,225,133,285,266,435,266,480,266,195,266,90,133,120,266,330,266,120,0,360,133,300,0,240,266,60,0,390,0,150,266,495,133,315,133,105,266,300,0,225,935,377,133,420,0,90,133,240,0,75,0,105,266,150,266,360,1464590158
704,115,133,270,912,441,133,390,266,390,0,45,266,270,0,210,616,177,133,255,133,75,133,375,133,465,0,315,895,269,0,510,0,375,133,435,904,433,133,360,133,45,899,290,0,495,0,330,613,197,266,465,0,165,857,441,283,414,707,476,133,165,133,495,731,492,266,45,133,195,266,30,133,15,133,345,133,90,266,135,133,30,0,255,266,75,0,465,0,60,266,285,0,30,785,295,271,184,266,420,133,135,0,135,644,439,133,450,0,435,924,261,266,345,0,195,266,105,133,150,133,60,0,420,133,225,0,450,133,210,0,120,0,405,266,375,876,424,0,345,9,483,0,180,266,225,133,285,266,435,266,480,266,195,266,90,133,120,266,330,266,120,0,360,133,300,0,240,266,60,0,390,0,150,266,495,133,315,133,105,266,300,0,225,935,377,133,420,0,90,133,240,0,75,0,105,266,150,266,360,1464590173
704,115,133,270,912,441,133,390,266,390,0,45,266,270,0,210,616,177,133,255,133,75,133,375,133,465,0,315,895,269,0,510,0,375,133,435,904,433,133,360,133,45,899,290,0,495,0,330,613,197,266,465,0,165,857,441,283,414,707,476,133,165,595,65,731,492,266,45,133,195,266,30,133,15,133,345,133,90,266,135,133,30,0,255,266,75,0,465,0,60,266,285,0,30,785,295,271,184,266,420,133,135,0,135,644,439,133,450,0,435,924,261,266,345,0,195,266,105,133,150,133,60,0,420,133,225,0,450,133,210,0,120,0,405,266,375,857,424,0,345,9,483,0,180,266,225,133,285,266,435,266,480,266,195,266,90,133,120,266,330,266,120,0,360,133,300,0,240,266,60,0,390,0,150,266,495,133,315,133,105,266,300,0,225,935,377,133,420,0,90,133,240,0,75,0,105,266,150,266,360,1464590188
704,115,133,270,912,441,133,390,266,390,0,45,266,270,0,210,616,177,133,255,133,75,804,40,781,47,0,315,895,269,0,510,0,375,133,435,904,433,133,360,133,45,899,290,0,495,0,330,613,197,266,465,0,165,857,441,283,414,707,476,133,165,595,65,731,492,266,45,133,195,266,30,133,15,723,87,133,90,266,135,133,30,0,255,266,75,0,465,0,60,266,285,0,30,785,295,271,184,266,420,133,135,0,135,644,439,133,450,0,435,924,261,266,345,0,195,266,105,133,150,133,60,0,420,133,225,0,450,133,210,0,120,0,405,266,375,857,424,0,345,9,483,0,180,266,225,133,285,266,435,266,480,266,195,266,90,133,120,266,330,266,120,0,360,133,300,0,240,266,60,0,390,0,150,266,495,133,315,133,105,266,300,0,225,935,377,133,420,0,90,133,240,0,75,0,105,266,150,266,360,1464590203
704,115,133,270,912,441,517,77,266,390,0,45,266,270,0,210,616,177,133,255,133,75,804,40,781,47,0,315,895,269,0,510,0,375,133,435,904,433,133,360,133,45,899,290,0,495,0,330,595,242,266,465,0,165,857,441,283,414,707,476,133,165,595,65,731,492,266,45,133,195,266,30,133,15,737,96,133,90,266,135,133,30,0,255,266,75,0,465,0,60,266,285,0,30,785,295,271,184,266,420,133,135,0,135,644,439,133,450,0,435,924,261,266,345,0,195,266,105,133,150,133,60,0,420,133,225,0,450,133,210,0,120,0,405,266,375,857,424,0,345,9,483,0,180,266,225,133,285,266,435,266,480,266,195,266,90,133,120,266,330,266,120,0,360,133,300,0,240,266,60,0,390,0,150,266,495,133,315,133,105,266,300,0,225,935,377,133,420,0,90,133,240,0,75,0,105,266,150,266,360,1464590218
704,115,133,270,912,441,517,77,266,390,0,45,266,270,0,210,606,223,133,255,133,75,804,40,781,47,0,315,895,269,0,510,0,375,614,49,904,433,133,360,133,45,899,290,0,495,0,330,595,242,266,465,0,165,857,441,283,414,707,476,133,165,595,65,731,492,266,45,133,195,266,30,133,15,737,96,133,90,266,135,133,30,0,255,266,75,0,465,0,60,266,285,0,30,785,295,271,184,266,420,133,135,0,135,644,439,677,399,0,435,924,261,266,345,0,195,266,105,133,150,133,60,0,420,133,225,0,450,133,210,0,120,0,405,266,375,857,424,0,345,9,483,0,180,266,225,133,285,266,435,266,480,266,195,266,90,133,120,266,330,266,120,0,360,133,300,0,240,266,60,0,390,0,150,266,495,133,315,133,105,266,300,0,225,935,377,133,420,0,90,133,240,0,75,0,105,266,150,266,360,1464590233
704,115,133,270,912,441,517,77,266,390,0,45,266,270,0,210,606,223,133,255,133,75,804,40,781,47,0,315,895,269,0,510,0,375,614,49,904,433,133,360,133,45,899,290,0,495,0,330,595,242,266,465,0,165,857,441,283,414,707,476,133,165,595,65,731,492,266,45,133,195,266,30,133,15,737,96,133,90,266,135,133,30,0,255,266,75,0,465,0,60,266,285,0,30,785,295,271,184,266,420,133,135,0,135,644,439,843,398,0,435,924,261,266,345,0,195,266,105,133,150,133,60,0,420,133,225,0,450,133,210,0,120,0,405,266,375,857,424,0,345,9,483,0,180,266,225,133,285,266,435,266,480,266,195,266,90,133,120,266,330,266,120,0,360,133,300,0,240,266,60,0,390,0,150,266,495,133,315,133,105,266,300,0,225,938,465,133,420,0,90,133,240,0,75,0,105,266,150,266,360,1464590248
704,115,133,270,912,441,517,77,266,390,0,45,537,117,0,210,606,223,133,255,133,75,804,40,781,47,0,315,895,269,0,510,0,375,614,49,904,433,133,360,133,45,899,290,0,495,0,330,595,242,266,465,0,165,857,441,283,414,707,476,133,165,595,65,731,492,266,45,133,195,266,30,133,15,737,96,133,90,266,135,133,30,0,255,266,75,0,465,0,60,266,285,0,30,785,295,271,184,266,420,133,135,0,135,644,439,843,398,0,435,924,261,266,345,0,195,266,105,133,150,133,60,0,420,133,225,0,450,133,210,0,120,0,405,266,375,857,424,0,345,9,483,0,180,266,225,133,285,266,435,266,480,266,195,266,90,133,120,266,330,266,120,0,360,133,300,0,240,266,60,0,390,0,150,266,495,133,315,133,105,266,300,0,225,938,465,133,420,0,90,133,240,0,75,0,105,266,150,266,360,1464590263
704,115,133,270,912,441,517,77,266,390,0,45,866,87,0,210,606,223,133,255,133,75,804,40,781,47,0,315,895,269,0,510,0,375,614,49,904,433,692,24,133,45,899,290,0,495,0,330,595,242,266,465,0,165,857,441,283,414,707,476,133,165,595,65,731,492,266,45,133,195,266,30,133,15,737,96,133,90,266,135,133,30,0,255,266,75,0,465,0,60,266,285,0,30,785,295,271,184,266,420,133,135,0,135,644,439,843,398,0,435,924,261,266,345,0,195,266,105,133,150,133,60,0,420,133,225,0,450,133,210,0,120,0,405,266,375,857,424,0,345,9,483,0,180,266,225,133,285,266,435,266,480,266,195,266,90,133,120,266,330,266,120,0,360,133,300,0,240,266,60,0,390,0,150,266,495,133,315,133,105,266,300,0,225,938,465,133,420,0,90,133,240,0,75,0,105,266,150,266,360,1464590278
704,115,133,270,912,441,514,91,266,390,0,45,866,87,0,210,606,223,133,255,133,75,804,40,781,47,0,315,895,269,0,510,0,375,614,49,904,433,694,32,133,45,899,290,0,495,0,330,595,242,266,465,0,165,857,441,283,414,707,476,133,165,595,65,731,492,266,45,133,195,266,30,133,15,737,96,133,90,266,135,133,30,0,255,266,75,0,465,0,60,266,285,0,30,785,295,271,184,266,420,133,135,0,135,644,439,843,398,0,435,924,261,266,345,0,195,266,105,133,150,133,60,0,420,133,225,0,450,133,210,0,120,0,405,266,375,857,424,0,345,9,483,0,180,266,225,133,285,266,435,266,480,266,195,266,90,133,120,266,330,266,120,0,360,133,300,0,240,266,60,0,390,0,150,266,495,133,315,133,105,266,300,0,225,938,465,133,420,0,90,133,240,0,75,0,105,266,150,266,360,1464590293
704,115,133,270,912,441,514,91,266,390,721,87,866,87,0,210,606,223,133,255,133,75,804,40,781,47,0,315,895,269,0,510,0,375,614,49,904,433,694,32,133,45,899,290,0,495,0,330,595,242,266,465,0,165,857,441,283,414,707,476,133,165,595,65,731,492,266,45,133,195,266,30,133,15,737,96,133,90,266,135,133,30,0,255,266,75,0,465,25,90,266,285,0,30,785,295,271,184,266,420,133,135,0,135,644,439,843,398,0,435,924,261,266,345,0,195,266,105,133,150,133,60,0,420,133,225,0,450,133,210,0,120,0,405,266,375,857,424,0,345,9,483,123,337,266,225,133,285,266,435,266,480,266,195,266,90,133,120,266,330,266,120,0,360,133,300,0,240,266,60,0,390,0,150,266,495,133,315,133,105,266,300,0,225,938,465,133,420,0,90,133,240,0,75,0,105,266,150,266,360,1464590308
704,115,133,270,912,441,514,91,266,390,579,29,866,87,0,210,606,223,133,255,133,75,804,40,781,47,0,315,895,269,0,510,0,375,614,49,904,433,694,32,133,45,899,290,0,495,0,330,595,242,266,465,0,165,857,441,283,414,707,476,133,165,595,65,731,492,266,45,133,195,266,30,133,15,737,96,133,90,266,135,133,30,0,255,266,75,0,465,25,90,266,285,0,30,785,295,271,184,266,420,133,135,0,135,644,439,843,398,0,435,924,261,266,345,0,195,266,105,133,150,133,60,0,420,133,225,0,450,133,210,0,120,0,405,266,375,857,424,0,345,9,483,123,337,266,225,133,285,266,435,266,480,266,195,266,90,133,120,266,330,266,120,0,360,133,300,0,240,266,60,0,390,0,150,266,495,133,315,133,105,266,300,0,225,938,465,133,420,0,90,133,240,0,75,0,105,266,150,266,360,1464590323
704,115,133,270,912,441,514,91,266,390,579,29,866,87,0,210,606,223,133,255,133,75,804,40,781,47,0,315,895,269,0,510,0,375,614,49,904,433,694,32,133,45,899,290,0,495,0,330,595,242,266,465,0,165,857,441,283,414,707,476,133,165,595,65,731,492,266,45,133,195,266,30,133,15,737,96,133,90,266,135,133,30,0,255,266,75,0,465,25,90,266,285,0,30,785,295,271,184,266,420,133,135,0,135,644,439,843,398,0,435,924,261,266,345,0,195,266,105,133,150,133,60,0,420,133,225,0,450,133,210,0,120,0,405,266,375,857,424,0,345,9,483,123,337,266,225,133,285,266,435,266,480,266,195,266,90,133,120,266,330,266,120,0,360,133,300,0,240,266,60,0,390,0,150,266,495,133,315,133,105,266,300,0,225,938,465,133,420,0,90,133,240,0,75,0,105,266,150,266,360,1464590338
704,115,133,270,912,441,514,91,266,390,579,29,866,87,0,210,606,223,133,255,133,75,804,40,781,47,0,315,895,269,0,510,0,375,614,49,904,433,694,32,133,45,899,290,0,495,0,330,595,242,266,465,0,165,857,441,283,414,707,476,133,165,595,65,731,492,266,45,133,195,266,30,133,15,737,96,133,90,266,135,133,30,0,255,266,75,0,465,25,90,266,285,0,30,785,295,271,184,266,420,133,135,0,135,644,439,843,398,0,435,924,261,266,345,0,195,266,105,133,150,133,60,0,420,133,225,0,450,133,210,0,120,0,405,266,375,857,424,0,345,9,483,123,337,266,225,133,285,266,435,266,480,266,195,266,90,133,120,266,330,266,120,0,360,133,300,0,240,266,60,0,390,0,150,266,495,133,315,133,105,266,300,0,225,938,465,133,420,0,90,133,240,0,75,0,105,266,150,266,360,1464590353
704,115,133,270,912,441,514,91,266,390,579,29,866,87,0,210,606,223,133,255,133,75,804,40,781,47,0,315,895,269,0,510,0,375,614,49,904,433,694,32,133,45,899,290,0,495,0,330,595,242,266,465,0,165,857,441,283,414,707,476,133,165,595,65,731,492,266,45,133,195,266,30,133,15,737,96,133,90,266,135,133,30,0,255,266,75,0,465,25,90,266,285,0,30,785,295,271,184,266,420,133,135,0,135,644,439,843,398,0,435,924,261,266,345,0,195,266,105,133,150,133,60,0,420,133,225,0,450,133,210,0,120,0,405,266,375,857,424,0,345,9,483,123,337,266,225,133,285,266,435,266,480,266,195,266,90,133,120,266,330,266,120,0,360,133,300,0,240,266,60,0,390,0,150,266,495,133,315,133,105,266,300,0,225,938,465,133,420,0,90,133,240,0,75,0,105,266,150,266,360,1464590377
704,115,133,270,912,441,514,91,266,390,579,29,866,87,0,210,606,223,133,255,133,75,804,40,781,47,0,315,895,269,0,510,0,375,614,49,904,433,694,32,133,45,899,290,0,495,0,330,595,242,266,465,0,165,857,441,283,414,707,476,133,165,595,65,731,492,266,45,133,195,266,30,133,15,737,96,133,90,266,135,133,30,0,255,266,75,0,465,25,90,266,285,0,30,785,295,271,184,266,420,133,135,0,135,644,439,843,398,0,435,924,261,266,345,0,195,266,105,133,150,133,60,0,420,133,225,0,450,133,210,0,120,0,405,266,375,857,424,0,345,9,483,123,337,266,225,133,285,266,435,266,480,266,195,266,90,133,120,266,330,266,120,0,360,133,300,0,240,266,60,0,390,0,150,266,495,133,315,133,105,266,300,0,225,938,465,133,420,0,90,133,240,0,75,0,105,266,150,266,360,1464590393
704,115,133,270,912,441,514,91,266,390,579,29,866,87,0,210,606,223,133,255,133,75,804,40,781,47,0,315,895,269,0,510,0,375,614,49,904,433,694,32,133,45,899,290,0,495,0,330,595,242,266,465,0,165,857,441,283,414,707,476,133,165,595,65,731,492,266,45,133,195,266,30,133,15,737,96,133,90,266,135,133,30,0,255,266,75,0,465,25,90,266,285,0,30,785,295,271,184,266,420,133,135,0,135,644,439,843,398,0,435,924,261,266,345,0,195,266,105,133,150,133,60,0,420,133,225,0,450,133,210,0,120,0,405,266,375,857,424,0,345,9,483,123,337,266,225,133,285,266,435,266,480,266,195,266,90,133,120,266,330,266,120,0,360,133,300,0,240,266,60,0,390,0,150,266,495,133,315,133,105,266,300,0,225,938,465,133,420,0,90,133,240,0,75,0,105,266,150,266,360,1464590418
704,115,133,270,912,441,514,91,266,390,579,29,866,87,0,210,606,223,133,255,133,75,804,40,781,47,0,315,895,269,0,510,0,375,614,49,904,433,694,32,133,45,899,290,0,495,0,330,595,242,266,465,0,165,857,441,283,414,707,476,133,165,595,65,731,492,266,45,133,195,266,30,133,15,737,96,133,90,266,135,133,30,0,255,266,75,0,465,25,90,266,285,0,30,785,295,271,184,266,420,133,135,0,135,644,439,843,398,0,435,924,261,266,345,0,195,266,105,133,150,133,60,0,420,133,225,0,450,133,210,0,120,0,405,266,375,857,424,0,345,9,483,123,337,266,225,133,285,266,435,266,480,266,195,266,90,133,120,266,330,266,120,0,360,133,300,0,240,266,60,0,390,0,150,266,495,133,315,133,105,266,300,0,225,938,465,133,420,0,90,133,240,0,75,0,105,266,150,266,360,1464590444
