0,17*15+15,266,(73-67)*15+15,0,12*15+15,0,1*15+15,133,(63-34)*15+15,0,22*15+15,266,(99-67)*15+15,133,(66-34)*15+15,266,(72-67)*15+15,0,7*15+15,0,18*15+15,0,9*15+15,266,(75-67)*15+15,0,13*15+15,133,(60-34)*15+15,0,10*15+15,266,(88-67)*15+15,133,(61-34)*15+15,266,(81-67)*15+15,266,(98-67)*15+15,133,(65-34)*15+15,133,(62-34)*15+15,266,(94-67)*15+15,133,(41-34)*15+15,133,(40-34)*15+15,266,(92-67)*15+15,133,(57-34)*15+15,266,(89-67)*15+15,0,16*15+15,133,(35-34)*15+15,133,(38-34)*15+15,0,20*15+15,266,(76-67)*15+15,0,33*15+15,266,(91-67)*15+15,0,6*15+15,266,(69-67)*15+15,266,(87-67)*15+15,266,(95-67)*15+15,0,4*15+15,0,14*15+15,266,(71-67)*15+15,266,(79-67)*15+15,0,30*15+15,0,21*15+15,0,29*15+15,266,(86-67)*15+15,133,(36-34)*15+15,266,(84-67)*15+15,0,25*15+15,133,(45-34)*15+15,133,(46-34)*15+15,0,27*15+15,0,31*15+15,133,(43-34)*15+15,0,23*15+15,266,(77-67)*15+15,0,11*15+15,0,24*15+15,133,(55-34)*15+15,133,(64-34)*15+15,133,(48-34)*15+15,266,(70-67)*15+15,266,(96-67)*15+15,0,15*15+15,133,(34-34)*15+15,133,(37-34)*15+15,133,(42-34)*15+15,133,(49-34)*15+15,133,(52-34)*15+15,0,2*15+15,266,(93-67)*15+15,0,28*15+15,0,32*15+15,266,(85-67)*15+15,133,(54-34)*15+15,133,(53-34)*15+15,133,(39-34)*15+15,266,(68-67)*15+15,0,3*15+15,266,(90-67)*15+15,0,26*15+15,266,(83-67)*15+15,0,8*15+15,266,(74-67)*15+15,133,(51-34)*15+15,0,0*15+15,266,(67-67)*15+15,266,(82-67)*15+15,133,(56-34)*15+15,266,(97-67)*15+15,133,(44-34)*15+15,133,(50-34)*15+15,133,(47-34)*15+15,0,19*15+15,133,(59-34)*15+15,266,(78-67)*15+15,266,(80-67)*15+15,133,(58-34)*15+15,0,5*15+15,1477549875
0,270,266,105,0,195,0,30,133,450,0,345,266,495,133,495,266,90,0,120,0,285,0,150,266,135,0,210,133,405,0,165,266,330,133,420,266,225,266,480,133,480,133,435,266,420,133,120,133,105,266,390,133,360,266,345,0,255,133,30,133,75,0,315,266,150,0,510,266,375,0,105,266,45,266,315,266,435,0,75,0,225,266,75,266,195,0,465,0,330,0,450,266,300,133,45,266,270,0,390,133,180,133,195,0,420,0,480,133,150,0,360,266,165,0,180,0,375,133,330,133,465,133,225,266,60,266,450,0,240,133,15,133,60,133,135,133,240,133,285,0,45,266,405,0,435,0,495,266,285,133,315,133,300,133,90,266,30,0,60,266,360,0,405,266,255,0,135,266,120,133,270,0,15,266,15,266,240,133,345,266,465,133,165,133,255,133,210,0,300,133,390,266,180,266,210,133,375,0,90,1477549938
0,270,266,105,0,195,0,30,133,450,0,345,266,495,133,495,266,90,0,120,0,285,0,150,266,135,0,210,133,405,0,165,266,330,133,420,266,225,266,480,133,480,133,435,266,420,133,120,133,105,266,390,133,360,266,345,0,255,133,30,133,75,0,315,266,150,0,510,266,375,0,105,266,45,266,315,266,435,0,75,0,225,266,75,266,195,0,465,0,330,0,450,266,300,133,45,266,270,0,390,133,180,133,195,0,420,0,480,133,150,0,360,266,165,0,180,0,375,133,330,133,465,133,225,266,60,266,450,0,240,133,15,133,60,133,135,133,240,133,285,0,45,266,405,0,435,0,495,266,285,133,315,133,300,133,90,266,30,0,60,266,360,0,405,266,255,0,135,266,120,133,270,0,15,266,15,266,240,133,345,266,465,133,165,133,255,133,210,0,300,133,390,266,180,266,210,133,375,0,90,1477549953
0,270,266,105,0,195,0,30,133,450,0,345,266,495,133,495,266,90,0,120,0,285,0,150,266,135,0,210,133,405,0,165,266,330,133,420,266,225,266,480,133,480,133,435,266,420,133,120,133,105,266,390,133,360,266,345,0,255,133,30,133,75,0,315,266,150,0,510,266,375,0,105,266,45,266,315,266,435,0,75,0,225,266,75,266,195,0,465,0,330,0,450,266,300,133,45,266,270,0,390,133,180,133,195,0,420,0,480,133,150,0,360,266,165,0,180,0,375,133,330,133,465,133,225,266,60,266,450,0,240,133,15,133,60,133,135,133,240,133,285,0,45,266,405,0,435,0,495,266,285,133,315,133,300,133,90,266,30,0,60,266,360,0,405,266,255,0,135,266,120,133,270,0,15,414,23,266,240,133,345,266,465,133,165,133,255,133,210,0,300,133,390,266,180,266,210,133,375,0,90,1477549968
0,270,266,105,0,195,0,30,133,450,0,345,266,495,133,495,266,90,0,120,0,285,0,150,266,135,0,210,133,405,0,165,266,330,133,420,266,225,266,480,133,480,133,435,266,420,133,120,133,105,266,390,133,360,266,345,0,255,133,30,133,75,0,315,266,150,0,510,266,375,0,105,266,45,266,315,266,435,0,75,0,225,266,75,266,195,0,465,0,330,0,450,266,300,133,45,266,270,0,390,133,180,133,195,0,420,0,480,133,150,0,360,266,165,0,180,0,375,133,330,133,465,133,225,266,60,266,450,0,240,133,15,133,60,133,135,133,240,133,285,0,45,266,405,0,435,0,495,266,285,133,315,133,300,133,90,266,30,0,60,266,360,0,405,266,255,0,135,266,120,133,270,413,31,412,17,266,240,133,345,266,465,133,165,133,255,133,210,0,300,133,390,266,180,266,210,133,375,0,90,1477549983
0,270,266,105,0,195,0,30,133,450,0,345,266,495,133,495,266,90,0,120,0,285,0,150,266,135,0,210,133,405,0,165,266,330,133,420,266,225,266,480,133,480,133,435,266,420,133,120,133,105,266,390,133,360,266,345,0,255,133,30,133,75,0,315,266,150,0,510,266,375,0,105,266,45,266,315,266,435,0,75,0,225,266,75,266,195,0,465,0,330,0,450,266,300,133,45,266,270,0,390,133,180,133,195,0,420,0,480,133,150,0,360,266,165,0,180,0,375,133,330,133,465,133,225,266,60,266,450,0,240,133,15,133,60,133,135,133,240,133,285,0,45,266,405,0,435,0,495,266,285,133,315,133,300,133,90,266,30,0,60,266,360,0,405,266,255,0,135,266,120,133,270,413,31,412,17,266,240,133,345,266,465,133,165,133,255,133,210,0,300,133,390,266,180,266,210,133,375,5,88,1477549998
0,270,266,105,0,195,0,30,133,450,0,345,266,495,133,495,911,521,0,120,0,285,0,150,266,135,0,210,133,405,0,165,266,330,133,420,266,225,266,480,133,480,133,435,266,420,133,120,133,105,266,390,133,360,266,345,0,255,133,30,133,75,0,315,266,150,0,510,266,375,0,105,266,45,266,315,266,435,0,75,0,225,266,75,266,195,0,465,0,330,0,450,266,300,133,45,266,270,0,390,133,180,133,195,0,420,0,480,133,150,0,360,266,165,0,180,0,375,133,330,133,465,133,225,266,60,266,450,0,240,133,15,133,60,133,135,133,240,133,285,0,45,266,405,0,435,0,495,266,285,133,315,133,300,133,90,266,30,0,60,266,360,0,405,266,255,0,135,266,120,133,270,413,31,412,17,266,240,133,345,266,465,133,165,133,255,133,210,0,300,133,390,266,180,266,210,133,375,5,88,1477550013
0,270,266,105,0,195,0,30,133,450,0,345,266,495,133,495,920,541,0,120,0,285,0,150,266,135,0,210,133,405,0,165,266,330,133,420,266,225,266,480,133,480,133,435,266,420,133,120,133,105,266,390,133,360,914,531,0,255,133,30,133,75,0,315,266,150,0,510,266,375,0,105,266,45,266,315,266,435,0,75,0,225,266,75,266,195,0,465,0,330,0,450,266,300,133,45,266,270,0,390,133,180,133,195,0,420,0,480,133,150,0,360,266,165,0,180,0,375,133,330,133,465,133,225,266,60,266,450,0,240,133,15,133,60,133,135,133,240,133,285,0,45,266,405,0,435,0,495,266,285,133,315,133,300,133,90,266,30,0,60,266,360,0,405,266,255,0,135,266,120,133,270,413,31,412,17,266,240,133,345,266,465,133,165,133,255,133,210,0,300,133,390,266,180,266,210,133,375,5,88,1477550028
0,270,266,105,0,195,0,30,133,450,0,345,266,495,133,495,920,541,0,120,0,285,0,150,266,135,0,210,133,405,0,165,266,330,133,420,266,225,266,480,133,480,133,435,266,420,133,120,133,105,266,390,133,360,914,531,0,255,133,30,133,75,0,315,266,150,0,510,266,375,0,105,659,292,266,315,266,435,0,75,0,225,266,75,266,195,0,465,0,330,0,450,266,300,133,45,266,270,0,390,133,180,133,195,0,420,0,480,133,150,0,360,266,165,0,180,0,375,133,330,133,465,133,225,266,60,266,450,0,240,133,15,133,60,133,135,133,240,133,285,0,45,266,405,0,435,0,495,266,285,133,315,133,300,133,90,266,30,0,60,266,360,0,405,266,255,0,135,266,120,133,270,413,31,412,17,266,240,133,345,266,465,133,165,133,255,133,210,0,300,133,390,266,180,266,210,133,375,5,88,1477550043
0,270,266,105,0,195,0,30,133,450,0,345,266,495,133,495,920,541,0,120,0,285,0,150,266,135,0,210,133,405,0,165,266,330,133,420,266,225,266,480,133,480,133,435,266,420,133,120,133,105,266,390,133,360,914,531,0,255,133,30,133,75,0,315,266,150,0,510,266,375,0,105,659,292,266,315,266,435,655,227,0,225,266,75,266,195,0,465,0,330,0,450,266,300,133,45,266,270,0,390,133,180,133,195,0,420,0,480,133,150,0,360,266,165,0,180,0,375,133,330,133,465,133,225,266,60,266,450,0,240,133,15,133,60,133,135,133,240,133,285,0,45,266,405,0,435,0,495,266,285,133,315,133,300,133,90,266,30,0,60,266,360,0,405,266,255,534,31,266,120,133,270,413,31,412,17,266,240,133,345,266,465,133,165,133,255,133,210,0,300,133,390,266,180,266,210,133,375,657,261,1477550058
0,270,266,105,0,195,0,30,133,450,0,345,266,495,133,495,920,541,0,120,0,285,0,150,266,135,0,210,133,405,0,165,266,330,133,420,266,225,266,480,133,480,133,435,266,420,133,120,133,105,266,390,133,360,914,531,0,255,133,30,133,75,0,315,266,150,0,510,266,375,643,311,628,327,266,315,266,435,634,271,0,225,266,75,266,195,0,465,0,330,0,450,266,300,133,45,266,270,0,390,133,180,133,195,0,420,0,480,133,150,0,360,266,165,0,180,0,375,133,330,133,465,133,225,266,60,266,450,0,240,133,15,133,60,133,135,133,240,133,285,0,45,266,405,0,435,0,495,266,285,133,315,133,300,133,90,266,30,0,60,266,360,0,405,266,255,550,30,266,120,133,270,413,31,412,17,266,240,133,345,266,465,133,165,133,255,133,210,0,300,133,390,266,180,266,210,133,375,623,298,1477550073
