133,(58-34)*15+15,133,(44-34)*15+15,266,(91-67)*15+15,0,17*15+15,266,(92-67)*15+15,133,(62-34)*15+15,266,(80-67)*15+15,0,14*15+15,0,3*15+15,133,(64-34)*15+15,0,31*15+15,133,(34-34)*15+15,0,4*15+15,0,30*15+15,133,(57-34)*15+15,133,(60-34)*15+15,133,(54-34)*15+15,0,33*15+15,0,5*15+15,133,(49-34)*15+15,266,(99-67)*15+15,0,29*15+15,266,(67-67)*15+15,0,22*15+15,266,(81-67)*15+15,133,(45-34)*15+15,133,(59-34)*15+15,266,(83-67)*15+15,133,(53-34)*15+15,133,(51-34)*15+15,0,23*15+15,0,2*15+15,0,7*15+15,266,(90-67)*15+15,0,19*15+15,133,(52-34)*15+15,266,(71-67)*15+15,0,24*15+15,133,(39-34)*15+15,133,(43-34)*15+15,133,(42-34)*15+15,0,25*15+15,0,9*15+15,0,13*15+15,266,(86-67)*15+15,133,(47-34)*15+15,266,(77-67)*15+15,0,11*15+15,133,(36-34)*15+15,0,15*15+15,0,20*15+15,133,(46-34)*15+15,0,21*15+15,266,(85-67)*15+15,266,(89-67)*15+15,266,(84-67)*15+15,133,(63-34)*15+15,0,12*15+15,0,27*15+15,266,(76-67)*15+15,266,(78-67)*15+15,266,(79-67)*15+15,0,32*15+15,133,(41-34)*15+15,266,(93-67)*15+15,133,(61-34)*15+15,0,16*15+15,266,(95-67)*15+15,0,28*15+15,266,(96-67)*15+15,266,(87-67)*15+15,266,(88-67)*15+15,0,1*15+15,266,(72-67)*15+15,133,(40-34)*15+15,0,26*15+15,133,(37-34)*15+15,133,(35-34)*15+15,133,(65-34)*15+15,266,(68-67)*15+15,266,(82-67)*15+15,266,(94-67)*15+15,266,(73-67)*15+15,0,6*15+15,0,18*15+15,266,(69-67)*15+15,266,(75-67)*15+15,0,8*15+15,133,(66-34)*15+15,266,(98-67)*15+15,0,10*15+15,266,(74-67)*15+15,133,(56-34)*15+15,133,(55-34)*15+15,133,(38-34)*15+15,266,(70-67)*15+15,266,(97-67)*15+15,133,(50-34)*15+15,0,0*15+15,133,(48-34)*15+15,1478766149
978,90,833,65,266,375,766,95,266,390,923,56,266,210,768,462,739,255,133,465,771,170,857,218,913,233,801,193,754,284,420,205,708,525,805,207,677,403,765,136,266,495,728,275,266,15,544,173,266,225,435,122,403,184,266,255,917,127,541,398,864,139,784,131,761,422,266,360,729,454,789,137,266,75,793,149,918,524,930,493,572,550,586,542,482,531,674,584,266,300,449,185,266,165,427,312,932,342,875,327,507,332,462,95,528,234,266,285,266,345,266,270,784,606,514,577,421,517,266,150,266,180,266,195,841,375,666,342,266,405,600,330,496,119,266,435,639,292,266,450,266,315,266,330,801,363,266,90,671,342,719,348,879,578,874,577,133,480,266,30,266,240,266,420,266,105,444,306,421,300,266,45,266,135,443,435,133,495,266,480,418,436,266,120,579,245,425,195,854,558,266,60,266,465,526,493,486,135,648,50,1478766467
978,90,833,65,266,375,766,95,266,390,923,56,266,210,768,462,739,255,756,22,771,170,857,218,913,233,801,193,754,284,420,205,708,525,805,207,677,403,765,136,266,495,728,275,266,15,544,173,266,225,435,122,403,184,266,255,917,127,541,398,864,139,784,131,761,422,266,360,729,454,789,137,266,75,793,149,918,524,930,493,572,550,586,542,482,531,674,584,266,300,449,185,266,165,427,312,932,342,875,327,507,332,462,95,528,234,266,285,266,345,266,270,784,575,514,577,421,517,266,150,266,180,266,195,841,375,666,342,266,405,600,330,496,119,266,435,639,292,266,450,266,315,266,330,801,363,266,90,671,342,719,348,879,578,874,577,858,578,877,579,266,240,266,420,266,105,444,306,421,300,266,45,266,135,443,435,430,433,266,480,418,436,266,120,579,245,425,195,854,558,266,60,266,465,526,493,486,135,648,50,1478766482
978,90,833,65,266,375,766,95,266,390,923,56,266,210,768,462,739,255,756,22,771,170,857,218,913,233,801,193,754,284,420,205,708,525,805,207,677,403,765,136,266,495,728,275,553,130,544,173,266,225,435,122,403,184,266,255,917,127,541,398,864,139,784,131,761,422,266,360,729,454,789,137,894,507,793,149,918,524,930,493,572,550,586,542,482,531,674,584,266,300,449,185,266,165,427,312,932,342,875,327,507,332,462,95,528,234,266,285,266,345,266,270,784,575,514,577,421,517,266,150,266,180,266,195,841,375,666,342,266,405,600,330,496,119,266,435,639,292,266,450,266,315,266,330,801,363,730,342,671,342,719,348,879,578,874,577,858,578,877,579,266,240,266,420,266,105,444,306,421,300,861,558,266,135,443,435,430,433,266,480,418,436,266,120,579,245,425,195,854,558,632,609,266,465,526,493,486,135,648,50,1478766497
978,90,833,65,266,375,766,95,266,390,923,56,266,210,768,462,739,255,756,22,771,170,857,218,913,233,801,193,754,284,420,205,708,525,805,207,677,403,765,136,266,495,728,275,553,130,544,173,266,225,435,122,403,184,266,255,917,127,541,398,864,139,784,131,761,422,266,360,729,454,789,137,894,507,793,149,918,524,930,493,572,550,586,542,482,531,674,584,266,300,449,185,266,165,427,312,932,342,875,327,507,332,462,95,528,234,266,285,266,345,266,270,784,575,514,577,421,517,266,150,266,180,266,195,841,375,666,342,266,405,600,330,496,119,266,435,639,292,266,450,266,315,266,330,801,363,690,343,671,342,719,348,879,578,874,577,858,578,877,579,266,240,266,420,840,548,444,306,421,300,861,558,417,399,443,435,430,433,266,480,418,436,431,433,579,245,425,195,854,558,632,609,266,465,526,493,486,135,648,50,1478766512
978,90,833,65,266,375,766,95,266,390,923,56,266,210,768,462,739,255,756,22,771,170,857,218,913,233,801,193,754,284,420,205,708,525,805,207,677,403,765,136,266,495,728,275,553,130,544,173,266,225,435,122,403,184,266,255,917,127,541,398,864,139,784,131,761,422,266,360,729,454,789,137,894,507,793,149,918,524,930,493,572,550,586,542,482,531,674,584,266,300,449,185,416,292,427,312,932,342,875,327,507,332,462,95,528,234,266,285,266,345,266,270,784,575,514,577,421,517,405,471,410,208,610,251,841,375,666,342,266,405,600,330,496,119,266,435,639,292,266,450,266,315,266,330,801,363,690,343,671,342,719,348,879,578,874,577,858,578,877,579,266,240,266,420,840,548,444,306,421,300,861,558,417,399,443,435,430,433,266,480,418,436,431,433,579,245,425,195,854,558,632,609,266,465,526,493,486,135,648,50,1478766527
978,90,833,65,266,375,766,95,266,390,923,56,700,533,768,462,739,255,756,22,771,170,857,218,913,233,801,193,754,284,420,205,708,525,805,207,677,403,765,136,266,495,728,275,553,130,544,173,812,297,435,122,403,184,266,255,917,127,541,398,864,139,784,131,761,422,266,360,729,454,789,137,894,507,793,149,918,524,930,493,572,550,586,542,482,531,674,584,266,300,449,185,416,292,427,312,932,342,875,327,507,332,462,95,528,234,266,285,266,345,266,270,784,575,514,577,421,517,405,471,410,208,562,266,841,375,666,342,266,405,600,330,496,119,266,435,639,292,266,450,266,315,266,330,801,363,690,343,671,342,719,348,879,578,874,577,858,578,877,579,266,240,266,420,840,548,444,306,421,300,861,558,417,399,443,435,430,433,266,480,418,436,431,433,822,509,425,195,854,558,632,609,266,465,526,493,486,135,648,50,1478766542
978,90,833,65,266,375,766,95,266,390,923,56,700,533,768,462,739,255,756,22,771,170,857,218,913,233,801,193,754,284,420,205,708,525,805,207,677,403,765,136,266,495,728,275,553,130,544,173,812,297,435,122,403,184,862,430,917,127,541,398,864,139,784,131,761,422,266,360,729,454,789,137,894,507,793,149,918,524,930,493,572,550,586,542,482,531,674,584,266,300,449,185,416,292,427,312,932,342,940,348,507,332,462,95,528,234,266,285,266,345,266,270,784,575,514,577,421,517,405,471,410,208,562,266,841,375,666,342,266,405,600,330,496,119,266,435,639,292,266,450,266,315,266,330,801,363,690,343,671,342,719,348,879,578,874,577,858,578,877,579,861,564,266,420,840,548,444,306,421,300,861,558,417,399,443,435,430,433,266,480,418,436,431,433,822,509,425,195,854,558,632,609,266,465,526,493,486,135,648,50,1478766557
978,90,833,65,266,375,766,95,266,390,923,56,700,533,768,462,736,256,756,22,771,170,857,218,913,233,801,193,754,284,420,205,708,525,805,207,677,403,765,136,266,495,728,275,553,130,544,173,812,297,435,122,403,184,746,328,917,127,541,398,864,139,784,131,699,321,266,360,729,454,789,137,894,507,793,149,918,524,930,493,572,550,586,542,482,531,674,584,266,300,449,185,416,292,427,312,932,342,940,348,507,332,462,95,528,234,532,223,266,345,749,319,784,575,514,577,421,517,405,471,410,208,562,266,841,375,684,368,266,405,600,330,496,119,266,435,639,292,266,450,266,315,266,330,801,363,696,367,677,361,691,372,879,578,874,577,858,578,877,579,861,564,266,420,840,548,444,306,421,300,861,558,417,399,443,435,430,433,266,480,418,436,431,433,822,509,425,195,854,558,632,609,266,465,526,493,486,135,648,50,1478766572
978,90,833,65,266,375,766,95,266,390,923,56,700,533,768,462,736,256,756,22,771,170,857,218,913,233,801,193,754,284,420,205,708,525,805,207,677,403,765,136,266,495,728,275,553,130,544,173,812,297,435,122,403,184,746,328,917,127,541,398,864,139,784,131,699,321,266,360,729,454,789,137,894,507,793,149,918,524,930,493,572,550,586,542,482,531,674,584,490,531,449,185,416,292,427,312,932,342,940,348,507,332,462,95,528,234,618,512,266,345,749,319,784,575,514,577,421,517,405,471,410,208,562,266,841,375,684,368,266,405,600,330,496,119,266,435,639,292,266,450,627,366,266,330,801,363,696,367,677,361,691,372,879,578,874,577,858,578,877,579,861,564,266,420,840,548,444,306,421,300,861,558,417,399,443,435,430,433,266,480,418,436,431,433,822,509,425,195,854,558,632,609,266,465,526,493,486,135,648,50,1478766587
978,90,833,65,508,432,766,95,266,390,923,56,700,533,768,462,736,256,756,22,771,170,857,218,913,233,801,193,754,284,420,205,708,525,805,207,677,403,765,136,266,495,728,275,553,130,544,173,812,297,435,122,403,184,746,328,917,127,541,398,864,139,784,131,699,321,745,56,729,454,789,137,894,507,793,149,918,524,930,493,572,550,586,542,482,531,674,584,490,531,449,185,416,292,427,312,932,342,940,348,507,332,462,95,528,234,618,512,714,314,749,319,784,575,514,577,421,517,405,471,410,208,562,266,841,375,684,368,266,405,600,330,496,119,266,435,639,292,266,450,627,366,554,114,801,363,696,367,677,361,691,372,879,578,874,577,858,578,877,579,861,564,266,420,840,548,444,306,421,300,861,558,417,399,443,435,430,433,266,480,418,436,431,433,822,509,425,195,854,558,632,609,266,465,526,493,486,135,648,50,1478766602
978,90,833,65,985,100,766,95,598,32,923,56,700,533,768,462,736,256,756,22,771,170,857,218,913,233,801,193,754,284,420,205,708,525,805,207,677,403,765,136,266,495,728,275,553,130,544,173,812,297,435,122,403,184,746,328,917,127,541,398,864,139,784,131,699,321,745,56,729,454,789,137,894,507,793,149,918,524,930,493,572,550,586,542,482,531,674,584,490,531,449,185,416,292,427,312,932,342,940,348,507,332,462,95,528,234,618,512,714,314,749,319,784,575,514,577,421,517,405,471,410,208,562,266,841,375,684,368,861,392,600,330,496,119,266,435,639,292,266,450,627,366,554,114,801,363,696,367,677,361,691,372,879,578,874,577,858,578,877,579,861,564,266,420,840,548,444,306,421,300,861,558,417,399,443,435,430,433,266,480,418,436,431,433,822,509,425,195,854,558,632,609,266,465,526,493,486,135,648,50,1478766617
978,90,833,65,985,100,766,95,598,32,923,56,700,533,768,462,736,256,756,22,771,170,857,218,913,233,801,193,754,284,420,205,708,525,805,207,677,403,765,136,266,495,728,275,553,130,544,173,812,297,435,122,403,184,746,328,917,127,541,398,864,139,784,131,699,321,745,56,729,454,789,137,894,507,793,149,918,524,930,493,572,550,586,542,482,531,674,584,490,531,449,185,416,292,427,312,932,342,940,348,507,332,462,95,528,234,618,512,714,314,749,319,784,575,514,577,421,517,405,471,410,208,562,266,841,375,684,368,861,392,600,330,496,119,877,382,639,292,607,358,627,366,554,114,801,363,696,367,677,361,691,372,879,578,874,577,858,578,877,579,861,564,915,557,840,548,444,306,421,300,861,558,417,399,443,435,430,433,266,480,418,436,431,433,822,509,425,195,854,558,632,609,682,557,526,493,486,135,648,50,1478766632
978,90,833,65,985,100,766,95,598,32,923,56,700,533,768,462,736,256,756,22,771,170,857,218,913,233,801,193,754,284,420,205,708,525,805,207,677,403,765,136,266,495,728,275,553,130,544,173,812,297,435,122,403,184,746,328,917,127,541,398,864,139,784,131,699,321,745,56,729,454,789,137,894,507,793,149,918,524,930,493,572,550,586,542,482,531,674,584,490,531,449,185,416,292,427,312,932,342,940,348,507,332,462,95,528,234,618,512,714,314,749,319,784,575,514,577,421,517,405,471,410,208,562,266,841,375,684,368,861,392,600,330,496,119,877,382,639,292,607,358,627,366,554,114,801,363,696,367,677,361,691,372,879,578,874,577,858,578,877,579,861,564,915,557,840,548,444,306,421,300,861,558,417,399,443,435,430,433,268,480,418,436,431,433,822,509,425,195,854,558,632,609,523,438,526,493,486,135,648,50,1478766647
978,90,833,65,985,100,766,95,598,32,923,56,700,533,768,462,736,256,756,22,771,170,857,218,913,233,801,193,754,284,420,205,708,525,805,207,677,403,765,136,768,276,728,275,553,130,544,173,812,297,435,122,403,184,746,328,917,127,541,398,864,139,784,131,699,321,745,56,729,454,789,137,894,507,793,149,918,524,930,493,572,550,586,542,482,531,674,584,490,531,449,185,416,292,427,312,932,342,940,348,507,332,462,95,528,234,618,512,714,314,749,319,784,575,514,577,421,517,405,471,410,208,562,266,841,375,684,368,861,392,600,330,496,119,877,382,639,292,607,358,627,366,554,114,801,363,696,367,677,361,691,372,879,578,874,577,858,578,877,579,861,564,915,557,840,548,444,306,421,300,861,558,417,399,443,435,430,433,563,407,418,436,431,433,822,509,425,195,854,558,632,609,523,438,526,493,486,135,648,50,1478766655
